"Time (s) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
21.500,1.216,6.466,-21.380,0.0290,0.154,-0.510
21.550,1.508,5.309,-21.415,0.0360,0.127,-0.511
21.600,1.742,4.257,-19.199,0.0416,0.102,-0.458
21.650,1.927,3.367,-16.092,0.0460,0.080,-0.384
21.700,2.073,2.649,-12.881,0.0495,0.063,-0.307
21.750,2.187,2.089,-9.931,0.0522,0.050,-0.237
21.800,2.278,1.670,-7.418,0.0544,0.040,-0.177
21.850,2.350,1.367,-5.358,0.0561,0.033,-0.128
21.900,2.411,1.147,-3.630,0.0576,0.027,-0.087
21.950,2.463,1.005,-2.059,0.0588,0.024,-0.049
22.000,2.509,0.942,-0.559,0.0599,0.023,-0.013
22.050,2.554,0.953,0.855,0.0610,0.023,0.020
22.100,2.603,1.031,2.234,0.0621,0.025,0.053
22.150,2.655,1.173,3.718,0.0634,0.028,0.089
22.200,2.717,1.393,5.445,0.0649,0.033,0.130
22.250,2.791,1.707,7.505,0.0666,0.041,0.179
22.300,2.884,2.131,9.913,0.0689,0.051,0.237
22.350,3.000,2.686,12.654,0.0716,0.064,0.302
22.400,3.148,3.388,15.551,0.0752,0.081,0.371
22.450,3.333,4.246,18.134,0.0796,0.101,0.433
22.500,3.567,5.236,19.548,0.0852,0.125,0.467
22.550,3.855,6.278,18.588,0.0920,0.150,0.444
22.600,4.197,7.220,14.015,0.1002,0.172,0.335
22.650,4.587,7.838,5.184,0.1095,0.187,0.124
22.700,5.001,7.880,-7.313,0.1194,0.188,-0.175
22.750,5.402,7.173,-21.537,0.1290,0.171,-0.514
22.800,5.746,5.692,-34.854,0.1372,0.136,-0.832
22.850,5.994,3.566,-44.820,0.1431,0.085,-1.070
22.900,6.117,1.031,-49.759,0.1460,0.025,-1.188
22.950,6.101,-1.613,-48.939,0.1457,-0.038,-1.168
23.000,5.949,-4.058,-42.499,0.1420,-0.097,-1.015
23.050,5.678,-6.027,-31.433,0.1356,-0.144,-0.750
23.100,5.322,-7.304,-17.610,0.1271,-0.174,-0.420
23.150,4.920,-7.796,-3.560,0.1175,-0.186,-0.085
23.200,4.516,-7.571,8.203,0.1078,-0.181,0.196
23.250,4.145,-6.828,16.127,0.0990,-0.163,0.385
23.300,3.825,-5.812,20.054,0.0913,-0.139,0.479
23.350,3.563,-4.718,20.874,0.0851,-0.113,0.498
23.400,3.355,-3.665,19.810,0.0801,-0.088,0.473
23.450,3.200,-2.712,17.890,0.0764,-0.065,0.427
23.500,3.088,-1.874,15.848,0.0737,-0.045,0.378
23.550,3.016,-1.141,14.190,0.0720,-0.027,0.339
23.600,2.977,-0.482,13.212,0.0711,-0.011,0.315
23.650,2.969,0.152,12.968,0.0709,0.004,0.310
23.700,2.991,0.796,13.352,0.0714,0.019,0.319
23.750,3.047,1.471,14.294,0.0728,0.035,0.341
23.800,3.137,2.204,15.830,0.0749,0.053,0.378
23.850,3.264,3.032,17.820,0.0779,0.072,0.425
23.900,3.435,3.985,19.652,0.0820,0.095,0.469
23.950,3.658,5.037,20.263,0.0873,0.120,0.484
24.000,3.938,6.095,18.413,0.0940,0.146,0.440
24.050,4.273,7.001,13.073,0.1020,0.167,0.312
24.100,4.650,7.545,3.857,0.1110,0.180,0.092
24.150,5.047,7.508,-8.552,0.1205,0.179,-0.204
24.200,5.427,6.744,-22.288,0.1296,0.161,-0.532
24.250,5.748,5.236,-34.837,0.1372,0.125,-0.832
24.300,5.972,3.131,-43.913,0.1426,0.075,-1.048
24.350,6.073,0.670,-48.014,0.1450,0.016,-1.146
24.400,6.041,-1.864,-46.531,0.1442,-0.044,-1.111
24.450,5.879,-4.173,-39.654,0.1404,-0.100,-0.947
24.500,5.606,-5.985,-28.501,0.1338,-0.143,-0.680
24.550,5.256,-7.105,-15.062,0.1255,-0.170,-0.360
24.600,4.869,-7.482,-1.763,0.1163,-0.179,-0.042
24.650,4.485,-7.194,9.233,0.1071,-0.172,0.220
24.700,4.133,-6.425,16.685,0.0987,-0.153,0.398
24.750,3.834,-5.393,20.508,0.0915,-0.129,0.490
24.800,3.592,-4.278,21.502,0.0858,-0.102,0.513
24.850,3.407,-3.189,20.769,0.0813,-0.076,0.496
24.900,3.277,-2.178,19.286,0.0782,-0.052,0.460
24.950,3.193,-1.262,17.837,0.0762,-0.030,0.426
25.000,3.153,-0.419,16.947,0.0753,-0.010,0.405
25.050,3.153,0.403,16.825,0.0753,0.010,0.402
25.100,3.192,1.241,17.418,0.0762,0.030,0.416
25.150,3.275,2.126,18.535,0.0782,0.051,0.443
25.200,3.402,3.084,19.844,0.0812,0.074,0.474
25.250,3.580,4.121,20.682,0.0855,0.098,0.494
25.300,3.812,5.199,20.019,0.0910,0.124,0.478
25.350,4.101,6.215,16.668,0.0979,0.148,0.398
25.400,4.441,6.995,9.756,0.1060,0.167,0.233
25.450,4.816,7.325,-0.733,0.1150,0.175,-0.017
25.500,5.196,7.016,-13.614,0.1241,0.168,-0.325
25.550,5.543,5.974,-26.738,0.1323,0.143,-0.638
25.600,5.818,4.262,-37.699,0.1389,0.102,-0.900
25.650,5.986,2.058,-44.576,0.1429,0.049,-1.064
25.700,6.032,-0.377,-46.304,0.1440,-0.009,-1.105
25.750,5.947,-2.759,-42.638,0.1420,-0.066,-1.018
25.800,5.744,-4.812,-34.139,0.1371,-0.115,-0.815
25.850,5.446,-6.299,-22.183,0.1300,-0.150,-0.530
25.900,5.089,-7.079,-8.901,0.1215,-0.169,-0.213
25.950,4.712,-7.147,3.351,0.1125,-0.171,0.080
26.000,4.354,-6.634,12.758,0.1040,-0.158,0.305
26.050,4.037,-5.739,18.623,0.0964,-0.137,0.445
26.100,3.775,-4.660,21.345,0.0901,-0.111,0.510
26.150,3.570,-3.534,21.904,0.0852,-0.084,0.523
26.200,3.423,-2.435,21.310,0.0817,-0.058,0.509
26.250,3.329,-1.393,20.351,0.0795,-0.033,0.486
26.300,3.286,-0.408,19.600,0.0785,-0.010,0.468
26.350,3.289,0.545,19.443,0.0785,0.013,0.464
26.400,3.340,1.508,19.932,0.0797,0.036,0.476
26.450,3.438,2.524,20.752,0.0821,0.060,0.495
26.500,3.589,3.592,21.276,0.0857,0.086,0.508
26.550,3.797,4.686,20.595,0.0906,0.112,0.492
26.600,4.059,5.728,17.663,0.0969,0.137,0.422
26.650,4.375,6.566,11.572,0.1044,0.157,0.276
26.700,4.730,7.011,2.112,0.1129,0.167,0.050
26.750,5.096,6.875,-9.879,0.1217,0.164,-0.236
26.800,5.441,6.053,-22.619,0.1299,0.145,-0.540
26.850,5.726,4.561,-33.877,0.1367,0.109,-0.809
26.900,5.916,2.539,-41.661,0.1412,0.061,-0.995
26.950,5.989,0.225,-44.646,0.1430,0.005,-1.066
27.000,5.939,-2.110,-42.342,0.1418,-0.050,-1.011
27.050,5.770,-4.184,-35.151,0.1377,-0.100,-0.839
27.100,5.503,-5.754,-24.312,0.1314,-0.137,-0.580
27.150,5.171,-6.676,-11.711,0.1235,-0.159,-0.280
27.200,4.811,-6.912,0.524,0.1149,-0.165,0.012
27.250,4.458,-6.540,10.542,0.1064,-0.156,0.252
27.300,4.142,-5.733,17.331,0.0989,-0.137,0.414
27.350,3.878,-4.691,20.961,0.0926,-0.112,0.500
27.400,3.671,-3.560,22.253,0.0876,-0.085,0.531
27.450,3.522,-2.424,22.201,0.0841,-0.058,0.530
27.500,3.431,-1.325,21.642,0.0819,-0.032,0.517
27.550,3.391,-0.267,21.206,0.0810,-0.006,0.506
27.600,3.404,0.775,21.206,0.0813,0.018,0.506
27.650,3.468,1.838,21.555,0.0828,0.044,0.515
27.700,3.586,2.932,21.799,0.0856,0.070,0.520
27.750,3.760,4.042,21.241,0.0898,0.097,0.507
27.800,3.991,5.110,18.972,0.0953,0.122,0.453
27.850,4.276,6.032,14.050,0.1021,0.144,0.335
27.900,4.604,6.634,5.969,0.1099,0.158,0.143
27.950,4.957,6.733,-4.869,0.1184,0.161,-0.116
28.000,5.300,6.199,-17.087,0.1265,0.148,-0.408
28.050,5.600,5.006,-28.728,0.1337,0.120,-0.686
28.100,5.821,3.236,-37.751,0.1390,0.077,-0.901
28.150,5.938,1.079,-42.534,0.1418,0.026,-1.015
28.200,5.933,-1.199,-42.237,0.1416,-0.029,-1.008
28.250,5.812,-3.320,-36.966,0.1388,-0.079,-0.882
28.300,5.587,-5.037,-27.646,0.1334,-0.120,-0.660
28.350,5.287,-6.173,-15.883,0.1262,-0.147,-0.379
28.400,4.946,-6.639,-3.683,0.1181,-0.159,-0.088
28.450,4.601,-6.482,7.034,0.1098,-0.155,0.168
28.500,4.282,-5.833,14.992,0.1022,-0.139,0.358
28.550,4.007,-4.869,19.862,0.0957,-0.116,0.474
28.600,3.790,-3.754,22.113,0.0905,-0.090,0.528
28.650,3.632,-2.602,22.689,0.0867,-0.062,0.542
28.700,3.531,-1.466,22.515,0.0843,-0.035,0.537
28.750,3.486,-0.351,22.236,0.0832,-0.008,0.531
28.800,3.497,0.749,22.148,0.0835,0.018,0.529
28.850,3.561,1.854,22.236,0.0850,0.044,0.531
28.900,3.680,2.974,22.096,0.0879,0.071,0.528
28.950,3.858,4.095,20.944,0.0921,0.098,0.500
29.000,4.092,5.137,17.855,0.0977,0.123,0.426
29.050,4.378,5.974,12.078,0.1045,0.143,0.288
29.100,4.701,6.451,3.421,0.1122,0.154,0.082
29.150,5.041,6.404,-7.540,0.1203,0.153,-0.180
29.200,5.364,5.733,-19.391,0.1281,0.137,-0.463
29.250,5.636,4.430,-30.177,0.1346,0.106,-0.720
29.300,5.826,2.608,-37.943,0.1391,0.062,-0.906
29.350,5.908,0.476,-41.277,0.1410,0.011,-0.985
29.400,5.875,-1.696,-39.671,0.1403,-0.041,-0.947
29.450,5.730,-3.649,-33.493,0.1368,-0.087,-0.800
29.500,5.495,-5.168,-23.824,0.1312,-0.123,-0.569
29.550,5.193,-6.100,-12.270,0.1240,-0.146,-0.293
29.600,4.862,-6.393,-0.716,0.1161,-0.153,-0.017
29.650,4.533,-6.105,9.128,0.1082,-0.146,0.218
29.700,4.236,-5.377,16.232,0.1011,-0.128,0.387
29.750,3.987,-4.377,20.455,0.0952,-0.105,0.488
29.800,3.795,-3.252,22.393,0.0906,-0.078,0.535
29.850,3.662,-2.094,22.951,0.0874,-0.050,0.548
29.900,3.586,-0.942,22.934,0.0856,-0.023,0.548
29.950,3.567,0.199,22.829,0.0852,0.005,0.545
30.000,3.607,1.335,22.742,0.0861,0.032,0.543
30.050,3.701,2.477,22.445,0.0884,0.059,0.536
30.100,3.853,3.602,21.363,0.0920,0.086,0.510
30.150,4.064,4.665,18.675,0.0970,0.111,0.446
30.200,4.324,5.555,13.614,0.1032,0.133,0.325
30.250,4.629,6.126,5.777,0.1105,0.146,0.138
30.300,4.954,6.226,-4.451,0.1183,0.149,-0.106
30.350,5.272,5.728,-15.848,0.1259,0.137,-0.378
30.400,5.550,4.618,-26.599,0.1325,0.110,-0.635
30.450,5.752,2.979,-34.837,0.1373,0.071,-0.832
30.500,5.859,0.995,-39.183,0.1399,0.024,-0.935
30.550,5.856,-1.100,-38.921,0.1398,-0.026,-0.929
30.600,5.744,-3.058,-34.104,0.1371,-0.073,-0.814
30.650,5.537,-4.644,-25.534,0.1322,-0.111,-0.610
30.700,5.261,-5.692,-14.678,0.1256,-0.136,-0.350
30.750,4.946,-6.126,-3.351,0.1181,-0.146,-0.080
30.800,4.628,-5.980,6.754,0.1105,-0.143,0.161
30.850,4.332,-5.362,14.469,0.1034,-0.128,0.345
30.900,4.081,-4.430,19.408,0.0974,-0.106,0.463
30.950,3.885,-3.335,21.956,0.0927,-0.080,0.524
31.000,3.746,-2.183,22.951,0.0894,-0.052,0.548
31.050,3.666,-1.021,23.195,0.0875,-0.024,0.554
31.100,3.644,0.141,23.178,0.0870,0.003,0.553
31.150,3.680,1.299,23.003,0.0879,0.031,0.549
31.200,3.775,2.450,22.427,0.0901,0.059,0.535
31.250,3.925,3.571,20.927,0.0937,0.085,0.500
31.300,4.134,4.597,17.785,0.0987,0.110,0.425
31.350,4.392,5.430,12.339,0.1049,0.130,0.295
31.400,4.687,5.927,4.294,0.1119,0.142,0.103
31.450,5.001,5.943,-5.899,0.1194,0.142,-0.141
31.500,5.303,5.372,-16.912,0.1266,0.128,-0.404
31.550,5.559,4.215,-26.965,0.1327,0.101,-0.644
31.600,5.741,2.581,-34.366,0.1371,0.062,-0.820
31.650,5.828,0.644,-37.891,0.1391,0.015,-0.905
31.700,5.809,-1.367,-36.931,0.1387,-0.033,-0.882
31.750,5.685,-3.204,-31.625,0.1357,-0.077,-0.755
31.800,5.474,-4.650,-22.916,0.1307,-0.111,-0.547
31.850,5.201,-5.561,-12.305,0.1242,-0.133,-0.294
31.900,4.898,-5.885,-1.518,0.1169,-0.141,-0.036
31.950,4.593,-5.660,7.924,0.1097,-0.135,0.189
32.000,4.317,-5.006,15.045,0.1031,-0.120,0.359
32.050,4.084,-4.063,19.618,0.0975,-0.097,0.468
32.100,3.905,-2.969,22.044,0.0932,-0.071,0.526
32.150,3.786,-1.812,23.021,0.0904,-0.043,0.550
32.200,3.724,-0.644,23.265,0.0889,-0.015,0.555
32.250,3.721,0.518,23.195,0.0888,0.012,0.554
32.300,3.776,1.681,22.811,0.0902,0.040,0.545
32.350,3.889,2.822,21.729,0.0929,0.067,0.519
32.400,4.061,3.896,19.373,0.0969,0.093,0.462
32.450,4.284,4.822,15.115,0.1023,0.115,0.361
32.500,4.551,5.493,8.482,0.1086,0.131,0.203
32.550,4.846,5.760,-0.471,0.1157,0.138,-0.011
32.600,5.146,5.503,-10.891,0.1229,0.131,-0.260
32.650,5.416,4.671,-21.241,0.1293,0.112,-0.507
32.700,5.631,3.314,-29.810,0.1344,0.079,-0.712
32.750,5.762,1.576,-35.151,0.1376,0.038,-0.839
32.800,5.795,-0.346,-36.390,0.1383,-0.008,-0.869
32.850,5.726,-2.215,-33.336,0.1367,-0.053,-0.796
32.900,5.564,-3.812,-26.512,0.1328,-0.091,-0.633
32.950,5.328,-4.958,-17.087,0.1272,-0.118,-0.408
33.000,5.049,-5.555,-6.615,0.1205,-0.133,-0.158
33.050,4.753,-5.597,3.316,0.1135,-0.134,0.079
33.100,4.472,-5.157,11.467,0.1068,-0.123,0.274
33.150,4.225,-4.362,17.244,0.1009,-0.104,0.412
33.200,4.029,-3.351,20.735,0.0962,-0.080,0.495
33.250,3.888,-2.231,22.480,0.0928,-0.053,0.537
33.300,3.804,-1.068,23.126,0.0908,-0.026,0.552
33.350,3.781,0.099,23.161,0.0903,0.002,0.553
33.400,3.815,1.257,22.777,0.0911,0.030,0.544
33.450,3.907,2.393,21.799,0.0933,0.057,0.520
33.500,4.056,3.471,19.722,0.0968,0.083,0.471
33.550,4.258,4.424,15.917,0.1017,0.106,0.380
33.600,4.505,5.142,9.913,0.1076,0.123,0.237
33.650,4.785,5.498,1.693,0.1142,0.131,0.040
33.700,5.072,5.372,-8.081,0.1211,0.128,-0.193
33.750,5.341,4.702,-18.134,0.1275,0.112,-0.433
33.800,5.561,3.513,-26.878,0.1328,0.084,-0.642
33.850,5.707,1.916,-32.847,0.1362,0.046,-0.784
33.900,5.760,0.094,-35.011,0.1375,0.002,-0.836
33.950,5.716,-1.733,-33.004,0.1365,-0.041,-0.788
34.000,5.579,-3.341,-27.192,0.1332,-0.080,-0.649
34.050,5.367,-4.550,-18.570,0.1281,-0.109,-0.443
34.100,5.107,-5.246,-8.570,0.1219,-0.125,-0.205
34.150,4.824,-5.398,1.257,0.1152,-0.129,0.030
34.200,4.549,-5.063,9.599,0.1086,-0.121,0.229
34.250,4.306,-4.356,15.760,0.1028,-0.104,0.376
34.300,4.106,-3.409,19.722,0.0980,-0.081,0.471
34.350,3.960,-2.325,21.886,0.0945,-0.055,0.522
34.400,3.872,-1.178,22.811,0.0924,-0.028,0.545
34.450,3.842,-0.021,22.969,0.0917,-5.000E-4,0.548
34.500,3.870,1.131,22.585,0.0924,0.027,0.539
34.550,3.955,2.257,21.537,0.0944,0.054,0.514
34.600,4.098,3.320,19.356,0.0978,0.079,0.462
34.650,4.291,4.252,15.464,0.1025,0.102,0.369
34.700,4.530,4.943,10.036,0.1082,0.118,0.240
34.750,4.799,5.273,,0.1146,0.126,
34.800,5.074,5.309,,0.1211,0.127,
34.850,5.330,,,0.1272,,
