wave,flux,std
4002.017,5.55e-16,1.74e-16
4006.435,8.47e-16,1.95e-16
4010.854,3.57e-16,1.76e-16
4015.273,7.10e-16,1.87e-16
4019.691,9.76e-16,1.95e-16
4024.109,7.43e-16,1.83e-16
4028.527,3.65e-16,1.66e-16
4032.944,6.50e-16,1.91e-16
4037.362,5.49e-16,1.90e-16
4041.779,1.76e-16,1.76e-16
4046.196,1.35e-15,1.96e-16
4050.613,9.81e-16,1.81e-16
4055.03,4.75e-16,1.53e-16
4059.446,1.47e-15,1.87e-16
4063.863,1.09e-15,1.86e-16
4068.279,1.96e-15,2.15e-16
4072.695,1.17e-15,1.95e-16
4077.11,9.41e-16,1.91e-16
4081.526,1.03e-15,2.03e-16
4085.941,1.03e-15,1.95e-16
4090.356,5.57e-16,1.74e-16
4094.771,1.06e-15,1.86e-16
4099.186,1.51e-15,1.90e-16
4103.6,6.42e-16,1.54e-16
4108.015,9.48e-16,1.55e-16
4112.429,8.92e-16,1.47e-16
4116.843,7.17e-16,1.24e-16
4121.257,1.45e-15,1.51e-16
4125.67,7.08e-16,1.29e-16
4130.084,8.75e-16,1.38e-16
4134.497,9.40e-16,1.49e-16
4138.91,4.54e-16,1.37e-16
4143.323,6.99e-16,1.45e-16
4147.735,3.82e-16,1.26e-16
4152.148,9.68e-16,1.35e-16
4156.56,1.03e-15,1.37e-16
4160.972,1.37e-15,1.54e-16
4165.384,2.25e-16,1.17e-16
4169.796,1.34e-15,1.57e-16
4174.208,8.65e-16,1.40e-16
4178.619,1.23e-15,1.57e-16
4183.03,9.16e-16,1.35e-16
4187.441,6.53e-16,1.27e-16
4191.852,5.52e-16,1.20e-16
4196.263,5.66e-16,1.26e-16
4200.673,8.64e-16,1.37e-16
4205.083,8.81e-16,1.40e-16
4209.494,6.35e-16,1.32e-16
4213.903,1.47e-15,1.53e-16
4218.313,8.56e-16,1.35e-16
4222.723,1.01e-15,1.36e-16
4227.132,8.92e-16,1.35e-16
4231.541,7.10e-16,1.33e-16
4235.95,3.60e-16,1.23e-16
4240.359,9.46e-16,1.43e-16
4244.768,6.39e-16,1.28e-16
4249.177,6.21e-16,1.31e-16
4253.585,5.53e-16,1.26e-16
4257.993,9.03e-16,1.36e-16
4262.401,8.40e-16,1.34e-16
4266.809,6.27e-16,1.28e-16
4271.217,9.23e-16,1.40e-16
4275.624,1.12e-15,1.47e-16
4280.031,5.07e-16,1.31e-16
4284.438,5.59e-16,1.34e-16
4288.845,1.12e-15,1.47e-16
4293.252,1.26e-15,1.46e-16
4297.659,1.39e-15,1.49e-16
4302.065,1.09e-15,1.43e-16
4306.472,1.04e-15,1.49e-16
4310.878,1.04e-15,1.55e-16
4315.284,2.10e-16,1.43e-16
4319.69,1.39e-15,1.74e-16
4324.095,1.11e-15,1.72e-16
4328.501,9.55e-16,1.71e-16
4332.906,1.50e-15,1.81e-16
4337.311,1.08e-15,1.74e-16
4341.716,1.07e-15,1.74e-16
4346.121,1.04e-15,1.84e-16
4350.525,1.08e-15,1.88e-16
4354.93,4.76e-16,1.65e-16
4359.334,6.39e-16,1.48e-16
4363.738,5.74e-16,1.40e-16
4368.142,1.50e-15,1.57e-16
4372.546,9.69e-16,1.62e-16
4376.95,9.47e-16,1.71e-16
4381.353,1.08e-15,1.79e-16
4385.757,8.82e-16,1.73e-16
4390.16,5.54e-16,1.58e-16
4394.563,2.82e-16,1.48e-16
4398.966,7.68e-16,1.57e-16
4403.369,1.40e-15,1.76e-16
4407.771,6.58e-16,1.73e-16
4412.174,1.01e-15,1.88e-16
4416.576,1.35e-15,1.91e-16
4420.978,8.85e-16,1.76e-16
4425.38,6.07e-16,1.67e-16
4429.782,1.05e-15,1.78e-16
4434.183,9.73e-16,1.79e-16
4438.585,7.32e-16,1.85e-16
4442.986,7.42e-16,1.92e-16
4447.387,9.90e-16,1.92e-16
4451.788,1.16e-15,1.95e-16
4456.189,1.29e-15,1.96e-16
4460.59,1.24e-15,1.95e-16
4464.99,9.36e-16,1.89e-16
4469.391,9.21e-16,1.92e-16
4473.791,9.81e-16,1.96e-16
4478.191,9.93e-16,1.94e-16
4482.591,6.10e-16,1.88e-16
4486.991,8.89e-16,1.94e-16
4491.391,1.32e-15,1.96e-16
4495.79,1.48e-15,1.96e-16
4500.19,7.85e-16,1.85e-16
4504.589,7.63e-16,1.86e-16
4508.988,7.88e-17,1.76e-16
4513.387,7.07e-16,1.83e-16
4517.786,9.57e-16,1.85e-16
4522.184,9.70e-16,1.84e-16
4526.583,9.99e-16,1.84e-16
4530.981,1.10e-15,1.83e-16
4535.379,8.95e-16,1.75e-16
4539.777,8.73e-16,1.74e-16
4544.175,7.03e-16,1.68e-16
4548.573,1.18e-15,1.72e-16
4552.971,7.65e-16,1.66e-16
4557.368,9.52e-16,1.65e-16
4561.766,7.87e-16,1.59e-16
4566.163,8.54e-16,1.58e-16
4570.56,1.26e-15,1.60e-16
4574.957,8.76e-16,1.52e-16
4579.354,1.16e-15,1.56e-16
4583.751,1.56e-15,1.60e-16
4588.147,1.15e-15,1.51e-16
4592.544,1.20e-15,1.49e-16
4596.94,1.11e-15,1.46e-16
4601.336,1.18e-15,1.44e-16
4605.732,1.26e-15,1.44e-16
4610.128,1.86e-15,1.52e-16
4614.524,9.22e-16,1.35e-16
4618.919,1.11e-15,1.35e-16
4623.315,1.07e-15,1.33e-16
4627.71,1.26e-15,1.35e-16
4632.105,8.82e-16,1.30e-16
4636.5,1.19e-15,1.31e-16
4640.895,1.10e-15,1.27e-16
4645.29,1.32e-15,1.32e-16
4649.685,1.19e-15,1.28e-16
4654.079,1.03e-15,1.23e-16
4658.474,1.04e-15,1.24e-16
4662.868,6.76e-16,1.14e-16
4667.262,9.40e-16,1.16e-16
4671.656,1.25e-15,1.22e-16
4676.05,8.92e-16,1.15e-16
4680.444,1.24e-15,1.22e-16
4684.838,8.82e-16,1.11e-16
4689.231,1.28e-15,1.18e-16
4693.625,1.09e-15,1.13e-16
4698.018,1.69e-15,1.22e-16
4702.411,1.10e-15,1.11e-16
