wave,flux,std
4002.017,5.66e-14,7.06e-16
4006.435,4.79e-14,6.91e-16
4010.854,4.44e-14,6.53e-16
4015.273,4.57e-14,6.57e-16
4019.691,4.15e-14,6.37e-16
4024.109,4.14e-14,6.29e-16
4028.527,4.52e-14,6.48e-16
4032.944,4.26e-14,6.70e-16
4037.362,3.92e-14,6.49e-16
4041.779,4.30e-14,6.57e-16
4046.196,4.36e-14,6.17e-16
4050.613,5.47e-14,6.32e-16
4055.03,3.87e-14,5.41e-16
4059.446,3.77e-14,5.31e-16
4063.863,3.95e-14,5.49e-16
4068.279,3.73e-14,5.77e-16
4072.695,4.75e-14,6.27e-16
4077.11,3.98e-14,6.24e-16
4081.526,3.94e-14,6.14e-16
4085.941,3.54e-14,5.94e-16
4090.356,3.22e-14,5.81e-16
4094.771,3.53e-14,5.77e-16
4099.186,3.42e-14,5.58e-16
4103.6,3.63e-14,5.33e-16
4108.015,3.37e-14,5.05e-16
4112.429,3.33e-14,4.73e-16
4116.843,3.24e-14,4.42e-16
4121.257,3.03e-14,4.26e-16
4125.67,2.90e-14,4.14e-16
4130.084,3.11e-14,4.36e-16
4134.497,3.66e-14,4.79e-16
4138.91,3.59e-14,4.97e-16
4143.323,3.57e-14,4.97e-16
4147.735,3.23e-14,4.55e-16
4152.148,3.17e-14,4.30e-16
4156.56,2.85e-14,4.23e-16
4160.972,2.99e-14,4.25e-16
4165.384,2.92e-14,4.41e-16
4169.796,3.48e-14,4.66e-16
4174.208,3.40e-14,4.77e-16
4178.619,3.24e-14,4.51e-16
4183.03,3.22e-14,4.29e-16
4187.441,2.90e-14,4.18e-16
4191.852,2.88e-14,4.12e-16
4196.263,3.08e-14,4.26e-16
4200.673,2.83e-14,4.38e-16
4205.083,2.98e-14,4.39e-16
4209.494,3.10e-14,4.45e-16
4213.903,3.17e-14,4.38e-16
4218.313,3.03e-14,4.29e-16
4222.723,2.79e-14,4.20e-16
4227.132,2.83e-14,4.22e-16
4231.541,2.87e-14,4.35e-16
4235.95,2.85e-14,4.37e-16
4240.359,2.71e-14,4.36e-16
4244.768,2.80e-14,4.33e-16
4249.177,2.83e-14,4.34e-16
4253.585,2.76e-14,4.24e-16
4257.993,2.58e-14,4.27e-16
4262.401,2.50e-14,4.20e-16
4266.809,2.93e-14,4.31e-16
4271.217,2.64e-14,4.26e-16
4275.624,2.85e-14,4.47e-16
4280.031,2.77e-14,4.51e-16
4284.438,2.68e-14,4.49e-16
4288.845,2.76e-14,4.50e-16
4293.252,2.54e-14,4.36e-16
4297.659,2.46e-14,4.30e-16
4302.065,2.66e-14,4.43e-16
4306.472,2.50e-14,4.59e-16
4310.878,2.62e-14,4.80e-16
4315.284,2.68e-14,5.03e-16
4319.69,2.54e-14,5.13e-16
4324.095,2.66e-14,5.27e-16
4328.501,2.91e-14,5.37e-16
4332.906,2.67e-14,5.38e-16
4337.311,2.95e-14,5.45e-16
4341.716,2.60e-14,5.53e-16
