wave,flux,std
4002.017,-6.82e-17,2.13e-16
4006.435,-1.84e-15,1.11e-16
4010.854,1.82e-16,2.31e-16
4015.273,-7.89e-16,1.82e-16
4019.691,-8.82e-17,2.06e-16
4024.109,-2.58e-16,1.98e-16
4028.527,-4.41e-16,1.90e-16
4032.944,-3.08e-16,2.05e-16
4037.362,-3.82e-17,2.20e-16
4041.779,-9.52e-16,1.86e-16
4046.196,-8.82e-17,1.91e-16
4050.613,-1.38e-16,1.91e-16
4055.03,-4.99e-16,1.66e-16
4059.446,-4.69e-16,1.62e-16
4063.863,-7.10e-16,1.68e-16
4068.279,1.76e-18,1.92e-16
4072.695,1.32e-16,2.09e-16
4077.11,-2.18e-16,2.01e-16
4081.526,4.18e-17,2.18e-16
4085.941,5.22e-16,2.24e-16
4090.356,2.18e-17,2.08e-16
4094.771,-5.42e-16,1.77e-16
4099.186,3.62e-16,1.99e-16
4103.6,-1.28e-16,1.75e-16
4108.015,2.22e-16,1.79e-16
4112.429,-3.82e-17,1.61e-16
4116.843,-3.42e-16,1.38e-16
4121.257,-3.30e-16,1.33e-16
4125.67,-1.82e-17,1.50e-16
4130.084,-1.08e-16,1.51e-16
4134.497,-2.18e-16,1.56e-16
4138.91,-2.88e-16,1.58e-16
4143.323,-2.98e-16,1.60e-16
4147.735,-5.45e-16,1.43e-16
4152.148,-1.98e-16,1.41e-16
4156.56,-7.63e-16,1.19e-16
4160.972,-4.22e-16,1.39e-16
4165.384,-1.78e-16,1.52e-16
4169.796,5.22e-16,1.77e-16
4174.208,1.62e-16,1.63e-16
4178.619,-2.68e-16,1.50e-16
4183.03,-4.24e-16,1.35e-16
4187.441,-4.24e-16,1.36e-16
4191.852,-3.93e-16,1.34e-16
4196.263,-6.11e-16,1.31e-16
4200.673,-2.88e-16,1.43e-16
4205.083,-1.48e-16,1.49e-16
4209.494,1.32e-16,1.58e-16
4213.903,-3.82e-17,1.47e-16
4218.313,-3.69e-16,1.38e-16
4222.723,-2.98e-16,1.36e-16
4227.132,-3.82e-17,1.49e-16
4231.541,-1.48e-16,1.49e-16
4235.95,1.42e-16,1.57e-16
4240.359,4.22e-16,1.64e-16
4244.768,-3.29e-16,1.41e-16
4249.177,-7.82e-17,1.49e-16
4253.585,-2.28e-16,1.41e-16
4257.993,1.18e-17,1.49e-16
4262.401,-6.82e-17,1.46e-16
4266.809,-3.40e-16,1.40e-16
4271.217,2.18e-17,1.53e-16
4275.624,-1.28e-16,1.49e-16
4280.031,-4.44e-16,1.40e-16
4284.438,-2.28e-16,1.51e-16
4288.845,1.42e-16,1.57e-16
4293.252,-2.82e-17,1.49e-16
4297.659,-3.92e-16,1.38e-16
4302.065,-5.17e-16,1.34e-16
4306.472,-8.00e-16,1.35e-16
4310.878,-5.55e-16,1.48e-16
4315.284,-4.72e-16,1.60e-16
4319.69,1.52e-16,1.76e-16
4324.095,2.12e-16,1.82e-16
4328.501,2.42e-16,1.86e-16
4332.906,-2.68e-16,1.69e-16
4337.311,-3.99e-16,1.69e-16
4341.716,6.12e-16,1.93e-16
4346.121,-2.48e-16,1.84e-16
4350.525,2.18e-17,1.92e-16
4354.93,-4.62e-16,1.73e-16
4359.334,-8.73e-16,1.44e-16
4363.738,-4.82e-16,1.45e-16
4368.142,-8.82e-17,1.53e-16
4372.546,6.18e-17,1.72e-16
4376.95,-8.24e-18,1.79e-16
4381.353,3.02e-16,1.90e-16
4385.757,-1.88e-16,1.77e-16
4390.16,-8.07e-16,1.58e-16
4394.563,-6.12e-16,1.57e-16
4398.966,5.18e-17,1.67e-16
4403.369,2.72e-16,1.79e-16
4407.771,-5.44e-16,1.75e-16
4412.174,-1.08e-16,1.90e-16
4416.576,2.18e-17,1.91e-16
4420.978,3.82e-16,1.89e-16
4425.38,-7.82e-17,1.80e-16
4429.782,-2.88e-16,1.78e-16
4434.183,3.72e-16,1.91e-16
4438.585,-2.58e-16,1.90e-16
4442.986,2.02e-16,2.06e-16
4447.387,-5.82e-17,1.98e-16
4451.788,1.92e-16,2.01e-16
4456.189,-6.44e-16,1.85e-16
4460.59,1.02e-16,1.98e-16
4464.99,-1.08e-16,1.94e-16
4469.391,1.82e-16,2.01e-16
4473.791,-2.18e-16,1.98e-16
4478.191,-4.82e-17,1.97e-16
4482.591,6.18e-17,2.01e-16
4486.991,-3.92e-16,1.94e-16
4491.391,-3.08e-16,1.92e-16
4495.79,-2.48e-16,1.91e-16
4500.19,-1.38e-16,1.91e-16
4504.589,-6.28e-16,1.86e-16
4508.988,-7.82e-17,1.94e-16
4513.387,-1.08e-16,1.89e-16
4517.786,8.18e-17,1.92e-16
4522.184,-3.08e-16,1.86e-16
4526.583,-3.31e-16,1.84e-16
4530.981,-4.75e-16,1.79e-16
4535.379,1.02e-16,1.83e-16
4539.777,3.52e-16,1.86e-16
4544.175,-1.38e-16,1.76e-16
4548.573,5.18e-17,1.75e-16
4552.971,1.02e-16,1.75e-16
4557.368,-8.82e-17,1.69e-16
4561.766,-2.78e-16,1.64e-16
4566.163,-1.38e-16,1.64e-16
4570.56,7.18e-17,1.63e-16
4574.957,-4.84e-16,1.52e-16
4579.354,-1.98e-16,1.55e-16
4583.751,-6.82e-17,1.55e-16
4588.147,-3.18e-16,1.50e-16
4592.544,3.62e-16,1.56e-16
4596.94,-1.18e-16,1.48e-16
4601.336,-9.82e-17,1.45e-16
4605.732,-2.38e-16,1.41e-16
4610.128,-1.68e-16,1.40e-16
4614.524,-1.78e-16,1.39e-16
4618.919,3.18e-17,1.40e-16
4623.315,-2.88e-16,1.33e-16
4627.71,-1.08e-16,1.35e-16
4632.105,8.82e-16,1.52e-16
4636.5,8.18e-17,1.35e-16
4640.895,5.42e-16,1.41e-16
4645.29,-4.82e-17,1.30e-16
4649.685,-1.82e-17,1.30e-16
4654.079,1.52e-16,1.32e-16
4658.474,-5.82e-17,1.28e-16
4662.868,-1.78e-16,1.23e-16
4667.262,1.42e-16,1.25e-16
4671.656,3.18e-17,1.25e-16
4676.05,4.12e-16,1.30e-16
4680.444,-2.82e-17,1.23e-16
4684.838,3.12e-16,1.25e-16
4689.231,1.02e-16,1.21e-16
4693.625,4.22e-16,1.25e-16
4698.018,2.72e-16,1.21e-16
4702.411,2.62e-16,1.20e-16
4706.804,-9.82e-17,1.13e-16
4711.197,1.92e-16,1.16e-16
4715.59,-1.68e-16,1.08e-16
4719.983,-8.24e-18,1.12e-16
4724.375,5.18e-17,1.12e-16
4728.768,-4.94e-16,1.01e-16
4733.16,2.32e-16,1.16e-16
4737.552,-1.18e-16,1.07e-16
4741.944,5.18e-17,1.08e-16
4746.336,2.18e-17,1.06e-16
4750.728,-3.53e-16,9.82e-17
4755.12,-2.38e-16,1.01e-16
4759.511,-8.82e-17,1.01e-16
4763.903,2.22e-16,1.06e-16
4768.294,-5.82e-17,1.01e-16
4772.685,1.42e-16,1.06e-16
4777.077,-1.38e-16,9.82e-17
4781.468,-4.82e-17,1.01e-16
4785.858,2.18e-17,1.01e-16
4790.249,3.72e-16,1.07e-16
4794.64,-1.38e-16,9.50e-17
4799.031,-2.38e-16,9.40e-17
4803.421,3.18e-17,9.86e-17
4807.811,1.72e-16,1.03e-16
4812.202,3.82e-16,1.06e-16
4816.592,1.62e-16,1.02e-16
4820.982,-3.64e-16,9.08e-17
4825.372,-1.18e-16,9.24e-17
4829.761,3.18e-17,9.69e-17
4834.151,-1.58e-16,9.42e-17
4838.541,1.18e-17,9.85e-17
4842.93,-1.98e-16,9.97e-17
4847.319,7.18e-17,1.03e-16
4851.709,2.52e-16,1.10e-16
4856.098,1.22e-16,1.07e-16
4860.487,5.18e-17,1.05e-16
4864.876,4.18e-17,1.02e-16
4869.265,6.18e-17,1.02e-16
4873.653,3.02e-16,1.06e-16
4878.042,2.42e-16,1.03e-16
4882.431,-4.82e-17,9.71e-17
4886.819,2.42e-16,1.00e-16
4891.207,-1.08e-16,9.31e-17
4895.595,-1.28e-16,9.37e-17
4899.984,-2.08e-16,9.24e-17
4904.372,1.02e-16,1.01e-16
4908.759,-1.58e-16,9.61e-17
4913.147,2.02e-16,1.02e-16
4917.535,1.72e-16,9.97e-17
4921.923,1.42e-16,9.90e-17
4926.31,9.18e-17,9.73e-17
4930.698,1.12e-16,9.89e-17
4935.085,4.18e-17,1.00e-16
4939.472,1.12e-16,1.00e-16
4943.859,2.02e-16,1.01e-16
4948.246,3.72e-16,1.05e-16
4952.633,-2.82e-17,9.60e-17
4957.02,2.62e-16,1.02e-16
4961.407,2.02e-16,1.01e-16
4965.793,1.03e-15,1.14e-16
4970.18,8.32e-16,1.12e-16
4974.566,1.09e-15,1.18e-16
4978.953,1.06e-15,1.17e-16
4983.339,1.23e-15,1.20e-16
4987.725,7.12e-16,1.11e-16
4992.111,4.22e-16,1.07e-16
4996.497,3.02e-16,1.04e-16
5000.883,2.18e-17,9.76e-17
5005.269,4.02e-16,1.04e-16
5009.655,1.35e-15,1.18e-16
5014.04,1.81e-15,1.25e-16
5018.426,2.39e-15,1.33e-16
5022.811,3.39e-15,1.45e-16
5027.197,2.85e-15,1.39e-16
5031.582,2.09e-15,1.28e-16
5035.967,1.52e-15,1.19e-16
5040.352,1.06e-15,1.13e-16
5044.737,5.02e-16,1.05e-16
5049.122,4.18e-17,9.65e-17
5053.507,-9.82e-17,9.42e-17
5057.892,-2.48e-16,9.29e-17
5062.277,2.32e-16,1.00e-16
5066.661,-1.82e-17,9.61e-17
5071.046,6.18e-17,9.77e-17
5075.43,-2.68e-16,9.36e-17
5079.814,3.42e-16,1.02e-16
5084.199,1.02e-16,1.01e-16
5088.583,-5.84e-16,8.89e-17
5092.967,-1.98e-16,9.43e-17
5097.351,-1.28e-16,9.50e-17
5101.735,-4.68e-16,8.90e-17
5106.119,-4.82e-17,9.54e-17
5110.503,-5.82e-17,9.42e-17
5114.886,-1.82e-17,9.48e-17
5119.27,-2.58e-16,9.17e-17
5123.654,-1.88e-16,9.34e-17
5128.037,-2.98e-16,9.12e-17
5132.421,-2.82e-17,9.47e-17
5136.804,8.18e-17,9.63e-17
5141.187,-8.82e-17,9.42e-17
5145.57,-1.48e-16,9.48e-17
5149.954,-4.02e-16,9.09e-17
5154.337,-1.78e-16,9.34e-17
5158.72,-1.08e-16,9.32e-17
5163.102,6.18e-17,9.56e-17
5167.485,-5.45e-16,8.63e-17
