wave,inten,std
2898.654,0.093,0.028
2903.138,0.034,0.025
2907.622,0.127,0.032
2912.105,0.069,0.028
2916.588,0.086,0.029
2921.071,0.022,0.026
2925.553,-0.031,0.022
2930.036,0.076,0.030
2934.517,0.028,0.026
2938.999,0.140,0.032
2943.480,-0.082,0.019
2947.961,-0.012,0.025
2952.441,-0.028,0.022
2956.921,0.024,0.026
2961.401,0.101,0.031
2965.881,-0.019,0.022
2970.360,-0.009,0.023
2974.839,-0.004,0.026
2979.317,-0.040,0.022
2983.796,0.019,0.026
2988.274,-0.045,0.023
2992.751,0.036,0.026
2997.229,-0.002,0.024
3001.706,-0.034,0.025
3006.182,-0.011,0.025
3010.659,-0.121,0.017
3015.135,-0.011,0.024
3019.610,-0.111,0.018
3024.086,-0.005,0.024
3028.561,0.040,0.027
3033.036,-0.080,0.020
3037.510,-0.065,0.021
3041.985,-0.026,0.023
3046.458,0.040,0.027
3050.932,-0.042,0.021
3055.405,0.053,0.028
3059.878,-0.053,0.019
3064.351,-0.077,0.018
3068.823,-0.142,0.009
3073.295,-0.014,0.024
3077.767,0.012,0.026
3082.239,0.037,0.027
3086.710,0.018,0.025
3091.181,-0.080,0.019
3095.651,0.096,0.030
3100.121,0.030,0.026
3104.591,-0.009,0.025
3109.061,0.084,0.029
3113.530,-0.084,0.019
3117.999,0.004,0.024
3122.468,0.002,0.027
3126.937,-0.013,0.023
3131.405,0.078,0.029
3135.873,-0.072,0.020
3140.340,0.070,0.029
3144.807,0.068,0.030
3149.274,-0.000,0.026
3153.741,-0.019,0.025
3158.207,-0.004,0.026
3162.673,0.022,0.028
3167.139,-0.059,0.019
3171.605,0.086,0.029
3176.070,-0.067,0.021
3180.535,-0.050,0.021
3184.999,-0.035,0.023
3189.464,0.042,0.027
3193.928,0.115,0.031
3198.391,-0.145,0.014
3202.855,0.055,0.026
3207.318,-0.022,0.024
3211.781,-0.037,0.020
3216.243,0.005,0.026
3220.705,0.061,0.028
3225.167,-0.045,0.022
3229.629,0.065,0.028
3234.091,0.239,0.037
3238.552,0.109,0.031
3243.012,0.043,0.028
3247.473,-0.020,0.023
3251.933,-0.001,0.026
3256.393,-0.036,0.021
3260.853,-0.033,0.023
3265.312,-0.109,0.019
3269.771,-0.080,0.023
3274.230,0.101,0.031
3278.689,0.066,0.026
3283.147,-0.074,0.017
3287.605,0.058,0.027
3292.063,-0.030,0.023
3296.520,0.104,0.032
3300.977,0.046,0.026
3305.434,-0.142,0.017
3309.891,-0.046,0.021
3314.347,-0.058,0.021
3318.803,0.055,0.029
3323.259,0.024,0.027
3327.714,-0.042,0.023
3332.170,-0.030,0.023
3336.624,0.065,0.028
3341.079,-0.038,0.023
3345.533,0.100,0.028
3349.988,-0.012,0.024
3354.441,-0.050,0.023
3358.895,0.051,0.026
3363.348,0.018,0.024
3367.801,-0.089,0.017
3372.254,-0.009,0.024
3376.706,0.057,0.029
3381.159,0.111,0.030
3385.610,0.207,0.037
3390.062,-0.028,0.023
3394.514,0.116,0.031
3398.965,-0.076,0.020
3403.415,0.134,0.032
3407.866,-0.028,0.022
3412.316,-0.128,0.012
3416.766,0.011,0.025
3421.216,-0.061,0.022
3425.666,-0.046,0.021
3430.115,0.101,0.031
3434.564,-0.016,0.020
3439.013,0.122,0.030
3443.461,0.024,0.027
3447.909,-0.011,0.023
3452.357,0.075,0.026
3456.805,-0.036,0.023
3461.252,-0.112,0.013
3465.699,0.026,0.028
3470.146,-0.013,0.023
3474.593,-0.037,0.023
3479.039,0.055,0.027
3483.485,0.021,0.025
3487.931,0.043,0.025
3492.376,0.036,0.026
3496.822,-0.104,0.013
3501.267,0.047,0.027
3505.712,0.091,0.028
3510.156,-0.076,0.019
3514.600,0.148,0.033
3519.044,0.032,0.028
3523.488,0.005,0.026
3527.932,-0.069,0.023
3532.375,0.109,0.031
3536.818,0.043,0.026
3541.261,0.129,0.032
3545.703,-0.041,0.019
3550.145,-0.124,0.015
3554.587,-0.087,0.019
3559.029,-0.014,0.023
3563.471,0.020,0.026
3567.912,0.079,0.029
3572.353,-0.059,0.021
3576.794,0.063,0.031
3581.234,-0.152,0.010
3585.674,0.130,0.032
3590.114,0.003,0.024
3594.554,0.070,0.026
3598.993,0.220,0.036
3603.433,-0.098,0.018
3607.872,-0.009,0.024
3612.310,-0.011,0.024
3616.749,0.048,0.029
3621.187,0.122,0.030
3625.625,0.034,0.027
3630.063,0.042,0.028
3634.501,-0.090,0.017
3638.938,0.116,0.030
3643.375,-0.021,0.024
3647.812,-0.060,0.019
3652.248,0.108,0.030
3656.685,-0.054,0.020
3661.121,-0.021,0.023
3665.557,-0.128,0.015
3669.992,-0.029,0.025
3674.428,0.057,0.028
3678.863,0.048,0.029
3683.298,0.012,0.025
3687.732,0.070,0.028
3692.167,-0.009,0.024
3696.601,0.104,0.030
3701.035,0.013,0.026
3705.468,-0.045,0.021
3709.902,0.036,0.028
3714.335,0.041,0.029
3718.768,0.009,0.026
3723.201,-0.078,0.020
3727.633,0.065,0.030
3732.066,-0.042,0.020
3736.498,0.152,0.034
3740.930,0.043,0.029
3745.361,0.027,0.028
3749.793,0.029,0.026
3754.224,0.096,0.030
3758.655,0.063,0.029
3763.085,0.016,0.025
3767.516,0.102,0.030
3771.946,-0.084,0.015
3776.376,-0.049,0.021
3780.806,0.032,0.028
3785.236,-0.023,0.022
3789.665,0.073,0.031
3794.094,-0.020,0.023
3798.523,-0.007,0.026
3802.951,0.070,0.029
3807.380,-0.041,0.024
3811.808,0.199,0.034
3816.236,-0.041,0.021
3820.664,0.022,0.027
3825.091,0.122,0.033
3829.519,0.312,0.041
3833.946,0.033,0.026
3838.373,-0.007,0.024
3842.799,0.058,0.029
3847.226,-0.067,0.020
3851.652,0.122,0.031
3856.078,0.015,0.027
3860.504,0.106,0.032
3864.929,0.138,0.032
3869.355,-0.014,0.025
3873.780,0.173,0.036
3878.205,0.016,0.027
3882.629,0.038,0.030
3887.054,0.151,0.035
3891.478,0.023,0.029
3895.902,0.121,0.032
3900.326,0.124,0.035
3904.750,-0.015,0.023
3909.173,0.014,0.027
3913.596,0.039,0.030
3918.019,0.111,0.033
3922.442,0.138,0.034
3926.865,0.160,0.035
3931.287,0.102,0.032
3935.709,0.009,0.025
3940.131,0.076,0.029
3944.553,0.087,0.031
3948.974,0.037,0.029
3953.396,0.175,0.034
3957.817,-0.114,0.018
3962.238,0.040,0.028
3966.658,0.126,0.035
3971.079,0.104,0.031
3975.499,0.028,0.029
3979.919,0.069,0.029
3984.339,0.275,0.040
3988.759,0.155,0.036
3993.178,0.112,0.033
3997.598,0.200,0.037
4002.017,0.099,0.031
4006.435,0.152,0.035
4010.854,0.065,0.032
4015.273,0.133,0.035
4019.691,0.190,0.038
4024.109,0.150,0.037
4028.527,0.075,0.034
4032.944,0.133,0.039
4037.362,0.110,0.038
4041.779,0.035,0.035
4046.196,0.275,0.040
4050.613,0.211,0.039
4055.030,0.109,0.035
4059.446,0.346,0.044
4063.863,0.252,0.043
4068.279,0.428,0.047
4072.695,0.240,0.040
4077.110,0.187,0.038
4081.526,0.203,0.040
4085.941,0.206,0.039
4090.356,0.115,0.036
4094.771,0.227,0.040
4099.186,0.341,0.043
4103.600,0.154,0.037
4108.015,0.244,0.040
4112.429,0.249,0.041
4116.843,0.219,0.038
4121.257,0.470,0.049
4125.670,0.231,0.042
4130.084,0.273,0.043
4134.497,0.271,0.043
4138.910,0.126,0.038
4143.323,0.197,0.041
4147.735,0.115,0.038
4152.148,0.315,0.044
4156.560,0.347,0.046
4160.972,0.454,0.051
4165.384,0.071,0.037
4169.796,0.409,0.048
4174.208,0.265,0.043
4178.619,0.392,0.050
4183.030,0.312,0.046
4187.441,0.231,0.045
4191.852,0.197,0.043
4196.263,0.198,0.044
4200.673,0.296,0.047
4205.083,0.301,0.048
4209.494,0.221,0.046
4213.903,0.530,0.055
4218.313,0.317,0.050
4222.723,0.378,0.051
4227.132,0.336,0.051
4231.541,0.266,0.050
4235.950,0.135,0.046
4240.359,0.358,0.054
4244.768,0.245,0.049
4249.177,0.242,0.051
4253.585,0.219,0.050
4257.993,0.364,0.055
4262.401,0.344,0.055
4266.809,0.259,0.053
4271.217,0.381,0.058
4275.624,0.459,0.060
4280.031,0.206,0.053
4284.438,0.229,0.055
4288.845,0.470,0.062
4293.252,0.551,0.064
4297.659,0.624,0.067
4302.065,0.491,0.064
4306.472,0.453,0.065
4310.878,0.435,0.065
4315.284,0.085,0.058
4319.690,0.551,0.069
4324.095,0.437,0.068
4328.501,0.379,0.068
4332.906,0.604,0.073
4337.311,0.448,0.072
4341.716,0.459,0.075
4346.121,0.472,0.083
4350.525,0.516,0.090
4354.930,0.245,0.085
4359.334,0.351,0.081
4363.738,0.321,0.078
4368.142,0.810,0.085
4372.546,0.485,0.081
4376.950,0.444,0.080
4381.353,0.498,0.083
4385.757,0.424,0.083
4390.160,0.288,0.082
4394.563,0.154,0.081
4398.966,0.422,0.086
4403.369,0.741,0.093
4407.771,0.331,0.087
4412.174,0.500,0.093
4416.576,0.677,0.096
4420.978,0.467,0.093
4425.380,0.334,0.092
4429.782,0.586,0.099
4434.183,0.534,0.098
4438.585,0.388,0.098
4442.986,0.386,0.100
4447.387,0.516,0.100
4451.788,0.615,0.104
4456.189,0.704,0.107
4460.590,0.686,0.108
4464.990,0.521,0.105
4469.391,0.509,0.106
4473.791,0.540,0.108
4478.191,0.548,0.107
4482.591,0.340,0.105
4486.991,0.503,0.110
4491.391,0.756,0.112
4495.790,0.852,0.113
4500.190,0.455,0.107
4504.589,0.444,0.108
4508.988,0.046,0.103
4513.387,0.414,0.107
4517.786,0.563,0.109
4522.184,0.573,0.109
4526.583,0.593,0.109
4530.981,0.654,0.109
4535.379,0.537,0.105
4539.777,0.527,0.105
4544.175,0.427,0.102
4548.573,0.719,0.105
4552.971,0.471,0.102
4557.368,0.590,0.102
4561.766,0.491,0.099
4566.163,0.536,0.099
4570.560,0.798,0.101
4574.957,0.557,0.097
4579.354,0.740,0.100
4583.751,1.004,0.103
4588.147,0.747,0.098
4592.544,0.783,0.097
4596.940,0.731,0.096
4601.336,0.779,0.095
4605.732,0.842,0.096
4610.128,1.245,0.102
4614.524,0.622,0.091
4618.919,0.757,0.092
4623.315,0.733,0.091
4627.710,0.864,0.093
4632.105,0.611,0.090
4636.500,0.830,0.091
4640.895,0.770,0.089
4645.290,0.935,0.093
4649.685,0.846,0.091
4654.079,0.739,0.088
4658.474,0.746,0.089
4662.868,0.488,0.082
4667.262,0.682,0.084
4671.656,0.910,0.089
4676.050,0.654,0.084
4680.444,0.915,0.090
4684.838,0.654,0.082
4689.231,0.950,0.088
4693.625,0.817,0.085
4698.018,1.273,0.092
4702.411,0.832,0.084
4706.804,0.649,0.080
4711.197,0.575,0.078
4715.590,0.602,0.077
4719.983,0.586,0.079
4724.375,0.756,0.081
4728.768,0.835,0.083
4733.160,0.621,0.079
4737.552,0.920,0.084
4741.944,0.822,0.081
4746.336,0.783,0.079
4750.728,0.796,0.079
4755.120,0.850,0.081
4759.511,0.701,0.076
4763.903,1.128,0.084
4768.294,0.898,0.079
4772.685,0.803,0.078
4777.077,0.934,0.079
4781.468,0.794,0.078
4785.858,0.937,0.080
4790.249,0.956,0.080
4794.640,0.968,0.080
4799.031,0.680,0.075
4803.421,0.683,0.073
4807.811,0.781,0.076
4812.202,0.980,0.079
4816.592,1.067,0.083
4820.982,0.724,0.077
4825.372,1.093,0.082
4829.761,1.003,0.082
4834.151,1.131,0.085
4838.541,1.139,0.083
4842.930,0.840,0.081
4847.319,0.915,0.079
4851.709,1.003,0.084
4856.098,0.866,0.081
4860.487,1.152,0.086
4864.876,1.122,0.085
4869.265,0.909,0.080
4873.653,0.897,0.081
4878.042,1.068,0.085
4882.431,1.057,0.085
4886.819,0.837,0.081
4891.207,0.719,0.078
4895.595,0.781,0.079
4899.984,0.942,0.082
4904.372,0.929,0.082
4908.759,0.938,0.082
4913.147,0.955,0.083
4917.535,0.940,0.082
4921.923,0.959,0.083
4926.310,0.928,0.083
4930.698,1.002,0.084
4935.085,1.181,0.089
4939.472,0.959,0.084
4943.859,1.147,0.087
4948.246,0.988,0.085
4952.633,1.038,0.086
4957.020,0.949,0.085
4961.407,1.123,0.089
4965.793,1.045,0.088
4970.180,1.509,0.097
4974.566,1.370,0.097
4978.953,1.174,0.094
4983.339,1.206,0.096
