TIME,CH1,CH2,,TIME,MATH
0.00E+00,1.98,0.013,,0.00E+00,0.0126563
1.25E+03,1.98,0.013,,2.50E+04,0.0138281
2.50E+03,1.94,0.013,,5.00E+04,0.015
3.75E+03,1.98,0.013,,7.50E+04,0.151563
5.00E+03,1.98,0.013,,1.00E+05,0.288125
6.25E+03,1.98,0.013,,1.25E+05,0.721875
7.50E+03,1.98,0.013,,1.50E+05,1.15563
8.75E+03,1.98,0.011,,1.75E+05,0.946094
1.00E+04,1.98,0.013,,2.00E+05,0.736641
1.13E+04,2.02,0.013,,2.25E+05,0.387656
1.25E+04,1.98,0.015,,2.50E+05,0.03875
1.38E+04,2.02,0.013,,2.75E+05,0.0294531
1.50E+04,1.98,0.013,,3.00E+05,0.0202344
1.63E+04,2.02,0.011,,3.25E+05,0.0182031
1.75E+04,1.98,0.013,,3.50E+05,0.0161719
1.88E+04,2.02,0.011,,3.75E+05,0.0124219
2.00E+04,1.98,0.013,,4.00E+05,0.00867187
2.13E+04,2.02,0.013,,4.25E+05,0.0425
2.25E+04,1.98,0.013,,4.50E+05,0.0763281
2.38E+04,2.02,0.013,,4.75E+05,0.09625
2.50E+04,1.98,0.011,,5.00E+05,0.11625
2.63E+04,2.02,0.011,,5.25E+05,0.0702344
2.75E+04,1.98,0.011,,5.50E+05,0.0242969
2.88E+04,2.02,0.011,,5.75E+05,0.015
3.00E+04,1.98,0.011,,6.00E+05,0.00578125
3.13E+04,2.02,0.011,,6.25E+05,0.00976562
3.25E+04,1.98,0.011,,6.50E+05,0.0138281
3.38E+04,2.02,0.011,,6.75E+05,0.00976562
3.50E+04,1.98,0.011,,7.00E+05,0.00578125
3.63E+04,2.02,0.011,,7.25E+05,0.006875
3.75E+04,1.98,0.013,,7.50E+05,0.00804688
3.88E+04,2.02,0.011,,7.75E+05,0.0225
4.00E+04,1.98,0.011,,8.00E+05,0.0370313
4.13E+04,2.02,0.011,,8.25E+05,0.0280469
4.25E+04,1.98,0.011,,8.50E+05,0.0190625
4.38E+04,2.02,0.011,,8.75E+05,0.00976562
4.50E+04,2.02,0.013,,9.00E+05,0.000546875
4.63E+04,2.02,0.013,,9.25E+05,0.00429687
4.75E+04,1.98,0.011,,9.50E+05,0.00804688
4.88E+04,2.02,0.011,,9.75E+05,0.006875
5.00E+04,2.02,0.011,,1.00E+06,0.00578125
5.13E+04,2.02,0.011,,1.03E+06,0.003125
5.25E+04,2.02,0.009,,1.05E+06,0.000546875
5.38E+04,2.02,0.009,,1.08E+06,0.00601562
5.50E+04,2.02,0.009,,1.10E+06,0.0115625
5.63E+04,2.02,0.011,,1.13E+06,0.0126563
5.75E+04,2.02,0.011,,1.15E+06,0.0138281
5.88E+04,2.02,0.011,,1.18E+06,0.00859375
6.00E+04,2.02,0.011,,1.20E+06,0.0034375
6.13E+04,2.02,0.011,,1.23E+06,0.0034375
6.25E+04,2.02,0.013,,1.25E+06,0.0034375
6.38E+04,2.02,0.013,,1.28E+06,0.00429687
6.50E+04,2.02,0.011,,1.30E+06,0.00515625
6.63E+04,2.02,0.011,,1.33E+06,0.0034375
6.75E+04,2.02,0.011,,1.35E+06,0.00171875
6.88E+04,2.06,0.011,,1.38E+06,0.00226562
7.00E+04,2.02,0.011,,1.40E+06,0.00289063
7.13E+04,2.02,0.011,,1.43E+06,0.00578125
7.25E+04,2.02,0.011,,1.45E+06,0.00867187
7.38E+04,2.02,0.011,,1.48E+06,0.0071875
7.50E+04,2.02,0.011,,1.50E+06,0.00578125
7.63E+04,2.02,0.009,,1.53E+06,0.0034375
7.75E+04,2.02,0.009,,1.55E+06,0.00109375
7.88E+04,2.02,0.011,,1.58E+06,0.00140625
8.00E+04,2.02,0.009,,1.60E+06,0.00171875
8.13E+04,2.02,0.009,,1.63E+06,0.003125
8.25E+04,1.98,0.011,,1.65E+06,0.00460938
8.38E+04,2.02,0.009,,1.68E+06,0.00257812
8.50E+04,1.98,0.009,,1.70E+06,0.000546875
8.63E+04,2.02,0.009,,1.73E+06,0.00195312
8.75E+04,2.02,0.009,,1.75E+06,0.0034375
8.88E+04,2.02,0.009,,1.78E+06,0.003125
9.00E+04,2.02,0.009,,1.80E+06,0.00289063
9.13E+04,2.06,0.011,,1.83E+06,0.00226562
9.25E+04,2.02,0.007,,1.85E+06,0.00171875
9.38E+04,2.02,0.007,,1.88E+06,0.00140625
9.50E+04,2.02,0.009,,1.90E+06,0.00109375
9.63E+04,2.06,0.009,,1.93E+06,0.0028125
9.75E+04,2.02,0.009,,1.95E+06,0.00460938
9.88E+04,2.02,0.009,,1.98E+06,0.00257812
1.00E+05,2.02,0.009,,2.00E+06,0.000546875
1.01E+05,2.02,0.011,,2.03E+06,0.00109375
1.03E+05,2.02,0.009,,2.05E+06,0.00171875
1.04E+05,2.02,0.009,,2.08E+06,0.00140625
1.05E+05,2.02,0.009,,2.10E+06,0.00109375
1.06E+05,2.02,0.007,,2.13E+06,0.00195312
1.08E+05,2.02,0.009,,2.15E+06,0.00289063
1.09E+05,2.02,0.009,,2.18E+06,0.00195312
1.10E+05,1.98,0.009,,2.20E+06,0.00109375
1.11E+05,2.02,0.009,,2.23E+06,0.00226562
1.13E+05,2.02,0.009,,2.25E+06,0.0034375
1.14E+05,2.02,0.009,,2.28E+06,0.00257812
1.15E+05,1.98,0.007,,2.30E+06,0.00171875
1.16E+05,2.02,0.007,,2.33E+06,0.00109375
1.18E+05,1.98,0.007,,2.35E+06,0.000546875
1.19E+05,2.02,0.007,,2.38E+06,0.000234375
1.20E+05,1.98,0.007,,2.40E+06,0
1.21E+05,2.02,0.007,,2.43E+06,0.00109375
1.23E+05,1.98,0.009,,2.45E+06,0.00226562
1.24E+05,2.02,0.007,,2.48E+06,0.00140625
1.25E+05,1.98,0.007,,2.50E+06,0.000546875
1.26E+05,2.02,0.009,,2.53E+06,0.000546875
1.28E+05,1.98,0.009,,2.55E+06,0.000546875
1.29E+05,2.02,0.009,,2.58E+06,0.00171875
1.30E+05,1.98,0.009,,2.60E+06,0.00289063
1.31E+05,2.02,0.007,,2.63E+06,0.00171875
1.33E+05,2.02,0.009,,2.65E+06,0.000546875
1.34E+05,2.02,0.007,,2.68E+06,0.00109375
1.35E+05,2.02,0.007,,2.70E+06,0.00171875
1.36E+05,2.02,0.007,,2.73E+06,0.00195312
1.38E+05,2.02,0.007,,2.75E+06,0.00226562
1.39E+05,2.02,0.007,,2.78E+06,0.00226562
1.40E+05,1.98,0.007,,2.80E+06,0.00226562
1.41E+05,2.02,0.007,,2.83E+06,0.00140625
1.43E+05,1.98,0.007,,2.85E+06,0.000546875
1.44E+05,1.98,0.007,,2.88E+06,0.00078125
1.45E+05,1.98,0.007,,2.90E+06,0.00109375
1.46E+05,1.98,0.007,,2.93E+06,0.00078125
1.48E+05,1.98,0.007,,2.95E+06,0.000546875
1.49E+05,1.98,0.005,,2.98E+06,0.00078125
1.50E+05,1.98,0.005,,3.00E+06,0.00109375
1.51E+05,2.02,0.005,,3.03E+06,0.00078125
1.53E+05,1.98,0.007,,3.05E+06,0.000546875
1.54E+05,1.98,0.005,,3.08E+06,0.00109375
1.55E+05,1.98,0.005,,3.10E+06,0.00171875
1.56E+05,2.02,0.007,,3.13E+06,0.00109375
1.58E+05,1.98,0.007,,3.15E+06,0.000546875
