inten,std
181.745,28.172
234.754,29.149
323.972,29.456
296.418,29.726
269.685,29.911
379.161,30.309
348.954,31.026
350.353,30.849
353.487,30.670
419.967,32.057
519.591,32.460
401.191,32.243
482.693,33.759
402.597,32.797
538.014,33.965
580.466,35.080
701.004,36.505
690.347,36.396
663.534,35.884
798.378,37.598
945.815,39.694
894.457,39.072
988.372,39.908
1228.602,42.563
1168.892,42.681
1306.317,43.814
1312.701,44.245
1525.752,46.429
1660.729,47.892
1903.131,50.086
1985.682,51.221
2203.386,52.741
2576.459,56.282
2675.524,57.259
3051.601,60.139
3177.141,61.552
3368.967,63.179
3870.882,66.736
4297.142,70.354
4864.847,74.193
5076.398,75.476
5149.824,75.879
5262.405,76.731
5993.996,81.392
6700.159,85.508
7768.466,91.633
8184.285,93.854
8221.532,93.806
8856.365,97.127
9327.937,99.733
9881.307,102.487
10222.512,104.152
10500.250,105.473
11121.143,108.253
11538.961,110.398
12536.847,114.837
13086.278,117.105
14392.439,122.551
16376.693,130.463
18172.792,136.995
19387.476,141.597
19825.475,143.194
19487.489,141.879
18609.786,138.776
18119.741,136.929
18413.959,138.017
18348.318,137.810
18643.209,138.837
19922.309,143.585
22544.386,152.347
25751.766,162.535
28578.817,171.025
31018.381,177.988
32491.355,182.018
34635.016,187.754
36700.477,193.286
39051.844,199.283
39876.837,201.230
40866.978,203.680
41327.716,204.892
41329.457,204.989
41984.662,206.479
38792.256,198.602
35481.822,190.078
31345.292,178.912
30638.835,176.747
31660.220,179.779
37387.241,195.122
47534.513,219.590
53836.127,233.409
60094.762,246.614
62666.892,251.624
65521.475,257.349
65550.537,257.353
69038.335,263.937
70016.406,265.907
72298.911,270.073
72541.346,270.528
75173.811,275.336
75980.818,276.777
77212.181,279.048
79129.266,282.444
80233.307,284.334
81845.161,287.285
84754.326,292.326
84944.937,292.586
85323.419,293.262
87019.240,296.202
87914.003,297.583
88817.089,299.123
86923.138,295.991
87178.821,296.399
85113.727,292.868
77633.993,279.789
69194.695,264.287
60962.154,248.269
57839.662,241.797
63935.776,254.121
78034.910,280.602
89219.743,299.754
95729.868,310.444
99815.726,316.958
101770.318,320.090
103681.541,323.055
106298.673,327.124
107150.138,328.465
109695.752,332.299
110618.256,333.653
112495.151,336.458
113313.302,337.681
115702.290,341.225
115359.057,340.672
115952.343,341.652
116326.913,342.101
117753.831,344.301
117777.638,344.306
120244.275,347.781
120323.727,347.999
121446.969,349.567
124124.602,353.387
124130.968,353.408
125649.931,355.545
127324.212,357.826
126639.686,356.936
128462.429,359.510
129793.918,361.341
129246.786,360.582
129741.797,361.197
131453.820,363.620
132374.322,364.814
133108.582,365.834
134531.779,367.783
136176.686,370.087
136006.169,369.775
136780.662,370.802
136637.974,370.662
137667.755,371.924
138549.931,373.263
139299.912,374.268
140569.705,376.030
141213.909,376.792
141093.577,376.638
142561.561,378.552
140856.732,376.319
140733.738,376.132
141720.863,377.435
140377.557,375.729
134491.499,367.814
124855.145,354.359
109232.558,331.705
91927.429,304.413
84926.293,292.791
96307.052,311.592
116639.717,342.693
131770.470,364.087
141930.980,377.848
148566.247,386.425
150475.231,388.889
152697.790,391.776
153896.836,393.245
153443.838,392.650
153072.656,392.226
153443.654,392.710
154422.493,393.969
155399.387,395.247
158203.789,398.713
159134.078,399.933
159462.482,400.354
158576.436,399.154
160342.048,401.422
159925.659,400.889
161591.495,402.972
160161.578,401.151
160715.732,401.836
162074.557,403.506
161364.990,402.745
160975.874,402.213
161453.929,402.868
161751.605,403.195
160328.872,401.445
160476.442,401.571
161079.380,402.360
158455.443,399.079
158050.495,398.639
160184.346,401.272
161151.326,402.511
164208.455,406.200
165489.871,407.790
164966.182,407.193
165589.933,407.977
166072.960,408.547
165019.378,407.314
167219.663,409.983
167180.583,409.913
167402.707,410.189
168979.431,412.113
168276.058,411.148
169832.617,413.075
169347.277,412.465
169766.503,412.957
169254.857,412.343
170601.643,413.920
172509.003,416.332
171757.695,415.319
173613.043,417.529
173077.237,416.955
174063.502,418.100
172333.985,416.050
174180.097,418.272
175943.432,420.433
176659.724,421.191
177309.287,422.013
178820.849,423.739
178441.290,423.338
180364.373,425.549
179615.506,424.698
180798.656,426.057
180188.093,425.357
180557.093,425.750
180738.928,426.016
183167.868,428.883
183932.586,429.784
184687.028,430.586
185075.471,431.073
186036.889,432.147
184635.788,430.527
185946.781,432.100
186277.849,432.436
186778.566,433.079
187076.048,433.354
188174.003,434.694
189841.600,436.481
188932.015,435.522
190138.447,436.841
189906.387,436.607
189609.526,436.269
189949.743,436.732
190560.517,437.339
191120.750,438.008
190905.025,437.780
192508.916,439.607
191877.833,439.015
192816.123,440.040
192178.704,439.259
193253.467,440.481
194770.676,442.263
194632.664,441.992
196403.460,444.110
194157.320,441.545
193669.215,441.017
194151.224,441.582
194955.397,442.394
196022.938,443.674
195321.147,442.840
196282.233,443.903
197019.170,444.801
197143.346,444.783
196767.347,444.518
197153.984,444.908
197948.482,445.786
197934.225,445.865
195806.865,443.520
196908.856,444.613
194768.105,442.222
192643.110,439.830
193109.320,440.352
187095.927,433.499
178415.924,423.264
162158.139,403.651
140333.762,375.718
120055.081,347.642
117614.589,344.102
136254.911,370.235
161565.870,402.956
177547.560,422.275
186018.802,432.231
189633.871,436.468
193173.561,440.370
194176.101,441.511
196077.167,443.689
195348.346,442.889
196725.479,444.383
198715.557,446.712
196541.796,444.247
196524.545,444.137
195856.978,443.472
198078.620,445.936
197672.869,445.564
199657.735,447.766
198852.762,446.836
198320.838,446.245
199822.390,447.872
199779.755,447.869
199650.999,447.692
200508.036,448.665
202414.272,450.848
202656.537,451.097
203615.915,452.089
203421.230,451.921
202364.161,450.708
204083.198,452.593
203910.927,452.440
203815.182,452.350
204523.252,453.158
201800.466,450.188
202602.122,450.972
200184.987,448.328
202828.044,451.316
203562.918,452.080
204271.709,452.915
202950.457,451.396
203673.471,452.218
204126.303,452.721
203365.471,451.834
203746.673,452.271
203949.925,452.539
204386.930,452.903
204807.247,453.437
207672.008,456.602
207738.923,456.705
204964.688,453.557
206121.413,454.861
207636.063,456.545
207107.421,455.950
206772.458,455.548
205911.543,454.665
207496.591,456.312
207609.421,456.436
207884.294,456.728
209463.603,458.595
208737.128,457.674
207470.802,456.399
207313.773,456.208
208287.413,457.233
209252.735,458.266
208684.042,457.680
208288.542,457.223
209472.546,458.509
207467.930,456.328
207947.674,456.914
206459.797,455.229
205187.409,453.818
207343.784,456.218
207153.921,455.928
207802.290,456.718
206452.676,455.211
206666.399,455.431
207235.106,456.058
208752.202,457.747
209172.715,458.151
209258.571,458.313
207768.387,456.647
209307.178,458.347
207980.103,456.883
207006.343,455.818
205529.955,454.221
207214.184,455.965
206170.299,454.857
207430.767,456.218
208813.325,457.763
209733.937,458.794
206774.803,455.550
205616.165,454.213
206798.067,455.545
207954.610,456.835
207111.631,455.913
206170.159,454.917
207167.619,455.859
207111.742,455.924
207245.842,456.080
208234.799,457.154
206744.984,455.519
205893.884,454.592
204929.916,453.513
203657.802,452.102
204840.297,453.530
204169.807,452.722
205082.069,453.805
203472.611,451.923
204639.391,453.291
203970.145,452.607
204231.551,452.830
205034.894,453.703
204849.701,453.480
205907.127,454.676
202920.647,451.380
201181.866,449.459
201860.321,450.205
202905.619,451.347
202081.299,450.450
201488.770,449.779
201728.930,449.985
201652.992,449.974
197731.706,445.573
200279.816,448.426
198984.786,447.000
197094.288,444.925
199646.747,447.696
198964.859,446.975
198221.870,446.124
197276.231,445.027
196704.399,444.505
197669.113,445.549
197184.811,444.983
196726.917,444.455
198160.992,446.078
197353.785,445.210
197149.665,444.969
198111.058,446.042
197681.192,445.592
197313.078,445.115
196241.020,443.931
197241.025,445.082
197339.607,445.155
196820.530,444.554
195654.161,443.276
197867.152,445.755
195416.990,442.973
195745.311,443.401
195243.751,442.737
195940.865,443.554
197095.325,444.849
196663.854,444.293
195913.217,443.545
195609.799,443.166
194273.060,441.667
194933.996,442.419
195511.971,443.131
195651.950,443.269
194933.645,442.445
194387.489,441.813
194259.646,441.620
194999.393,442.455
195081.689,442.511
194612.481,442.058
194039.285,441.429
193582.513,440.947
193753.206,441.084
193660.927,441.013
192534.377,439.668
193022.779,440.259
191822.078,438.876
193749.998,441.048
191257.889,438.255
190955.422,437.862
191178.646,438.190
192291.502,439.427
191298.995,438.313
188939.375,435.647
190653.991,437.535
188306.524,434.861
188367.847,434.941
189570.151,436.273
188518.067,435.041
188365.610,434.943
187590.047,434.030
186964.979,433.272
184110.643,430.015
186023.570,432.253
185208.372,431.295
183517.876,429.343
183725.525,429.589
184487.894,430.442
182603.045,428.283
183499.002,429.299
182499.928,428.143
181420.631,426.820
180119.408,425.393
181466.813,426.922
180365.017,425.585
181886.677,427.315
179720.162,424.831
180673.544,425.973
179221.148,424.194
179206.194,424.246
177197.913,421.865
177871.055,422.612
177786.786,422.563
177282.716,421.923
175862.902,420.290
176072.596,420.551
176260.581,420.708
175914.520,420.284
174191.960,418.242
174968.541,419.173
175485.604,419.775
174370.158,418.478
176220.353,420.688
174233.397,418.278
175272.431,419.552
175389.077,419.652
174013.490,417.971
174609.219,418.738
173039.654,416.852
172965.130,416.826
173989.219,418.064
174527.739,418.640
173298.856,417.197
173435.497,417.423
173106.139,416.989
172207.939,415.866
171355.497,414.807
169566.314,412.616
168556.234,411.424
170097.452,413.302
165987.260,408.323
164353.619,406.236
162506.357,404.024
163045.919,404.669
163711.163,405.456
165453.748,407.672
164833.302,406.877
164098.607,406.029
162886.530,404.404
162702.028,404.319
162810.395,404.353
162500.248,404.086
162511.560,404.081
159078.681,399.763
158746.495,399.328
159160.897,399.917
158332.694,398.763
158638.710,399.200
157763.121,398.148
157961.028,398.270
155778.402,395.607
155979.584,395.877
157007.130,397.165
157920.771,398.350
157132.290,397.275
155689.495,395.412
156645.070,396.687
156131.558,396.073
155291.351,394.962
156071.964,395.949
154697.247,394.288
153724.475,392.954
153695.583,392.881
152788.794,391.677
152129.160,390.956
153070.091,392.144
151740.726,390.416
152620.906,391.555
150579.330,388.907
151477.357,390.146
150182.525,388.472
150573.505,388.936
150568.055,388.954
149298.828,387.372
149602.752,387.803
150120.517,388.456
149449.432,387.570
149667.924,387.874
147785.876,385.424
149148.792,387.203
148128.603,385.763
146906.459,384.280
146724.537,384.060
148744.091,386.637
147394.743,384.856
147156.638,384.598
146309.759,383.460
147535.104,385.145
145545.832,382.526
147269.128,384.698
144783.952,381.532
144584.448,381.302
144070.970,380.550
144285.133,380.855
144372.399,380.966
144800.377,381.499
144324.008,380.848
144652.265,381.259
143102.649,379.234
142922.239,379.023
143919.149,380.383
142313.742,378.184
142121.715,377.914
142158.746,378.023
142575.853,378.577
140459.936,375.827
140639.894,375.972
140496.980,375.810
138799.628,373.513
139124.156,373.988
137518.230,371.866
136604.864,370.613
136702.122,370.700
137208.529,371.441
135215.126,368.666
135492.954,369.105
134967.211,368.405
133642.494,366.545
133538.536,366.384
131436.601,363.492
128466.642,359.436
128981.035,360.125
129624.932,361.061
130300.978,362.002
128667.271,359.632
128897.168,360.042
129563.670,360.981
130831.488,362.621
130455.038,362.132
130251.957,361.869
129647.225,361.115
130910.008,362.799
130180.995,361.763
130195.304,361.770
129949.549,361.478
129018.395,360.116
127225.314,357.646
127637.419,358.267
128522.169,359.552
128086.567,358.872
127699.206,358.377
126911.067,357.168
125809.761,355.660
126305.200,356.415
125832.488,355.658
125939.791,355.922
126132.093,356.163
125878.841,355.801
123938.159,353.017
124434.713,353.719
124681.336,354.095
123712.105,352.724
123751.841,352.679
122084.455,350.490
121460.403,349.517
121397.950,349.378
120848.371,348.644
120919.915,348.794
121204.906,349.157
120777.632,348.593
118828.223,345.784
119650.684,346.924
117943.318,344.436
118437.743,345.229
117491.871,343.855
115644.601,341.099
116915.525,342.971
115902.255,341.506
115240.563,340.504
115276.797,340.509
115747.910,341.200
116194.694,341.952
115003.482,340.165
114485.644,339.345
111595.075,335.111
112965.082,337.187
113957.521,338.541
112514.548,336.461
111207.417,334.448
109137.956,331.364
107956.883,329.782
103797.493,323.200
99905.776,317.034
91647.205,303.838
80554.693,284.997
76800.134,278.268
79091.610,282.393
89660.751,300.371
95983.812,310.831
101218.590,319.100
103204.248,322.226
105545.124,325.891
105929.225,326.442
106403.668,327.146
105837.907,326.269
106048.562,326.660
104811.151,324.698
105218.739,325.439
105796.681,326.291
104473.918,324.223
104598.632,324.351
104897.265,324.793
104211.009,323.768
105274.318,325.398
104739.953,324.642
106327.853,327.033
106305.374,326.963
106581.871,327.356
105685.743,326.070
105049.136,325.086
103989.935,323.433
103653.270,322.996
102260.470,320.672
102699.951,321.376
103753.408,323.098
104959.000,324.915
105516.163,325.746
105159.430,325.179
104100.390,323.601
103931.787,323.315
101882.045,320.173
100467.772,317.896
99163.305,315.840
99913.305,317.110
99593.622,316.521
99352.703,316.218
100236.194,317.565
101014.350,318.846
100048.091,317.307
99178.515,315.954
98442.397,314.701
97366.301,313.020
94772.301,308.826
95757.834,310.370
94160.389,307.912
93631.747,306.951
94091.454,307.783
93928.041,307.478
93593.706,306.959
93776.022,307.214
93300.900,306.577
93593.035,306.947
92867.861,305.704
92673.948,305.455
91657.389,303.677
90527.586,301.940
90417.627,301.625
89381.928,300.021
89498.070,300.243
90206.485,301.360
90281.042,301.472
90914.689,302.588
91233.062,303.046
85949.647,294.215
73421.792,272.137
65827.355,257.846
68249.625,262.447
75064.437,275.070
76158.295,277.212
73965.409,273.169
73307.733,271.940
75473.731,275.943
77452.445,279.486
79553.957,283.250
82205.587,287.785
82661.268,288.722
82606.336,288.467
80486.968,284.822
78676.599,281.626
76598.542,277.939
