X,Y,Std
1.00,1.666666667,0.942809042
1.10,3,0.816496581
1.20,3.333333333,0.942809042
1.30,4.333333333,1.699673171
1.40,4.333333333,1.247219129
1.50,3,0.816496581
1.60,4.333333333,0.942809042
1.70,3.666666667,2.357022604
1.80,1.666666667,0.471404521
1.90,3,1.414213562
2.00,10.66666667,0.471404521
2.10,11.66666667,2.867441756
2.20,14,3.265986324
2.30,10.33333333,4.988876516
2.40,4.333333333,0.471404521
2.50,3.666666667,1.247219129
2.60,5,0.816496581
2.70,9,1.632993162
2.80,18,3.741657387
2.90,28,0.816496581
3.00,21.66666667,6.548960901
3.10,17,1.632993162
3.20,10.33333333,3.091206165
3.30,4,1.632993162
3.40,5.333333333,0.471404521
3.50,18,4.898979486
3.60,22.66666667,2.867441756
3.70,29,4.082482905
3.80,27.66666667,5.249338583
3.90,18.33333333,9.533566431
4.00,10.66666667,2.624669291
4.10,3.666666667,1.699673171
4.20,6,2.494438258
4.30,13.00,2.160246899
4.40,21.33,2.054804668
4.50,21.33333333,4.784233365
4.60,25.66666667,2.494438258
4.70,15.66666667,2.867441756
4.80,9.333333333,2.054804668
4.90,3.333333333,0.471404521
5.00,6.333333333,1.247219129
5.10,11.33333333,0.942809042
5.20,13.66666667,2.054804668
5.30,13,2.828427125
5.40,16.33333333,1.699673171
5.50,7,2.160246899
5.60,6.333333333,0.471404521
5.70,1.666666667,0.942809042
5.80,2.666666667,2.357022604
5.90,5,0.816496581
6.00,5.666666667,2.494438258
6.10,6.333333333,2.624669291
6.20,6,2.160246899
6.30,4.666666667,1.699673171
6.40,2.666666667,1.247219129
6.50,3.666666667,2.054804668
6.60,4.666666667,1.699673171
6.70,3.333333333,2.054804668
6.80,3,1.632993162
6.90,4.333333333,1.247219129
7.00,1.666666667,0.942809042
