X,Y,Std
1.00,8.333333333,3.299831646
1.10,11.66666667,0.471404521
1.20,13.33333333,0.471404521
1.30,15,3.265986324
1.40,23,7.788880964
1.50,22,0.816496581
1.60,16,3.559026084
1.70,12,2.160246899
1.80,8.666666667,2.494438258
1.90,21,2.160246899
2.00,33.33333333,3.091206165
2.10,44.33333333,7.845734864
2.20,63.66666667,9.877021593
2.30,45,6.480740698
2.40,39.66666667,6.847546195
2.50,12.66666667,2.054804668
2.60,12.66666667,2.357022604
2.70,36.33333333,4.496912521
2.80,58.66666667,1.699673171
2.90,104.3333333,9.533566431
3.00,110.6666667,10.6249183
3.10,83,7.788880964
3.20,47,6.377042157
3.30,16.33333333,1.699673171
3.40,13.66666667,2.624669291
3.50,43,4.898979486
3.60,91.33333333,5.436502143
3.70,120,13.1402689
3.80,143,9.273618495
3.90,100,8.524474568
4.00,51.66666667,5.557777334
4.10,25,6.164414003
4.20,20,4.642796092
4.30,41.67,7.586537784
4.40,83.00,13.4412301
4.50,121.6666667,3.299831646
4.60,118.6666667,13.19932658
4.70,87.66666667,7.586537784
4.80,43.33333333,9.533566431
4.90,22,3.741657387
5.00,16,2.943920289
5.10,32,3.559026084
5.20,63,7.483314774
5.30,74.33333333,4.988876516
5.40,66.33333333,5.436502143
5.50,45.66666667,1.699673171
5.60,26.66666667,6.12825877
5.70,11,2.160246899
5.80,8.333333333,2.624669291
5.90,17.66666667,1.885618083
6.00,28.66666667,2.624669291
6.10,19.33333333,1.699673171
6.20,20.33333333,1.247219129
6.30,17.66666667,3.858612301
6.40,9,2.160246899
6.50,9,2.943920289
6.60,6.333333333,2.054804668
6.70,7.333333333,1.247219129
6.80,8.333333333,1.247219129
6.90,6.666666667,0.942809042
7.00,6,0.816496581
