X,Y
1.00,25.5
1.10,32.4
1.20,34.5
1.30,25.7
1.40,14.5
1.50,13.1
1.60,29.6
1.70,55.1
1.80,77.3
1.90,85.1
2.00,89.7
2.10,104.8
2.20,129.8
2.30,147.3
2.40,144.9
2.50,134.3
2.60,159.5
2.70,252.3
2.80,404
2.90,504
3.00,493
3.10,353.5
3.20,210.8
3.30,202.4
3.40,429
3.50,822
3.60,1123
3.70,1115
3.80,772
3.90,365.6
4.00,194.5
4.10,505
4.20,1177
4.30,1791
4.40,1891
4.50,1377
4.55,997
4.60,628
4.65,342.10
4.70,169.90
4.75,198.70
4.80,430.00
4.85,765.00
4.90,1264
5.00,2199
5.10,2534
5.20,2003
5.30,974
5.40,192.1
5.50,258
5.60,1126
5.70,2201
5.80,2724
5.90,2299
6.00,1285
6.10,326.1
6.20,90.9
6.30,740
6.40,1756
6.50,2402
6.60,2229
6.70,1357
6.80,453
6.90,43.3
7.00,357.3
7.10,1093
7.20,1667
7.30,1683
7.40,1172
7.50,466
7.60,72.8
7.70,156.5
7.80,539
7.90,897
8.00,967
8.10,719
8.20,354.1
8.30,108.5
8.40,83.4
8.50,214.5
8.60,341.5
8.70,355.6
8.80,267
8.90,152.2
9.00,81.6
