TIME,CH1,CH2,,TIME,MATH
0.00E+00,-0.82,0.31,,0.00E+00,0.102422
1.25E+03,-0.78,0.31,,2.50E+04,0.089375
2.50E+03,-0.82,0.31,,5.00E+04,0.0763281
3.75E+03,-0.78,0.31,,7.50E+04,0.133594
5.00E+03,-0.78,0.31,,1.00E+05,0.190937
6.25E+03,-0.78,0.33,,1.25E+05,0.612812
7.50E+03,-0.78,0.33,,1.50E+05,1.03469
8.75E+03,-0.78,0.31,,1.75E+05,0.919531
1.00E+04,-0.78,0.31,,2.00E+05,0.804375
1.13E+04,-0.74,0.31,,2.25E+05,0.439219
1.25E+04,-0.78,0.33,,2.50E+05,0.0740625
1.38E+04,-0.74,0.33,,2.75E+05,0.04625
1.50E+04,-0.78,0.33,,3.00E+05,0.0185156
1.63E+04,-0.74,0.33,,3.25E+05,0.0225
1.75E+04,-0.78,0.33,,3.50E+05,0.0265625
1.88E+04,-0.78,0.33,,3.75E+05,0.0161719
2.00E+04,-0.78,0.33,,4.00E+05,0.00578125
2.13E+04,-0.74,0.31,,4.25E+05,0.0225
2.25E+04,-0.74,0.31,,4.50E+05,0.0392969
2.38E+04,-0.74,0.31,,4.75E+05,0.0777344
2.50E+04,-0.74,0.31,,5.00E+05,0.11625
2.63E+04,-0.74,0.31,,5.25E+05,0.0853125
2.75E+04,-0.78,0.31,,5.50E+05,0.054375
2.88E+04,-0.74,0.33,,5.75E+05,0.0277344
3.00E+04,-0.78,0.33,,6.00E+05,0.00109375
3.13E+04,-0.74,0.33,,6.25E+05,0.00484375
3.25E+04,-0.74,0.33,,6.50E+05,0.00867187
3.38E+04,-0.74,0.33,,6.75E+05,0.00835937
3.50E+04,-0.74,0.33,,7.00E+05,0.00804688
3.63E+04,-0.74,0.35,,7.25E+05,0.00515625
3.75E+04,-0.74,0.33,,7.50E+05,0.00226562
3.88E+04,-0.74,0.33,,7.75E+05,0.0109375
4.00E+04,-0.74,0.33,,8.00E+05,0.0196094
4.13E+04,-0.74,0.33,,8.25E+05,0.0279687
4.25E+04,-0.78,0.33,,8.50E+05,0.0364062
4.38E+04,-0.74,0.33,,8.75E+05,0.0221875
4.50E+04,-0.74,0.31,,9.00E+05,0.00804688
4.63E+04,-0.7,0.31,,9.25E+05,0.00453125
4.75E+04,-0.7,0.31,,9.50E+05,0.00109375
4.88E+04,-0.7,0.31,,9.75E+05,0.0028125
5.00E+04,-0.74,0.33,,1.00E+06,0.00460938
5.13E+04,-0.74,0.33,,1.03E+06,0.00398437
5.25E+04,-0.74,0.33,,1.05E+06,0.0034375
5.38E+04,-0.7,0.33,,1.08E+06,0.00171875
5.50E+04,-0.7,0.33,,1.10E+06,0
5.63E+04,-0.7,0.33,,1.13E+06,0.0071875
5.75E+04,-0.7,0.33,,1.15E+06,0.0144531
5.88E+04,-0.66,0.33,,1.18E+06,0.0129687
6.00E+04,-0.7,0.33,,1.20E+06,0.0115625
6.13E+04,-0.7,0.35,,1.23E+06,0.00664062
6.25E+04,-0.7,0.33,,1.25E+06,0.00171875
6.38E+04,-0.7,0.35,,1.28E+06,0.00257812
6.50E+04,-0.7,0.35,,1.30E+06,0.0034375
6.63E+04,-0.7,0.35,,1.33E+06,0.003125
6.75E+04,-0.7,0.35,,1.35E+06,0.00289063
6.88E+04,-0.7,0.35,,1.38E+06,0.00289063
7.00E+04,-0.7,0.33,,1.40E+06,0.00289063
7.13E+04,-0.7,0.33,,1.43E+06,0.00289063
7.25E+04,-0.7,0.33,,1.45E+06,0.00289063
7.38E+04,-0.7,0.33,,1.48E+06,0.00515625
7.50E+04,-0.7,0.33,,1.50E+06,0.0075
7.63E+04,-0.7,0.35,,1.53E+06,0.0071875
7.75E+04,-0.7,0.33,,1.55E+06,0.006875
7.88E+04,-0.66,0.35,,1.58E+06,0.00367187
8.00E+04,-0.7,0.33,,1.60E+06,0.000546875
8.13E+04,-0.66,0.33,,1.63E+06,0.000546875
8.25E+04,-0.7,0.33,,1.65E+06,0.000546875
8.38E+04,-0.66,0.35,,1.68E+06,0.00226562
8.50E+04,-0.7,0.33,,1.70E+06,0.00398437
8.63E+04,-0.66,0.35,,1.73E+06,0.00226562
8.75E+04,-0.7,0.35,,1.75E+06,0.000546875
8.88E+04,-0.66,0.35,,1.78E+06,0.00109375
9.00E+04,-0.66,0.33,,1.80E+06,0.00171875
9.13E+04,-0.66,0.35,,1.83E+06,0.00429687
9.25E+04,-0.66,0.33,,1.85E+06,0.006875
