TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
6.02E+03,-1.14,-1.14,-0.2,-0.18,,1.20E+05,0.00570312
6.09E+03,-1.14,-1.18,-0.2,-0.2,,1.22E+05,0.00515625
6.17E+03,-1.18,-1.14,-0.2,-0.18,,1.23E+05,0.00546875
6.25E+03,-1.18,-1.18,-0.2,-0.2,,1.25E+05,0.00578125
6.33E+03,-1.14,-1.14,-0.2,-0.2,,1.27E+05,0.00546875
6.41E+03,-1.14,-1.14,-0.2,-0.2,,1.28E+05,0.00515625
6.48E+03,-1.14,-1.14,-0.18,-0.18,,1.30E+05,0.00546875
6.56E+03,-1.14,-1.14,-0.18,-0.2,,1.31E+05,0.00578125
6.64E+03,-1.14,-1.14,-0.18,-0.16,,1.33E+05,0.00515625
6.72E+03,-1.14,-1.14,-0.2,-0.2,,1.34E+05,0.00460938
6.80E+03,-1.14,-1.14,-0.2,-0.18,,1.36E+05,0.00515625
6.88E+03,-1.14,-1.14,-0.18,-0.2,,1.38E+05,0.00578125
6.95E+03,-1.14,-1.14,-0.2,-0.18,,1.39E+05,0.00515625
7.03E+03,-1.14,-1.14,-0.2,-0.2,,1.41E+05,0.00460938
7.11E+03,-1.14,-1.14,-0.18,-0.18,,1.42E+05,0.00484375
7.19E+03,-1.14,-1.14,-0.18,-0.2,,1.44E+05,0.00515625
7.27E+03,-1.14,-1.14,-0.2,-0.18,,1.45E+05,0.00484375
7.34E+03,-1.14,-1.14,-0.18,-0.2,,1.47E+05,0.00460938
7.42E+03,-1.14,-1.14,-0.18,-0.18,,1.48E+05,0.00484375
7.50E+03,-1.14,-1.14,-0.18,-0.2,,1.50E+05,0.00515625
7.58E+03,-1.14,-1.1,-0.2,-0.18,,1.52E+05,0.00484375
7.66E+03,-1.14,-1.14,-0.18,-0.2,,1.53E+05,0.00460938
7.73E+03,-1.14,-1.14,-0.2,-0.18,,1.55E+05,0.00484375
7.81E+03,-1.14,-1.14,-0.2,-0.2,,1.56E+05,0.00515625
7.89E+03,-1.14,-1.14,-0.18,-0.18,,1.58E+05,0.00453125
7.97E+03,-1.14,-1.14,-0.18,-0.2,,1.59E+05,0.00398437
8.05E+03,-1.14,-1.14,-0.18,-0.18,,1.61E+05,0.00453125
8.13E+03,-1.14,-1.14,-0.2,-0.22,,1.63E+05,0.00515625
8.20E+03,-1.14,-1.14,-0.18,-0.18,,1.64E+05,0.00453125
8.28E+03,-1.14,-1.14,-0.2,-0.2,,1.66E+05,0.00398437
8.36E+03,-1.14,-1.14,-0.2,-0.2,,1.67E+05,0.00429687
8.44E+03,-1.14,-1.14,-0.2,-0.2,,1.69E+05,0.00460938
8.52E+03,-1.14,-1.14,-0.2,-0.18,,1.70E+05,0.00460938
8.59E+03,-1.14,-1.14,-0.2,-0.2,,1.72E+05,0.00460938
8.67E+03,-1.14,-1.1,-0.18,-0.18,,1.73E+05,0.00429687
8.75E+03,-1.14,-1.14,-0.2,-0.2,,1.75E+05,0.00398437
8.83E+03,-1.14,-1.14,-0.18,-0.18,,1.77E+05,0.00398437
8.91E+03,-1.14,-1.14,-0.2,-0.2,,1.78E+05,0.00398437
8.98E+03,-1.14,-1.14,-0.18,-0.18,,1.80E+05,0.00398437
9.06E+03,-1.14,-1.14,-0.2,-0.2,,1.81E+05,0.00398437
9.14E+03,-1.14,-1.14,-0.18,-0.18,,1.83E+05,0.00398437
9.22E+03,-1.14,-1.14,-0.18,-0.2,,1.84E+05,0.00398437
9.30E+03,-1.14,-1.1,-0.2,-0.18,,1.86E+05,0.00398437
9.38E+03,-1.14,-1.14,-0.18,-0.2,,1.88E+05,0.00398437
9.45E+03,-1.1,-1.1,-0.18,-0.18,,1.89E+05,0.00398437
9.53E+03,-1.14,-1.14,-0.2,-0.2,,1.91E+05,0.00398437
9.61E+03,-1.14,-1.1,-0.2,-0.18,,1.92E+05,0.00367187
9.69E+03,-1.14,-1.14,-0.18,-0.2,,1.94E+05,0.0034375
9.77E+03,-1.14,-1.1,-0.18,-0.18,,1.95E+05,0.00367187
9.84E+03,-1.14,-1.14,-0.18,-0.18,,1.97E+05,0.00398437
9.92E+03,-1.1,-1.1,-0.18,-0.18,,1.98E+05,0.00398437
1.00E+04,-1.14,-1.14,-0.2,-0.2,,2.00E+05,0.00398437
1.01E+04,-1.14,-1.1,-0.18,-0.18,,2.02E+05,0.00398437
1.02E+04,-1.14,-1.14,-0.18,-0.2,,2.03E+05,0.00398437
1.02E+04,-1.14,-1.1,-0.2,-0.18,,2.05E+05,0.00398437
1.03E+04,-1.14,-1.14,-0.18,-0.2,,2.06E+05,0.00398437
1.04E+04,-1.14,-1.1,-0.18,-0.18,,2.08E+05,0.00367187
1.05E+04,-1.1,-1.14,-0.16,-0.18,,2.09E+05,0.0034375
1.05E+04,-1.1,-1.1,-0.18,-0.16,,2.11E+05,0.003125
1.06E+04,-1.14,-1.14,-0.2,-0.2,,2.13E+05,0.00289063
1.07E+04,-1.14,-1.1,-0.18,-0.18,,2.14E+05,0.0034375
1.08E+04,-1.1,-1.14,-0.2,-0.2,,2.16E+05,0.00398437
1.09E+04,-1.14,-1.1,-0.18,-0.18,,2.17E+05,0.00367187
1.09E+04,-1.14,-1.14,-0.2,-0.2,,2.19E+05,0.0034375
1.10E+04,-1.14,-1.1,-0.2,-0.18,,2.20E+05,0.0034375
1.11E+04,-1.14,-1.14,-0.18,-0.2,,2.22E+05,0.0034375
1.12E+04,-1.14,-1.1,-0.18,-0.18,,2.23E+05,0.0034375
1.13E+04,-1.14,-1.14,-0.2,-0.2,,2.25E+05,0.0034375
1.13E+04,-1.14,-1.1,-0.2,-0.16,,2.27E+05,0.0034375
1.14E+04,-1.14,-1.14,-0.18,-0.2,,2.28E+05,0.0034375
1.15E+04,-1.14,-1.1,-0.2,-0.18,,2.30E+05,0.0034375
