TIME,CH1,CH2,,TIME,MATH
0.00E+00,-1.34,0.031,,0.00E+00,0.0300781
2.50E+03,-1.34,0.031,,5.00E+04,0.283828
5.00E+03,-1.34,0.031,,1.00E+05,0.537578
7.50E+03,-1.34,0.033,,1.50E+05,0.774844
1.00E+04,-1.34,0.033,,2.00E+05,1.01211
1.25E+04,-1.34,0.035,,2.50E+05,0.6825
1.50E+04,-1.34,0.033,,3.00E+05,0.352969
1.75E+04,-1.3,0.033,,3.50E+05,0.184297
2.00E+04,-1.3,0.029,,4.00E+05,0.015625
2.25E+04,-1.34,0.031,,4.50E+05,0.0453906
2.50E+04,-1.34,0.031,,5.00E+05,0.0751563
2.75E+04,-1.34,0.035,,5.50E+05,0.085
3.00E+04,-1.34,0.033,,6.00E+05,0.0948437
3.25E+04,-1.34,0.035,,6.50E+05,0.0589844
3.50E+04,-1.34,0.035,,7.00E+05,0.023125
3.75E+04,-1.3,0.033,,7.50E+05,0.015
4.00E+04,-1.34,0.031,,8.00E+05,0.006875
4.25E+04,-1.3,0.031,,8.50E+05,0.018125
4.50E+04,-1.34,0.031,,9.00E+05,0.0294531
4.75E+04,-1.3,0.033,,9.50E+05,0.026875
5.00E+04,-1.3,0.035,,1.00E+06,0.0242969
5.25E+04,-1.3,0.035,,1.05E+06,0.0167187
5.50E+04,-1.3,0.035,,1.10E+06,0.00921875
5.75E+04,-1.3,0.035,,1.15E+06,0.0065625
6.00E+04,-1.3,0.033,,1.20E+06,0.00398437
6.25E+04,-1.3,0.033,,1.25E+06,0.00921875
6.50E+04,-1.3,0.031,,1.30E+06,0.0144531
6.75E+04,-1.3,0.031,,1.35E+06,0.0109375
7.00E+04,-1.3,0.033,,1.40E+06,0.0075
7.25E+04,-1.3,0.035,,1.45E+06,0.006875
7.50E+04,-1.3,0.033,,1.50E+06,0.00632813
7.75E+04,-1.3,0.037,,1.55E+06,0.00429687
8.00E+04,-1.3,0.035,,1.60E+06,0.00226562
8.25E+04,-1.3,0.035,,1.65E+06,0.00570312
8.50E+04,-1.3,0.031,,1.70E+06,0.00921875
8.75E+04,-1.3,0.031,,1.75E+06,0.00515625
9.00E+04,-1.3,0.031,,1.80E+06,0.00109375
9.25E+04,-1.3,0.031,,1.85E+06,0.00226562
9.50E+04,-1.3,0.033,,1.90E+06,0.0034375
9.75E+04,-1.3,0.037,,1.95E+06,0.00226562
1.00E+05,-1.3,0.035,,2.00E+06,0.00109375
1.03E+05,-1.3,0.035,,2.05E+06,0.0034375
1.05E+05,-1.3,0.033,,2.10E+06,0.00578125
1.08E+05,-1.3,0.031,,2.15E+06,0.003125
1.10E+05,-1.3,0.029,,2.20E+06,0.000546875
1.13E+05,-1.3,0.031,,2.25E+06,0.00109375
1.15E+05,-1.26,0.031,,2.30E+06,0.00171875
1.18E+05,-1.26,0.031,,2.35E+06,0.00109375
1.20E+05,-1.3,0.033,,2.40E+06,0.000546875
1.23E+05,-1.26,0.035,,2.45E+06,0.00226562
1.25E+05,-1.3,0.035,,2.50E+06,0.00398437
1.28E+05,-1.26,0.035,,2.55E+06,0.003125
1.30E+05,-1.26,0.033,,2.60E+06,0.00226562
1.33E+05,-1.26,0.035,,2.65E+06,0.00257812
1.35E+05,-1.26,0.033,,2.70E+06,0.00289063
1.38E+05,-1.26,0.033,,2.75E+06,0.00171875
1.40E+05,-1.26,0.031,,2.80E+06,0.000546875
1.43E+05,-1.26,0.033,,2.85E+06,0.00171875
1.45E+05,-1.26,0.035,,2.90E+06,0.00289063
1.48E+05,-1.26,0.035,,2.95E+06,0.00195312
1.50E+05,-1.26,0.035,,3.00E+06,0.00109375
1.53E+05,-1.26,0.035,,3.05E+06,0.00164063
1.55E+05,-1.26,0.031,,3.10E+06,0.00226562
1.58E+05,-1.26,0.031,,3.15E+06,0.00140625
1.60E+05,-1.26,0.031,,3.20E+06,0.000546875
