TIME,CH1,CH2,,TIME,MATH
2.68E+05,1.06,-0.041,,5.35E+06,0.0014375
2.70E+05,1.06,-0.043,,5.40E+06,0.00171875
2.73E+05,1.06,-0.045,,5.45E+06,0.001125
2.75E+05,1.1,-0.045,,5.50E+06,0.0005625
2.78E+05,1.06,-0.045,,5.55E+06,0.00084375
2.80E+05,1.06,-0.041,,5.60E+06,0.00115625
2.83E+05,1.06,-0.041,,5.65E+06,0.00115625
2.85E+05,1.02,-0.041,,5.70E+06,0.00115625
2.88E+05,1.06,-0.041,,5.75E+06,0.0014375
2.90E+05,1.06,-0.041,,5.80E+06,0.00171875
2.93E+05,1.06,-0.043,,5.85E+06,0.0014375
2.95E+05,1.06,-0.045,,5.90E+06,0.00115625
2.98E+05,1.06,-0.043,,5.95E+06,0.00115625
3.00E+05,1.06,-0.043,,6.00E+06,0.00115625
3.03E+05,1.02,-0.043,,6.05E+06,0.00084375
3.05E+05,1.06,-0.041,,6.10E+06,0.0005625
3.08E+05,1.02,-0.039,,6.15E+06,0.001125
3.10E+05,1.06,-0.041,,6.20E+06,0.00171875
3.13E+05,1.06,-0.043,,6.25E+06,0.001125
3.15E+05,1.06,-0.043,,6.30E+06,0.0005625
3.18E+05,1.06,-0.043,,6.35E+06,0.00084375
3.20E+05,1.06,-0.043,,6.40E+06,0.00115625
3.23E+05,1.06,-0.043,,6.45E+06,0.00115625
3.25E+05,1.06,-0.043,,6.50E+06,0.00115625
3.28E+05,1.06,-0.043,,6.55E+06,0.00115625
3.30E+05,1.06,-0.043,,6.60E+06,0.00115625
3.33E+05,1.06,-0.043,,6.65E+06,0.00084375
3.35E+05,1.06,-0.043,,6.70E+06,0.0005625
3.38E+05,1.06,-0.043,,6.75E+06,0.00084375
3.40E+05,1.06,-0.043,,6.80E+06,0.00115625
3.43E+05,1.06,-0.043,,6.85E+06,0.00115625
3.45E+05,1.06,-0.043,,6.90E+06,0.00115625
3.48E+05,1.06,-0.043,,6.95E+06,0.00084375
3.50E+05,1.06,-0.043,,7.00E+06,0.0005625
3.53E+05,1.06,-0.043,,7.05E+06,0.0005625
3.55E+05,1.06,-0.041,,7.10E+06,0.0005625
3.58E+05,1.06,-0.041,,7.15E+06,0.001125
3.60E+05,1.06,-0.041,,7.20E+06,0.00171875
3.63E+05,1.06,-0.045,,7.25E+06,0.001125
3.65E+05,1.06,-0.045,,7.30E+06,0.0005625
3.68E+05,1.06,-0.045,,7.35E+06,0.00084375
3.70E+05,1.06,-0.045,,7.40E+06,0.00115625
3.73E+05,1.06,-0.043,,7.45E+06,0.00084375
3.75E+05,1.06,-0.043,,7.50E+06,0.0005625
3.78E+05,1.06,-0.041,,7.55E+06,0.00084375
3.80E+05,1.06,-0.043,,7.60E+06,0.00115625
3.83E+05,1.06,-0.043,,7.65E+06,0.0014375
3.85E+05,1.06,-0.045,,7.70E+06,0.00171875
3.88E+05,1.06,-0.045,,7.75E+06,0.0014375
