TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.27E+04,1.62,1.62,-0.98,-0.94,,2.53E+05,0.00140625
1.28E+04,1.62,1.62,-0.98,-0.98,,2.56E+05,0.00171875
1.30E+04,1.62,1.62,-0.98,-0.94,,2.59E+05,0.000859375
1.31E+04,1.62,1.62,-0.98,-0.98,,2.63E+05,0
1.33E+04,1.62,1.62,-0.98,-0.94,,2.66E+05,0.00109375
1.34E+04,1.62,1.62,-0.98,-0.98,,2.69E+05,0.00226562
1.36E+04,1.62,1.62,-0.98,-0.94,,2.72E+05,0.00140625
1.38E+04,1.62,1.62,-0.98,-0.98,,2.75E+05,0.000546875
1.39E+04,1.62,1.66,-0.94,-0.94,,2.78E+05,0.00109375
1.41E+04,1.62,1.62,-0.94,-0.98,,2.81E+05,0.00171875
1.42E+04,1.62,1.62,-0.98,-0.94,,2.84E+05,0.00140625
1.44E+04,1.62,1.62,-0.94,-0.94,,2.88E+05,0.00109375
1.45E+04,1.62,1.62,-0.94,-0.94,,2.91E+05,0.00109375
1.47E+04,1.62,1.62,-0.98,-0.98,,2.94E+05,0.00109375
1.48E+04,1.62,1.66,-0.98,-0.94,,2.97E+05,0.00109375
1.50E+04,1.66,1.62,-0.94,-0.94,,3.00E+05,0.00109375
1.52E+04,1.66,1.66,-0.94,-0.94,,3.03E+05,0.00140625
1.53E+04,1.66,1.62,-0.98,-0.98,,3.06E+05,0.00171875
1.55E+04,1.62,1.66,-0.94,-0.94,,3.09E+05,0.00109375
1.56E+04,1.62,1.62,-0.98,-0.98,,3.13E+05,0.000546875
1.58E+04,1.62,1.66,-0.98,-0.94,,3.16E+05,0.00078125
1.59E+04,1.62,1.62,-0.98,-0.98,,3.19E+05,0.00109375
1.61E+04,1.66,1.66,-0.94,-0.94,,3.22E+05,0.00078125
1.63E+04,1.62,1.62,-0.94,-0.98,,3.25E+05,0.000546875
1.64E+04,1.66,1.66,-0.98,-0.94,,3.28E+05,0.00078125
1.66E+04,1.62,1.62,-0.94,-0.94,,3.31E+05,0.00109375
1.67E+04,1.62,1.62,-0.94,-0.94,,3.34E+05,0.00078125
1.69E+04,1.62,1.62,-0.98,-0.98,,3.38E+05,0.000546875
1.70E+04,1.62,1.62,-0.98,-0.94,,3.41E+05,0.000546875
1.72E+04,1.62,1.62,-0.98,-0.98,,3.44E+05,0.000546875
1.73E+04,1.62,1.62,-0.94,-0.94,,3.47E+05,0.00109375
1.75E+04,1.62,1.62,-0.94,-0.94,,3.50E+05,0.00171875
1.77E+04,1.62,1.62,-0.94,-0.94,,3.53E+05,0.00109375
1.78E+04,1.62,1.62,-0.98,-0.98,,3.56E+05,0.000546875
1.80E+04,1.62,1.66,-0.98,-0.94,,3.59E+05,0.00078125
1.81E+04,1.62,1.62,-0.98,-0.98,,3.63E+05,0.00109375
1.83E+04,1.62,1.62,-0.98,-0.94,,3.66E+05,0.00109375
1.84E+04,1.62,1.62,-0.98,-0.98,,3.69E+05,0.00109375
1.86E+04,1.62,1.66,-0.94,-0.94,,3.72E+05,0.00078125
1.88E+04,1.62,1.62,-0.94,-0.94,,3.75E+05,0.000546875
1.89E+04,1.62,1.66,-0.94,-0.94,,3.78E+05,0.00078125
1.91E+04,1.62,1.62,-0.94,-0.94,,3.81E+05,0.00109375
