X,Y,Std
1.00,8,2.160246899
1.10,3.666666667,1.247219129
1.20,7,1.414213562
1.30,5.666666667,1.885618083
1.40,7.666666667,2.054804668
1.50,7.666666667,2.357022604
1.60,9,1.414213562
1.70,8.666666667,1.247219129
1.80,8,2.943920289
1.90,10,0.816496581
2.00,9,0.816496581
2.10,9.333333333,3.681787006
2.20,11.33333333,2.624669291
2.30,11.33333333,3.091206165
2.40,10.66666667,0.471404521
2.50,16.66666667,1.247219129
2.60,15.66666667,2.867441756
2.70,15.33333333,3.771236166
2.80,12.33333333,1.247219129
2.90,22,6.683312552
3.00,26.33333333,4.18993503
3.10,22.66666667,2.867441756
3.20,25.66666667,2.624669291
3.30,15.33333333,2.867441756
3.40,12,3.559026084
3.50,24.66666667,2.054804668
3.60,33.66666667,4.496912521
3.70,35.33333333,3.399346342
3.80,31.33333333,3.299831646
3.90,20.33333333,1.699673171
4.00,13,2.160246899
4.10,32,5.099019514
4.20,38.67,8.576453554
4.30,49.00,4.082482905
4.40,36.33333333,3.858612301
4.50,19.66666667,1.699673171
4.60,15,2.828427125
4.70,21,0.816496581
4.80,42.33333333,3.299831646
4.90,48.33333333,3.299831646
5.00,40.33333333,5.557777334
5.10,26,1.632993162
5.20,12,1.632993162
5.30,28,5.099019514
5.40,29,1.414213562
5.50,45.33333333,2.867441756
5.60,37.66666667,0.942809042
5.70,16.33333333,1.247219129
5.80,11,2.160246899
5.90,17.66666667,2.624669291
6.00,30.33333333,3.681787006
6.10,33.33333333,4.921607687
6.20,28,4.546060566
6.30,20,4.320493799
6.40,9,1.632993162
6.50,11.66666667,2.054804668
6.60,19,1.414213562
6.70,23.33333333,1.699673171
6.80,25,4.898979486
6.90,12.33333333,1.247219129
7.00,10.33333333,2.054804668
7.10,12.66666667,2.494438258
7.20,12.66666667,2.624669291
7.30,13.33333333,1.247219129
7.40,11.33333333,1.247219129
7.50,8.666666667,5.185449729
7.60,8.333333333,2.494438258
7.70,6.666666667,0.471404521
7.80,10.33333333,0.471404521
7.90,7,2.160246899
8.00,6.666666667,2.494438258
7.1,11.66666667,2.054804668
7.2,12.33333333,3.299831646
7.3,9.333333333,2.054804668
7.4,6.666666667,3.091206165
7.5,7,2.160246899
