wave,inten,std
4158.720,2.820,0.144
4163.738,3.629,0.151
4168.754,3.308,0.150
4173.767,4.687,0.156
4178.777,2.876,0.155
4183.785,4.450,0.164
4188.791,2.812,0.163
4193.794,2.784,0.164
4198.794,2.954,0.166
4203.792,4.212,0.175
4208.788,3.332,0.176
4213.781,4.845,0.177
4218.771,4.138,0.180
4223.759,4.212,0.182
4228.745,2.309,0.184
4233.728,4.290,0.190
4238.708,3.933,0.197
4243.687,5.598,0.205
4248.662,3.056,0.217
4253.636,2.933,0.246
4258.606,1.763,0.261
4263.575,4.638,0.256
4268.541,3.263,0.229
4273.504,4.584,0.223
4278.465,4.401,0.227
4283.424,3.947,0.231
4288.380,5.012,0.234
4293.334,4.983,0.237
4298.286,2.803,0.238
4303.235,4.262,0.245
4308.182,4.371,0.250
4313.126,5.146,0.254
4318.068,4.732,0.258
4323.007,4.230,0.263
4327.945,2.447,0.264
4332.879,3.931,0.278
4337.812,2.858,0.281
4342.742,6.365,0.290
4347.670,5.250,0.292
4352.595,3.573,0.294
4357.518,6.216,0.301
4362.439,3.806,0.302
4367.357,3.899,0.304
4372.273,7.979,0.314
4377.187,5.380,0.315
4382.098,9.492,0.326
4387.007,6.742,0.323
4391.914,7.872,0.327
4396.819,7.520,0.327
4401.721,6.726,0.334
4406.621,18.524,0.349
4411.518,15.114,0.347
4416.414,12.415,0.351
4421.307,14.113,0.357
4426.197,4.923,0.350
4431.086,15.499,0.360
4435.972,6.546,0.346
4440.856,9.347,0.349
4445.738,14.890,0.339
4450.617,11.533,0.331
4455.495,12.966,0.328
4460.370,8.489,0.320
4465.242,8.387,0.316
4470.113,5.797,0.312
4474.981,7.621,0.310
4479.847,5.926,0.304
4484.711,7.073,0.303
4489.573,3.767,0.294
4494.432,6.900,0.295
4499.290,6.091,0.290
4504.145,3.797,0.283
4508.998,3.569,0.278
4513.848,5.176,0.278
4518.697,4.759,0.277
4523.543,6.711,0.274
4528.388,4.743,0.267
4533.230,4.796,0.265
4538.069,4.131,0.262
4542.907,5.611,0.262
4547.743,5.066,0.257
4552.576,5.302,0.257
4557.408,5.547,0.253
4562.237,3.396,0.247
4567.064,5.365,0.247
4571.889,5.651,0.247
4576.711,4.762,0.249
4581.532,2.255,0.239
4586.351,6.802,0.248
4591.167,3.288,0.240
4595.982,5.371,0.242
4600.794,5.112,0.240
4605.604,5.742,0.240
4610.412,5.532,0.238
4615.218,5.885,0.237
4620.022,5.870,0.233
4624.824,4.076,0.229
4629.624,5.264,0.227
4634.422,6.699,0.229
4639.217,6.195,0.224
4644.011,4.891,0.221
4648.803,4.571,0.220
4653.592,6.101,0.220
4658.380,4.712,0.215
4663.165,5.089,0.214
4667.949,6.002,0.215
4672.730,5.469,0.214
4677.510,6.799,0.218
4682.287,6.665,0.217
4687.062,4.489,0.211
4691.836,5.235,0.209
4696.607,4.948,0.205
4701.377,5.721,0.202
4706.144,5.515,0.200
4710.910,5.310,0.197
4715.673,6.148,0.196
4720.435,4.709,0.191
4725.195,5.752,0.192
4729.952,3.975,0.191
4734.708,4.376,0.191
4739.462,5.248,0.192
4744.213,4.972,0.188
4748.963,5.156,0.191
4753.711,5.006,0.190
4758.457,4.999,0.189
4763.201,4.407,0.189
4767.943,5.251,0.190
4772.684,5.965,0.194
4777.422,6.122,0.193
4782.158,5.582,0.194
4786.893,6.448,0.196
4791.626,4.185,0.193
4796.356,6.193,0.197
4801.085,5.699,0.196
4805.812,5.206,0.196
4810.537,6.096,0.198
4815.260,5.136,0.196
4819.982,3.929,0.195
4824.701,4.276,0.195
4829.419,4.515,0.195
4834.135,2.754,0.191
4838.849,6.065,0.201
4843.561,4.604,0.198
4848.271,4.955,0.199
4852.980,4.130,0.198
4857.686,5.675,0.200
4862.391,6.187,0.203
4867.094,5.518,0.202
4871.795,5.388,0.200
4876.495,4.740,0.202
4881.192,7.786,0.208
4885.888,5.417,0.202
4890.582,6.126,0.204
4895.274,5.859,0.204
4899.965,5.524,0.208
4904.653,5.841,0.210
4909.340,5.119,0.210
4914.025,5.218,0.212
4918.709,6.440,0.214
4923.390,5.909,0.215
4928.070,5.135,0.215
4932.748,8.280,0.224
4937.425,5.774,0.221
4942.099,5.822,0.227
4946.772,5.015,0.230
4951.444,5.445,0.230
4956.113,5.712,0.228
4960.781,5.726,0.228
4965.447,6.352,0.226
4970.111,6.833,0.227
4974.774,4.388,0.224
4979.435,5.424,0.226
4984.094,5.253,0.226
4988.752,7.472,0.231
4993.408,8.290,0.235
4998.062,7.864,0.235
5002.714,4.940,0.230
5007.365,7.102,0.235
5012.014,5.914,0.234
5016.662,5.833,0.233
5021.308,4.466,0.234
5025.952,7.404,0.241
5030.595,5.451,0.239
5035.236,7.269,0.244
5039.875,7.046,0.247
5044.513,8.714,0.252
5049.149,5.892,0.249
5053.784,5.982,0.255
5058.416,6.862,0.259
5063.048,4.781,0.250
5067.677,6.448,0.251
5072.306,6.801,0.252
5076.932,6.639,0.249
5081.557,7.413,0.251
5086.180,7.990,0.255
5090.802,9.188,0.260
5095.422,6.277,0.255
5100.041,3.850,0.247
5104.658,8.277,0.258
5109.274,6.030,0.254
5113.888,8.580,0.258
5118.500,6.313,0.257
5123.111,7.383,0.255
5127.720,6.942,0.256
5132.328,5.873,0.255
5136.934,7.550,0.259
5141.539,6.168,0.254
5146.142,8.847,0.262
5150.744,7.677,0.258
5155.344,6.342,0.257
5159.943,5.546,0.255
5164.540,4.594,0.254
5169.136,6.249,0.256
5173.730,5.062,0.256
5178.323,8.881,0.263
5182.914,7.239,0.260
5187.504,6.220,0.260
5192.093,5.928,0.260
5196.680,4.157,0.256
5201.265,8.329,0.266
5205.849,6.091,0.262
5210.432,6.311,0.260
5215.013,5.322,0.259
5219.592,6.930,0.263
5224.171,7.939,0.264
5228.747,9.386,0.267
5233.323,5.357,0.261
5237.897,6.107,0.263
5242.469,7.566,0.265
5247.041,8.213,0.265
5251.610,4.544,0.258
5256.179,7.474,0.264
5260.746,6.355,0.264
5265.311,7.102,0.267
5269.876,6.104,0.265
5274.438,6.860,0.264
5279.000,8.763,0.267
5283.560,6.987,0.267
5288.119,6.918,0.268
5292.676,8.682,0.271
5297.232,7.669,0.268
5301.787,8.187,0.270
5306.340,10.371,0.273
5310.892,7.502,0.268
5315.443,6.907,0.270
5319.992,6.726,0.271
5324.540,5.853,0.270
5329.087,9.488,0.281
5333.632,7.917,0.284
5338.176,6.536,0.288
5342.719,8.646,0.290
5347.261,8.839,0.288
5351.801,7.738,0.281
5356.340,7.658,0.279
5360.878,11.875,0.287
5365.414,6.411,0.278
5369.949,9.190,0.282
5374.483,7.205,0.280
5379.015,8.540,0.280
5383.547,6.103,0.277
5388.077,7.681,0.281
5392.606,7.158,0.282
5397.133,7.183,0.283
5401.660,8.916,0.294
5406.185,9.107,0.297
5410.709,7.041,0.295
5415.231,9.673,0.294
5419.753,6.217,0.288
5424.273,4.395,0.284
5428.792,7.352,0.290
5433.310,6.447,0.288
5437.826,12.730,0.303
5442.342,9.275,0.310
5446.856,17.899,0.363
5451.369,6.897,0.380
5455.881,12.616,0.355
5460.392,7.942,0.301
5464.901,10.079,0.293
5469.410,9.646,0.297
5473.917,8.203,0.292
5478.423,11.117,0.296
5482.928,10.284,0.290
5487.432,8.829,0.284
5491.934,8.720,0.284
5496.436,11.190,0.289
5500.936,6.112,0.279
5505.435,9.350,0.287
5509.934,7.083,0.281
5514.431,5.287,0.278
5518.927,7.269,0.280
5523.421,7.383,0.279
5527.915,7.602,0.276
5532.408,7.000,0.275
5536.899,4.434,0.271
5541.390,7.659,0.276
5545.879,7.489,0.278
5550.368,10.356,0.280
5554.855,10.399,0.281
5559.341,10.522,0.283
5563.826,9.039,0.288
5568.310,11.628,0.301
5572.793,7.624,0.296
5577.275,10.540,0.292
5581.756,9.622,0.281
5586.236,10.406,0.278
5590.715,10.432,0.282
5595.193,7.595,0.274
5599.670,6.676,0.272
5604.146,9.156,0.279
5608.620,7.905,0.274
5613.094,7.906,0.275
5617.567,7.303,0.274
5622.039,6.351,0.274
5626.510,9.071,0.279
5630.980,7.928,0.275
5635.449,8.662,0.278
5639.916,6.209,0.272
5644.383,6.794,0.273
5648.849,7.717,0.276
5653.314,11.346,0.282
5657.779,6.723,0.274
5662.242,9.435,0.286
5666.704,11.736,0.291
5671.165,13.399,0.298
5675.625,8.118,0.294
5680.085,12.181,0.310
5684.543,14.116,0.320
5689.001,11.273,0.308
5693.458,11.286,0.298
5697.913,10.132,0.287
5702.368,8.821,0.281
5706.822,11.081,0.282
5711.275,8.371,0.279
5715.727,8.621,0.275
5720.178,9.899,0.277
5724.629,8.473,0.272
5729.078,9.140,0.274
5733.527,8.713,0.269
5737.975,8.136,0.269
5742.422,9.800,0.273
5746.868,8.237,0.274
5751.313,9.377,0.273
5755.757,11.012,0.282
5760.201,9.282,0.284
5764.644,9.553,0.290
5769.086,6.273,0.287
5773.527,9.907,0.286
5777.967,8.113,0.277
5782.406,7.016,0.281
5786.845,9.841,0.293
5791.283,6.978,0.287
5795.720,10.113,0.285
5800.156,8.128,0.278
5804.591,13.013,0.284
5809.026,5.597,0.270
5813.460,8.886,0.277
5817.893,8.191,0.277
5822.325,10.274,0.282
5826.757,9.068,0.279
5831.188,6.550,0.275
5835.618,8.593,0.280
5840.047,8.657,0.283
5844.476,7.587,0.280
5848.904,13.296,0.293
5853.331,10.622,0.288
5857.757,8.422,0.284
5862.183,10.235,0.289
5866.608,10.354,0.289
5871.032,7.421,0.282
5875.455,9.987,0.287
5879.878,9.600,0.286
5884.300,8.922,0.282
5888.722,8.832,0.280
5893.142,8.768,0.281
5897.562,7.328,0.277
5901.982,7.962,0.280
5906.400,9.562,0.283
5910.818,10.910,0.285
5915.236,9.258,0.285
5919.653,9.391,0.283
5924.069,9.198,0.280
5928.484,9.635,0.283
5932.899,8.832,0.280
5937.313,12.798,0.285
5941.726,10.715,0.276
5946.139,9.680,0.271
5950.551,10.286,0.273
5954.963,10.822,0.274
5959.374,9.767,0.271
5963.784,6.265,0.264
5968.194,8.603,0.267
5972.603,8.066,0.265
5977.012,9.583,0.266
5981.420,10.546,0.268
5985.827,6.907,0.261
5990.234,9.106,0.266
5994.640,7.178,0.261
5999.046,7.280,0.260
6003.451,7.484,0.259
6007.856,9.768,0.264
6012.260,7.680,0.257
6016.663,7.763,0.258
6021.066,6.517,0.253
6025.468,8.441,0.256
6029.870,10.261,0.258
6034.272,11.873,0.259
6038.672,7.930,0.253
6043.073,7.734,0.252
6047.472,6.422,0.248
6051.872,7.604,0.249
6056.270,5.708,0.247
6060.669,7.629,0.249
6065.066,6.327,0.246
6069.464,9.412,0.251
6073.860,9.179,0.250
6078.257,8.753,0.249
6082.653,8.506,0.249
6087.048,7.602,0.248
6091.443,7.070,0.248
6095.837,8.098,0.250
6100.231,8.277,0.254
6104.625,8.614,0.262
6109.018,7.809,0.269
6113.410,8.686,0.278
6117.803,9.374,0.278
6122.194,6.046,0.263
6126.586,7.752,0.257
6130.977,9.418,0.256
6135.367,7.037,0.249
6139.757,5.891,0.246
6144.147,7.726,0.249
6148.536,7.835,0.249
6152.925,9.119,0.254
6157.314,6.986,0.250
6161.702,7.319,0.251
6166.090,9.243,0.252
6170.477,7.721,0.244
6174.864,4.218,0.233
6179.251,7.140,0.235
6183.637,6.751,0.236
6188.023,7.251,0.235
6192.408,7.514,0.237
6196.794,7.404,0.236
6201.178,7.221,0.236
6205.563,8.541,0.239
6209.947,6.047,0.234
6214.331,6.657,0.236
6218.715,6.932,0.234
6223.098,6.349,0.231
6227.481,6.371,0.229
6231.864,7.877,0.233
6236.246,7.856,0.233
6240.628,6.546,0.233
6245.010,6.564,0.231
6249.391,8.851,0.236
6253.772,5.999,0.229
6258.153,8.964,0.236
6262.534,8.251,0.233
6266.914,7.214,0.230
6271.294,8.556,0.229
6275.674,6.862,0.226
6280.054,8.566,0.226
6284.433,8.540,0.225
6288.812,5.659,0.219
6293.191,9.206,0.228
6297.570,7.290,0.228
6301.949,6.159,0.228
6306.327,10.303,0.236
6310.705,8.199,0.229
6315.083,7.915,0.225
6319.460,8.841,0.221
6323.838,7.495,0.216
6328.215,5.790,0.214
6332.592,7.458,0.217
6336.969,6.848,0.213
6341.345,6.038,0.210
6345.722,8.050,0.211
6350.098,7.542,0.211
6354.474,6.212,0.206
6358.850,6.728,0.206
6363.226,7.658,0.209
6367.601,4.731,0.200
6371.977,6.056,0.202
6376.352,7.470,0.204
6380.728,7.213,0.203
6385.103,7.108,0.200
6389.478,6.855,0.197
6393.853,7.994,0.198
6398.227,6.596,0.198
6402.602,7.805,0.201
6406.976,7.202,0.198
6411.351,6.669,0.193
6415.725,7.594,0.193
6420.099,8.047,0.193
6424.474,7.171,0.189
6428.848,7.043,0.188
6433.222,10.616,0.197
6437.596,8.784,0.191
6441.969,6.255,0.183
6446.343,8.511,0.190
6450.717,6.147,0.181
6455.091,7.055,0.182
6459.464,6.440,0.182
6463.838,8.685,0.187
6468.211,6.511,0.179
6472.585,6.839,0.179
6476.959,7.228,0.178
6481.332,6.986,0.177
6485.705,9.208,0.182
6490.079,6.961,0.175
6494.452,6.601,0.174
6498.826,7.237,0.176
6503.199,6.833,0.177
6507.573,6.527,0.175
6511.946,8.290,0.180
