X,Y
1.00,6.2
1.10,6.5
1.20,7.1
1.30,7.8
1.40,8.7
1.50,10.2
1.60,12.3
1.70,14.4
1.80,17
1.90,20.1
2.00,24.1
2.10,28.3
2.20,32.9
2.30,38.6
2.40,43.9
2.50,51.1
2.60,58.3
2.70,66.3
2.80,75.3
2.90,84.4
3.00,94.5
3.10,105.7
3.20,116.8
3.30,129.8
3.40,140.8
3.50,155.8
3.60,168.3
3.70,182.6
3.80,196.8
3.90,210.3
4.00,226.1
4.10,241.4
4.20,255.4
4.30,268
4.40,280.8
4.50,295.2
4.60,307
4.70,320.20
4.80,330.90
4.90,341.1
5.00,351.4
5.10,360.1
5.20,368.3
5.30,376.1
5.40,382.2
5.50,388.1
5.60,393.1
5.70,397.1
5.80,400
5.90,399
6.00,400
6.10,401
6.20,400
6.30,398
6.40,394
6.50,388
6.60,382
6.70,374.8
6.80,365.9
6.90,356
7.00,345.5
7.10,334.1
7.20,322.3
7.30,308.6
7.40,295.7
7.50,280.9
7.60,266.8
7.70,252.6
7.80,239.2
7.90,224
8.00,210.9
8.10,196.6
8.20,183.6
8.30,170.7
8.40,157
8.50,144.1
8.60,131
8.70,118.7
8.80,104.4
8.90,89.7
9.00,76.2
9.10,65.3
9.20,55.9
9.30,48.4
9.40,35
