X,Y
1.00,6
1.10,6.8
1.20,8.9
1.30,12.6
1.40,16.5
1.50,23
1.60,30.7
1.70,41
1.80,51
1.90,64.2
2.00,80.1
2.10,95.9
2.20,115.3
2.30,134.8
2.40,157.1
2.50,183.5
2.60,208.5
2.70,236.8
2.80,267
2.90,296.6
3.00,331.2
3.10,363.4
3.20,397.7
3.30,430
3.40,465
3.50,500
3.60,535
3.70,569
3.80,604
3.90,638
4.00,669
4.10,701
4.20,730
4.30,758
4.40,783
4.50,807
4.60,826
4.70,843.00
4.80,858.00
4.90,869
5.00,878
5.10,885
5.20,886
5.30,885
5.40,881
5.50,874
5.60,863
5.70,844
5.80,828
5.90,810
6.00,788
6.10,765
6.20,739
6.30,709
6.40,680
6.50,648
6.60,614
6.70,581
6.80,547
6.90,510
7.00,475
7.10,438
7.20,404
7.30,370.2
7.40,335.8
7.50,302.3
7.60,270.7
7.70,241.3
7.80,213.7
7.90,187.3
8.00,161.2
8.10,137.1
8.20,116.3
8.30,96.8
8.40,79.8
8.50,63.6
8.60,49.3
8.70,38.1
8.80,30.6
8.90,24
9.00,19.4
