X,Y
1.00,64
1.10,79
1.20,85
1.30,72
1.40,47
1.50,27
1.60,32
1.70,80
1.80,153
1.90,259
2.00,359
2.10,390
2.20,367
2.30,290
2.40,202
2.50,152
2.60,193
2.70,330
2.80,542
2.90,759
3.00,940
3.10,1015
3.20,970
3.30,844
3.40,693
3.50,605
3.60,651
3.70,789
3.80,1036
3.90,1292
4.00,1485
4.10,1573
4.20,1524
4.30,1374
4.40,1180
4.50,1005
4.60,953
4.70,1010.00
4.80,1132.00
4.90,1319
5.00,1470
5.10,1531
5.20,1490
5.30,1342
5.40,1151
5.50,959
5.60,815
5.70,739
5.80,738
5.90,790
6.00,852
6.10,889
6.20,873
6.30,796
6.40,677
6.50,536
6.60,407
6.70,310
6.80,249
6.90,228
7.00,230
7.10,238
7.15,240
7.20,238
7.30,222
7.40,191
7.50,147
7.60,100
7.70,62
7.80,34
7.90,21
8.00,17
8.10,17
8.20,18
8.30,17
8.40,15
8.50,12
8.60,12
8.70,15
8.80,21
