wave,inten,std
4082.098,18.715,0.327
4087.523,18.080,0.329
4092.944,19.444,0.336
4098.361,18.224,0.328
4103.773,18.401,0.332
4109.182,19.706,0.345
4114.586,18.922,0.340
4119.986,19.289,0.347
4125.383,19.150,0.351
4130.775,19.098,0.348
4136.163,18.028,0.349
4141.547,20.335,0.360
4146.927,16.010,0.355
4152.303,17.669,0.361
4157.676,17.232,0.361
4163.044,19.400,0.374
4168.408,20.958,0.385
4173.768,23.492,0.398
4179.124,22.740,0.402
4184.476,25.019,0.422
4189.824,28.477,0.448
4195.169,31.239,0.484
4200.509,32.150,0.513
4205.845,29.621,0.512
4211.178,30.357,0.483
4216.506,30.311,0.463
4221.831,31.489,0.467
4227.152,27.892,0.471
4232.468,30.004,0.469
4237.781,26.472,0.467
4243.090,27.830,0.473
4248.395,23.476,0.469
4253.697,23.804,0.477
4258.994,21.648,0.474
4264.288,23.978,0.491
4269.577,21.460,0.487
4274.863,25.759,0.500
4280.145,26.066,0.505
4285.424,26.965,0.518
4290.698,24.944,0.520
4295.969,24.843,0.528
4301.235,27.330,0.532
4306.498,25.580,0.541
4311.758,28.585,0.546
4317.013,24.113,0.544
4322.265,29.857,0.564
4327.513,24.453,0.555
4332.757,23.961,0.563
4337.998,30.702,0.574
4343.234,26.188,0.567
4348.467,24.672,0.569
4353.697,27.786,0.581
4358.922,29.916,0.583
4364.144,26.025,0.584
4369.362,30.455,0.591
4374.577,28.067,0.589
4379.788,29.273,0.593
4384.995,26.459,0.594
4390.198,31.776,0.597
4395.398,30.518,0.593
4400.594,31.452,0.598
4405.787,29.704,0.594
4410.976,33.874,0.590
4416.161,32.830,0.591
4421.343,30.888,0.583
4426.521,31.326,0.576
4431.696,33.826,0.585
4436.866,31.745,0.575
4442.034,31.370,0.578
4447.198,30.151,0.566
4452.358,38.155,0.572
4457.514,35.130,0.569
4462.668,32.334,0.557
4467.817,35.443,0.557
4472.963,35.743,0.558
4478.106,36.400,0.556
4483.245,36.482,0.549
4488.380,34.471,0.546
4493.512,34.877,0.539
4498.640,36.639,0.536
4503.765,34.313,0.533
4508.887,36.484,0.528
4514.005,34.860,0.527
4519.120,41.923,0.534
4524.231,38.598,0.525
4529.338,37.742,0.529
4534.443,41.998,0.530
4539.543,39.893,0.529
4544.641,41.658,0.531
4549.735,39.781,0.521
4554.825,42.120,0.523
4559.912,40.060,0.517
4564.996,39.105,0.513
4570.077,41.635,0.516
4575.154,42.244,0.519
4580.227,43.101,0.523
4585.298,41.139,0.514
4590.365,43.499,0.516
4595.428,45.286,0.524
4600.488,51.823,0.533
4605.545,52.641,0.541
4610.599,55.877,0.547
4615.649,53.856,0.540
4620.696,50.890,0.527
4625.740,48.507,0.520
4630.780,43.667,0.502
4635.818,41.678,0.496
4640.851,42.879,0.494
4645.882,46.450,0.508
4650.909,45.794,0.503
4655.934,46.497,0.506
4660.954,51.185,0.516
4665.972,44.358,0.492
4670.986,44.910,0.493
4675.998,44.648,0.490
4681.006,47.717,0.493
4686.010,43.812,0.487
4691.012,45.540,0.488
4696.010,41.653,0.482
4701.006,44.773,0.486
4705.998,43.145,0.479
4710.987,46.293,0.484
4715.972,47.829,0.487
4720.955,47.166,0.487
4725.934,46.360,0.484
4730.911,45.284,0.486
4735.884,46.229,0.484
4740.854,48.266,0.494
4745.821,50.537,0.498
4750.785,49.901,0.498
4755.746,49.964,0.503
4760.704,49.150,0.498
4765.658,49.850,0.500
4770.610,49.211,0.503
4775.558,49.918,0.505
4780.504,50.908,0.507
4785.446,50.636,0.508
4790.386,54.539,0.519
4795.322,66.922,0.551
4800.256,69.838,0.568
4805.186,84.161,0.606
4810.113,91.666,0.630
4815.038,92.787,0.626
4819.959,84.613,0.611
4824.878,76.625,0.589
4829.793,65.591,0.552
4834.706,57.224,0.527
4839.615,51.102,0.512
4844.522,52.216,0.512
4849.425,52.883,0.513
4854.326,52.916,0.517
4859.224,52.801,0.519
4864.119,52.674,0.521
4869.011,55.248,0.523
4873.900,51.218,0.520
4878.786,53.565,0.526
4883.669,56.325,0.533
4888.550,64.055,0.557
4893.427,72.624,0.581
4898.302,86.102,0.622
4903.174,128.200,0.727
4908.043,177.675,0.834
4912.909,230.748,0.934
4917.773,269.928,1.005
4922.633,286.836,1.036
4927.491,268.691,1.010
4932.346,222.097,0.929
4937.198,173.738,0.840
4942.047,143.541,0.772
4946.894,147.968,0.782
4951.738,196.275,0.876
4956.579,284.599,1.028
4961.417,412.874,1.222
4966.253,558.540,1.407
4971.085,685.143,1.552
4975.915,734.448,1.608
4980.743,666.509,1.534
4985.567,514.868,1.356
4990.389,344.610,1.128
4995.209,215.130,0.912
5000.025,114.872,0.712
5004.839,79.777,0.625
5009.650,63.549,0.580
5014.459,57.828,0.567
5019.265,55.994,0.561
5024.068,56.272,0.566
5028.868,55.788,0.567
5033.666,58.207,0.577
5038.462,57.423,0.580
5043.254,55.433,0.578
5048.044,58.956,0.575
5052.832,53.056,0.564
5057.617,54.392,0.568
5062.399,55.528,0.572
5067.179,54.639,0.567
5071.956,55.125,0.569
5076.730,53.971,0.571
5081.502,53.599,0.567
5086.272,55.945,0.573
5091.039,55.651,0.572
5095.803,56.980,0.575
5100.565,59.018,0.576
5105.324,55.627,0.579
