index,wave,mag,width
177,   6132.00     3.549      16.0,,
178,   6148.00     3.556      16.0,,
179,   6164.00     3.559      16.0,,
180,   6180.00     3.559      16.0,,
181,   6196.00     3.560      16.0,,
182,   6212.00     3.563      16.0,,
183,   6228.00     3.570      16.0,,
184,   6244.00     3.576      16.0,,
185,   6260.00     3.581      16.0,,
186,   6276.00     3.598      16.0,,
187,   6292.00     3.606      16.0,,
188,   6308.00     3.600      16.0,,
189,   6324.00     3.595      16.0,,
190,   6340.00     3.599      16.0,,
191,   6356.00     3.602      16.0,,
192,   6372.00     3.604      16.0,,
193,   6388.00     3.602      16.0,,
194,   6404.00     3.602      16.0,,
195,   6420.00     3.606      16.0,,
196,   6436.00     3.608      16.0,,
197,   6452.00     3.613      16.0,,
198,   6468.00     3.616      16.0,,
199,   6484.00     3.620      16.0,,
200,   6500.00     3.624      16.0,,
201,   6516.00     3.634      16.0,,
202,   6532.00     3.653      16.0,,
203,   6548.00     3.759      16.0,,
204,   6564.00     3.928      16.0,,
205,   6580.00     3.745      16.0,,
206,   6596.00     3.658      16.0,,
207,   6612.00     3.644      16.0,,
208,   6628.00     3.644      16.0,,
209,   6644.00     3.645      16.0,,
210,   6660.00     3.646      16.0,,
211,   6676.00     3.650      16.0,,
212,   6692.00     3.648      16.0,,
213,   6708.00     3.649      16.0,,
214,   6724.00     3.653      16.0,,
215,   6740.00     3.657      16.0,,
216,   6756.00     3.660      16.0,,
217,   6772.00     3.665      16.0,,
218,   6788.00     3.669      16.0,,
219,   6804.00     3.673      16.0,,
220,   6820.00     3.677      16.0,,
221,   6836.00     3.680      16.0,,
222,   6852.00     3.697      16.0,,
223,   6868.00     3.835      16.0,,
224,   6884.00     3.850      16.0,,
225,   6900.00     3.809      16.0,,
226,   6916.00     3.756      16.0,,
227,   6932.00     3.730      16.0,,
228,   6948.00     3.723      16.0,,
229,   6964.00     3.714      16.0,,
230,   6980.00     3.716      16.0,,
231,   6996.00     3.725      16.0,,
232,   7012.00     3.726      16.0,,
233,   7028.00     3.729      16.0,,
234,   7044.00     3.732      16.0,,
235,   7060.00     3.736      16.0,,
236,   7076.00     3.738      16.0,,
237,   7092.00     3.738      16.0,,
238,   7108.00     3.741      16.0,,
239,   7124.00     3.745      16.0,,
240,   7140.00     3.750      16.0,,
241,   7156.00     3.760      16.0,,
242,   7172.00     3.796      16.0,,
243,   7188.00     3.829      16.0,,
244,   7204.00     3.819      16.0,,
245,   7220.00     3.787      16.0,,
246,   7236.00     3.815      16.0,,
247,   7252.00     3.821      16.0,,
248,   7268.00     3.819      16.0,,
249,   7284.00     3.818      16.0,,
250,   7300.00     3.812      16.0,,
251,   7316.00     3.809      16.0,,
252,   7332.00     3.798      16.0,,
253,   7348.00     3.799      16.0,,
254,   7364.00     3.800      16.0,,
255,   7380.00     3.801      16.0,,
256,   7396.00     3.802      16.0,,
257,   7412.00     3.804      16.0,,
258,   7428.00     3.807      16.0,,
259,   7444.00     3.810      16.0,,
260,   7460.00     3.814      16.0,,
261,   7476.00     3.818      16.0,,
262,   7492.00     3.817      16.0,,
263,   7508.00     3.818      16.0,,
264,   7524.00     3.824      16.0,,
265,   7540.00     3.826      16.0,,
266,   7556.00     3.829      16.0,,
267,   7572.00     3.835      16.0,,
268,   7588.00     4.006      16.0,,
269,   7604.00     4.776      16.0,,
270,   7620.00     4.493      16.0,,
271,   7636.00     4.452      16.0,,
272,   7652.00     4.182      16.0,,
273,   7668.00     3.978      16.0,,
274,   7684.00     3.890      16.0,,
275,   7700.00     3.864      16.0,,
276,   7716.00     3.858      16.0,,
277,   7732.00     3.856      16.0,,
278,   7748.00     3.860      16.0,,
279,   7764.00     3.876      16.0,,
280,   7780.00     3.888      16.0,,
281,   7796.00     3.869      16.0,,
282,   7812.00     3.869      16.0,,
283,   7828.00     3.874      16.0,,
284,   7844.00     3.875      16.0,,
285,   7860.00     3.878      16.0,,
286,   7876.00     3.888      16.0,,
287,   7892.00     3.895      16.0,,
288,   7908.00     3.894      16.0,,
289,   7924.00     3.892      16.0,,
290,   7940.00     3.893      16.0,,
291,   7956.00     3.901      16.0,,
292,   7972.00     3.902      16.0,,
293,   7988.00     3.900      16.0,,
294,   8004.00     3.908      16.0,,
295,   8020.00     3.908      16.0,,
296,   8036.00     3.912      16.0,,
297,   8052.00     3.912      16.0,,
298,   8068.00     3.915      16.0,,
299,   8084.00     3.920      16.0,,
300,   8100.00     3.924      16.0,,
301,   8116.00     3.931      16.0,,
302,   8132.00     3.957      16.0,,
303,   8148.00     3.986      16.0,,
304,   8164.00     4.010      16.0,,
305,   8180.00     4.004      16.0,,
306,   8196.00     3.992      16.0,,
307,   8212.00     3.978      16.0,,
308,   8228.00     4.036      16.0,,
309,   8244.00     3.990      16.0,,
310,   8260.00     3.976      16.0,,
311,   8276.00     3.995      16.0,,
312,   8292.00     4.001      16.0,,
313,   8308.00     3.990      16.0,,
314,   8324.00     3.991      16.0,,
315,   8340.00     3.982      16.0,,
316,   8356.00     3.980      16.0,,
317,   8372.00     3.978      16.0,,
318,   8388.00     3.982      16.0,,
319,   8404.00     3.981      16.0,,
320,   8420.00     3.982      16.0,,
321,   8436.00     3.998      16.0,,
322,   8452.00     4.003      16.0,,
323,   8468.00     4.003      16.0,,
324,   8484.00     3.984      16.0,,
325,   8500.00     4.019      16.0,,
326,   8516.00     3.984      16.0,,
327,   8532.00     3.991      16.0,,
328,   8548.00     4.054      16.0,,
329,   8564.00     3.967      16.0,,
330,   8580.00     3.967      16.0,,
331,   8596.00     4.076      16.0,,
332,   8612.00     4.013      16.0,,
333,   8628.00     3.928      16.0,,
334,   8644.00     3.957      16.0,,
335,   8660.00     4.099      16.0,,
336,   8676.00     4.073      16.0,,
337,   8692.00     3.943      16.0,,
338,   8708.00     3.910      16.0,,
339,   8724.00     3.940      16.0,,
340,   8740.00     4.073      16.0,,
341,   8756.00     4.152      16.0,,
342,   8772.00     3.990      16.0,,
343,   8788.00     3.919      16.0,,
344,   8804.00     3.908      16.0,,
345,   8820.00     3.918      16.0,,
346,   8836.00     3.961      16.0,,
347,   8852.00     4.102      16.0,,
348,   8868.00     4.200      16.0,,
349,   8884.00     4.024      16.0,,
350,   8900.00     3.949      16.0,,
351,   8916.00     3.934      16.0,,
352,   8932.00     3.943      16.0,,
353,   8948.00     3.962      16.0,,
354,   8964.00     4.003      16.0,,
355,   8980.00     4.050      16.0,,
356,   8996.00     4.157      16.0,,
357,   9012.00     4.325      16.0,,
358,   9028.00     4.210      16.0,,
359,   9044.00     4.035      16.0,,
360,   9060.00     4.019      16.0,,
361,   9076.00     4.048      16.0,,
362,   9092.00     4.049      16.0,,
363,   9108.00     4.038      16.0,,
364,   9124.00     4.036      16.0,,
365,   9140.00     4.054      16.0,,
366,   9156.00     4.061      16.0,,
367,   9172.00     4.062      16.0,,
368,   9188.00     4.056      16.0,,
369,   9204.00     4.083      16.0,,
370,   9220.00     4.247      16.0,,
371,   9236.00     4.310      16.0,,
372,   9252.00     4.147      16.0,,
373,   9268.00     4.090      16.0,,
374,   9284.00     4.100      16.0,,
375,   9300.00     4.173      16.0,,
376,   9316.00     4.305      16.0,,
377,   9332.00     4.422      16.0,,
378,   9348.00     4.476      16.0,,
379,   9364.00     4.424      16.0,,
380,   9380.00     4.377      16.0,,
381,   9396.00     4.208      16.0,,
382,   9412.00     4.228      16.0,,
383,   9428.00     4.327      16.0,,
384,   9444.00     4.360      16.0,,
385,   9460.00     4.334      16.0,,
386,   9476.00     4.314      16.0,,
387,   9492.00     4.334      16.0,,
388,   9508.00     4.307      16.0,,
389,   9524.00     4.400      16.0,,
390,   9540.00     4.531      16.0,,
391,   9556.00     4.541      16.0,,
392,   9572.00     4.332      16.0,,
393,   9588.00     4.295      16.0,,
394,   9604.00     4.249      16.0,,
395,   9620.00     4.233      16.0,,
396,   9636.00     4.223      16.0,,
397,   9652.00     4.195      16.0,,
398,   9668.00     4.173      16.0,,
399,   9684.00     4.127      16.0,,
400,   9700.00     4.116      16.0,,
401,   9716.00     4.126      16.0,,
402,   9732.00     4.147      16.0,,
403,   9748.00     4.162      16.0,,
404,   9764.00     4.153      16.0,,
405,   9780.00     4.138      16.0,,
406,   9796.00     4.147      16.0,,
407,   9812.00     4.127      16.0,,
408,   9828.00     4.122      16.0,,
409,   9844.00     4.124      16.0,,
410,   9860.00     4.110      16.0,,
411,   9876.00     4.114      16.0,,
412,   9892.00     4.112      16.0,,
413,   9908.00     4.112      16.0,,
414,   9924.00     4.097      16.0,,
415,   9940.00     4.106      16.0,,
416,   9956.00     4.113      16.0,,
417,   9972.00     4.114      16.0,,
418,   9988.00     4.124      16.0,,
419,  10004.00     4.130      16.0,,
420,  10020.00     4.155      16.0,,
421,  10036.00     4.278      16.0,,
422,  10052.00     4.408      16.0,,
