TIME,CH1,CH2,,TIME,MATH
6.63E+04,1.98,-0.94,,1.33E+06,0.00289063
6.69E+04,1.98,-0.94,,1.34E+06,0.003125
6.75E+04,1.98,-0.94,,1.35E+06,0.0034375
6.81E+04,1.98,-0.94,,1.36E+06,0.00367187
6.88E+04,1.98,-0.94,,1.38E+06,0.00398437
6.94E+04,1.98,-0.94,,1.39E+06,0.0034375
7.00E+04,1.98,-0.94,,1.40E+06,0.00289063
7.06E+04,1.98,-0.98,,1.41E+06,0.003125
7.13E+04,1.98,-0.94,,1.43E+06,0.0034375
7.19E+04,2.02,-0.98,,1.44E+06,0.003125
7.25E+04,1.98,-0.94,,1.45E+06,0.00289063
7.31E+04,2.02,-0.98,,1.46E+06,0.003125
7.38E+04,1.98,-0.94,,1.48E+06,0.0034375
7.44E+04,1.98,-0.94,,1.49E+06,0.003125
7.50E+04,1.98,-0.94,,1.50E+06,0.00289063
7.56E+04,1.98,-0.94,,1.51E+06,0.00289063
7.63E+04,1.94,-0.94,,1.53E+06,0.00289063
7.69E+04,1.98,-0.94,,1.54E+06,0.003125
7.75E+04,1.98,-0.94,,1.55E+06,0.0034375
7.81E+04,1.98,-0.94,,1.56E+06,0.003125
7.88E+04,1.98,-0.94,,1.58E+06,0.00289063
7.94E+04,1.98,-0.94,,1.59E+06,0.003125
8.00E+04,1.98,-0.94,,1.60E+06,0.0034375
8.06E+04,1.98,-0.94,,1.61E+06,0.003125
8.13E+04,1.98,-0.94,,1.63E+06,0.00289063
8.19E+04,1.98,-0.94,,1.64E+06,0.00289063
8.25E+04,1.98,-0.94,,1.65E+06,0.00289063
8.31E+04,1.98,-0.94,,1.66E+06,0.00289063
8.38E+04,1.98,-0.94,,1.68E+06,0.00289063
8.44E+04,2.02,-0.98,,1.69E+06,0.00289063
8.50E+04,1.98,-0.94,,1.70E+06,0.00289063
8.56E+04,2.02,-0.98,,1.71E+06,0.00289063
8.63E+04,1.98,-0.94,,1.73E+06,0.00289063
8.69E+04,2.02,-0.94,,1.74E+06,0.00289063
8.75E+04,1.98,-0.94,,1.75E+06,0.00289063
8.81E+04,1.98,-0.94,,1.76E+06,0.00257812
8.88E+04,1.98,-0.94,,1.78E+06,0.00226562
8.94E+04,1.98,-0.94,,1.79E+06,0.00226562
9.00E+04,1.98,-0.94,,1.80E+06,0.00226562
9.06E+04,1.98,-0.94,,1.81E+06,0.00257812
9.13E+04,1.94,-0.94,,1.83E+06,0.00289063
9.19E+04,1.98,-0.94,,1.84E+06,0.00289063
9.25E+04,1.98,-0.94,,1.85E+06,0.00289063
9.31E+04,1.98,-0.94,,1.86E+06,0.00257812
9.38E+04,1.98,-0.94,,1.88E+06,0.00226562
9.44E+04,1.98,-0.94,,1.89E+06,0.00257812
9.50E+04,1.98,-0.94,,1.90E+06,0.00289063
9.56E+04,1.98,-0.94,,1.91E+06,0.00257812
9.63E+04,1.98,-0.94,,1.93E+06,0.00226562
9.69E+04,1.98,-0.94,,1.94E+06,0.00257812
9.75E+04,1.98,-0.94,,1.95E+06,0.00289063
9.81E+04,1.98,-0.94,,1.96E+06,0.00289063
9.88E+04,1.94,-0.94,,1.98E+06,0.00289063
9.94E+04,1.98,-0.94,,1.99E+06,0.00257812
1.00E+05,1.94,-0.94,,2.00E+06,0.00226562
1.01E+05,1.98,-0.94,,2.01E+06,0.00257812
1.01E+05,1.98,-0.94,,2.03E+06,0.00289063
1.02E+05,1.98,-0.94,,2.04E+06,0.00257812
1.03E+05,1.94,-0.94,,2.05E+06,0.00226562
1.03E+05,2.02,-0.94,,2.06E+06,0.00226562
1.04E+05,1.98,-0.94,,2.08E+06,0.00226562
1.04E+05,2.02,-0.94,,2.09E+06,0.00226562
1.05E+05,1.98,-0.94,,2.10E+06,0.00226562
1.06E+05,1.98,-0.94,,2.11E+06,0.00257812
1.06E+05,1.98,-0.94,,2.13E+06,0.00289063
1.07E+05,1.98,-0.94,,2.14E+06,0.00289063
1.08E+05,1.98,-0.94,,2.15E+06,0.00289063
1.08E+05,1.98,-0.94,,2.16E+06,0.00257812
1.09E+05,1.98,-0.94,,2.18E+06,0.00226562
1.09E+05,2.02,-0.94,,2.19E+06,0.00226562
1.10E+05,1.98,-0.94,,2.20E+06,0.00226562
1.11E+05,1.98,-0.94,,2.21E+06,0.00257812
1.11E+05,1.98,-0.94,,2.23E+06,0.00289063
1.12E+05,1.98,-0.94,,2.24E+06,0.00257812
1.13E+05,1.98,-0.94,,2.25E+06,0.00226562
1.13E+05,1.98,-0.94,,2.26E+06,0.00226562
1.14E+05,1.98,-0.94,,2.28E+06,0.00226562
1.14E+05,1.98,-0.94,,2.29E+06,0.00226562
1.15E+05,1.94,-0.94,,2.30E+06,0.00226562
1.16E+05,1.98,-0.94,,2.31E+06,0.00257812
1.16E+05,1.98,-0.94,,2.33E+06,0.00289063
1.17E+05,1.98,-0.94,,2.34E+06,0.00257812
1.18E+05,1.98,-0.94,,2.35E+06,0.00226562
1.18E+05,1.98,-0.94,,2.36E+06,0.00226562
1.19E+05,1.98,-0.94,,2.38E+06,0.00226562
1.19E+05,1.94,-0.94,,2.39E+06,0.00257812
1.20E+05,1.94,-0.94,,2.40E+06,0.00289063
1.21E+05,1.94,-0.94,,2.41E+06,0.00257812
1.21E+05,1.94,-0.94,,2.43E+06,0.00226562
1.22E+05,1.98,-0.98,,2.44E+06,0.00257812
1.23E+05,1.94,-0.94,,2.45E+06,0.00289063
1.23E+05,1.98,-0.94,,2.46E+06,0.00257812
1.24E+05,1.94,-0.94,,2.48E+06,0.00226562
1.24E+05,1.98,-0.94,,2.49E+06,0.00226562
1.25E+05,1.94,-0.94,,2.50E+06,0.00226562
1.26E+05,1.98,-0.94,,2.51E+06,0.00226562
1.26E+05,1.94,-0.94,,2.53E+06,0.00226562
1.27E+05,1.98,-0.94,,2.54E+06,0.00226562
1.28E+05,1.94,-0.94,,2.55E+06,0.00226562
1.28E+05,1.98,-0.94,,2.56E+06,0.00257812
1.29E+05,1.94,-0.94,,2.58E+06,0.00289063
1.29E+05,1.98,-0.94,,2.59E+06,0.00289063
1.30E+05,1.98,-0.94,,2.60E+06,0.00289063
1.31E+05,2.02,-0.94,,2.61E+06,0.00226562
1.31E+05,1.98,-0.94,,2.63E+06,0.00171875
1.32E+05,1.98,-0.94,,2.64E+06,0.00226562
1.33E+05,1.98,-0.94,,2.65E+06,0.00289063
1.33E+05,1.98,-0.94,,2.66E+06,0.00257812
1.34E+05,1.98,-0.94,,2.68E+06,0.00226562
1.34E+05,1.98,-0.94,,2.69E+06,0.00226562
1.35E+05,1.98,-0.94,,2.70E+06,0.00226562
1.36E+05,2.02,-0.94,,2.71E+06,0.00195312
1.36E+05,1.98,-0.94,,2.73E+06,0.00171875
1.37E+05,1.98,-0.94,,2.74E+06,0.00195312
