wave,inten,std
1830.282,0.162,0.032
1834.857,-0.021,0.020
1839.430,-0.055,0.017
1844.004,-0.042,0.022
1848.577,-0.040,0.019
1853.149,-0.042,0.021
1857.721,0.029,0.026
1862.293,-0.056,0.018
1866.864,-0.055,0.020
1871.434,0.104,0.029
1876.005,-0.118,0.015
1880.574,-0.090,0.016
1885.144,0.002,0.025
1889.713,0.008,0.024
1894.281,-0.113,0.014
1898.849,-0.217,nan
1903.417,-0.040,0.020
1907.984,-0.038,0.022
1912.551,-0.003,0.023
1917.117,-0.011,0.022
1921.683,-0.005,0.025
1926.249,-0.010,0.023
1930.814,-0.015,0.022
1935.378,-0.061,0.021
1939.942,0.007,0.024
1944.506,0.070,0.028
1949.069,0.031,0.026
1953.632,0.067,0.028
1958.195,-0.025,0.022
1962.757,-0.003,0.021
1967.318,0.034,0.023
1971.880,0.035,0.027
1976.440,-0.011,0.023
1981.001,0.065,0.028
1985.561,-0.050,0.022
1990.120,0.002,0.024
1994.679,0.081,0.029
1999.238,0.030,0.028
2003.796,0.004,0.025
2008.354,0.013,0.026
2012.911,-0.004,0.024
2017.468,0.000,0.026
2022.025,0.060,0.027
2026.581,0.006,0.024
2031.137,0.081,0.030
2035.692,0.043,0.027
2040.247,-0.044,0.019
2044.801,0.024,0.026
2049.355,-0.074,0.018
2053.909,-0.003,0.022
2058.462,-0.073,0.018
2063.015,-0.038,0.022
2067.567,-0.110,0.017
2072.119,-0.034,0.022
2076.671,-0.025,0.023
2081.222,0.011,0.025
2085.773,-0.055,0.019
2090.323,-0.081,0.019
2094.873,0.061,0.028
2099.422,-0.037,0.024
2103.971,-0.035,0.023
2108.520,-0.093,0.014
2113.068,-0.069,0.021
2117.616,0.003,0.024
2122.163,-0.000,0.023
2126.710,-0.059,0.019
2131.257,-0.064,0.023
2135.803,-0.056,0.020
2140.349,-0.006,0.023
2144.894,-0.079,0.018
2149.439,-0.054,0.021
2153.984,-0.029,0.020
2158.528,-0.096,0.020
2163.072,-0.078,0.019
2167.615,0.027,0.023
2172.158,-0.096,0.016
2176.701,0.684,0.053
2181.243,-0.017,0.023
2185.785,0.077,0.029
2190.326,0.010,0.024
2194.867,0.029,0.024
2199.407,-0.006,0.022
2203.948,-0.039,0.022
2208.487,0.013,0.026
2213.027,0.051,0.026
2217.566,0.014,0.027
2222.104,-0.134,0.009
2226.642,-0.136,0.012
2231.180,0.061,0.028
2235.717,-0.032,0.022
2240.254,0.099,0.029
2244.791,0.036,0.025
2249.327,-0.029,0.022
2253.863,-0.078,0.019
2258.398,0.090,0.030
2262.933,0.035,0.027
2267.468,-0.075,0.018
2272.002,-0.047,0.020
2276.536,0.001,0.024
2281.069,0.039,0.027
2285.602,-0.090,0.017
2290.135,-0.005,0.021
2294.667,-0.044,0.023
2299.199,-0.023,0.020
2303.730,0.009,0.026
2308.261,-0.040,0.022
2312.792,-0.053,0.021
2317.322,-0.038,0.022
