wave,flux,std
4002.017,-3.35e-16,2.02e-16
4006.435,-1.11e-15,1.67e-16
4010.854,-6.48e-17,2.25e-16
4015.273,-4.48e-17,2.19e-16
4019.691,-5.50e-16,1.95e-16
4024.109,-2.35e-16,2.03e-16
4028.527,3.85e-16,2.29e-16
4032.944,-5.07e-16,2.05e-16
4037.362,3.65e-16,2.40e-16
4041.779,6.05e-16,2.51e-16
4046.196,3.45e-16,2.11e-16
4050.613,-3.05e-16,1.91e-16
4055.03,-3.95e-16,1.79e-16
4059.446,2.05e-16,1.96e-16
4063.863,-5.71e-16,1.77e-16
4068.279,4.52e-17,2.01e-16
4072.695,-1.85e-16,1.99e-16
4077.11,-1.06e-15,1.66e-16
4081.526,6.35e-16,2.44e-16
4085.941,4.85e-16,2.29e-16
4090.356,-5.45e-16,1.89e-16
4094.771,-4.15e-16,1.86e-16
4099.186,-2.48e-17,1.90e-16
4103.6,5.35e-16,2.04e-16
4108.015,-7.62e-16,1.44e-16
4112.429,-3.85e-16,1.54e-16
4116.843,-1.75e-16,1.47e-16
4121.257,-4.05e-16,1.36e-16
4125.67,1.52e-17,1.56e-16
4130.084,-4.78e-18,1.57e-16
4134.497,-1.85e-16,1.63e-16
4138.91,-3.35e-16,1.62e-16
4143.323,-4.65e-16,1.56e-16
4147.735,-5.06e-16,1.49e-16
4152.148,-2.15e-16,1.44e-16
4156.56,5.52e-17,1.52e-16
4160.972,-8.99e-16,1.23e-16
4165.384,1.95e-16,1.68e-16
4169.796,-5.57e-16,1.44e-16
4174.208,5.52e-17,1.63e-16
4178.619,5.52e-17,1.66e-16
4183.03,-7.66e-16,1.29e-16
4187.441,-7.53e-16,1.30e-16
4191.852,2.65e-16,1.60e-16
4196.263,-5.42e-16,1.40e-16
4200.673,-1.45e-16,1.52e-16
4205.083,-3.15e-16,1.49e-16
4209.494,-2.65e-16,1.49e-16
4213.903,-6.05e-16,1.33e-16
4218.313,-5.48e-17,1.51e-16
4222.723,4.75e-16,1.65e-16
4227.132,-4.48e-17,1.51e-16
4231.541,-1.45e-16,1.52e-16
4235.95,-6.76e-16,1.36e-16
4240.359,-3.48e-17,1.56e-16
4244.768,-3.55e-16,1.43e-16
4249.177,-1.45e-16,1.51e-16
4253.585,-3.75e-16,1.41e-16
4257.993,4.52e-17,1.54e-16
4262.401,-4.78e-18,1.51e-16
4266.809,-2.25e-16,1.48e-16
4271.217,-1.55e-16,1.53e-16
4275.624,2.25e-16,1.61e-16
4280.031,-4.15e-16,1.45e-16
4284.438,-5.67e-16,1.44e-16
4288.845,-1.25e-16,1.52e-16
4293.252,-3.25e-16,1.44e-16
4297.659,-6.63e-16,1.36e-16
4302.065,-7.74e-16,1.31e-16
4306.472,-2.85e-16,1.53e-16
4310.878,-2.65e-16,1.60e-16
4315.284,-5.11e-16,1.63e-16
4319.69,1.75e-16,1.79e-16
4324.095,-2.85e-16,1.75e-16
4328.501,2.15e-16,1.89e-16
4332.906,4.95e-16,1.91e-16
4337.311,2.35e-16,1.86e-16
4341.716,-9.48e-17,1.81e-16
4346.121,-6.06e-16,1.79e-16
4350.525,-1.85e-16,1.92e-16
4354.93,-5.48e-17,1.83e-16
4359.334,-1.35e-16,1.62e-16
4363.738,5.52e-17,1.59e-16
4368.142,-1.65e-16,1.53e-16
4372.546,-2.65e-16,1.68e-16
4376.95,-1.48e-17,1.81e-16
4381.353,4.55e-16,1.97e-16
4385.757,-2.45e-16,1.79e-16
4390.16,-4.69e-16,1.67e-16
4394.563,-5.06e-16,1.63e-16
4398.966,3.52e-17,1.71e-16
4403.369,7.52e-17,1.78e-16
4407.771,-1.15e-16,1.85e-16
4412.174,-3.05e-16,1.90e-16
4416.576,-1.05e-16,1.91e-16
4420.978,3.45e-16,1.91e-16
4425.38,-2.55e-16,1.78e-16
4429.782,-1.25e-16,1.81e-16
4434.183,-1.35e-16,1.84e-16
4438.585,-1.25e-16,1.94e-16
4442.986,2.45e-16,2.08e-16
4447.387,5.22e-18,2.00e-16
4451.788,3.52e-17,2.01e-16
4456.189,-1.45e-16,1.96e-16
4460.59,-2.55e-16,1.95e-16
4464.99,2.35e-16,2.01e-16
4469.391,6.52e-17,2.01e-16
4473.791,-7.53e-16,1.93e-16
4478.191,-5.90e-16,1.92e-16
4482.591,-2.65e-16,1.97e-16
4486.991,-4.86e-16,1.96e-16
4491.391,2.15e-16,2.01e-16
4495.79,4.95e-16,2.03e-16
4500.19,5.95e-16,2.03e-16
4504.589,3.85e-16,2.03e-16
4508.988,-3.35e-16,1.92e-16
4513.387,1.75e-16,1.96e-16
4517.786,2.75e-16,1.97e-16
4522.184,-5.48e-17,1.91e-16
4526.583,4.52e-17,1.92e-16
4530.981,1.25e-16,1.91e-16
4535.379,5.65e-16,1.92e-16
4539.777,5.75e-16,1.91e-16
4544.175,-6.48e-17,1.79e-16
4548.573,-3.05e-16,1.72e-16
4552.971,-2.48e-17,1.75e-16
4557.368,-1.85e-16,1.69e-16
4561.766,2.35e-16,1.75e-16
4566.163,3.65e-16,1.74e-16
4570.56,3.15e-16,1.68e-16
4574.957,4.35e-16,1.70e-16
4579.354,3.25e-16,1.66e-16
4583.751,-7.48e-17,1.57e-16
4588.147,-2.45e-16,1.53e-16
4592.544,-4.78e-18,1.53e-16
4596.94,-2.85e-16,1.48e-16
4601.336,3.25e-16,1.54e-16
4605.732,2.95e-16,1.53e-16
4610.128,-2.15e-16,1.42e-16
4614.524,-2.15e-16,1.41e-16
4618.919,2.75e-16,1.46e-16
4623.315,5.85e-16,1.51e-16
4627.71,7.52e-17,1.41e-16
4632.105,3.25e-16,1.46e-16
4636.5,2.05e-16,1.39e-16
4640.895,3.75e-16,1.41e-16
4645.29,1.05e-16,1.36e-16
4649.685,3.45e-16,1.38e-16
4654.079,-1.48e-17,1.32e-16
4658.474,2.15e-16,1.35e-16
4662.868,-2.48e-17,1.29e-16
4667.262,7.52e-17,1.27e-16
4671.656,-1.48e-17,1.26e-16
4676.05,-5.48e-17,1.24e-16
4680.444,-2.45e-16,1.21e-16
4684.838,2.15e-16,1.27e-16
4689.231,-4.48e-17,1.19e-16
4693.625,1.55e-16,1.23e-16
4698.018,2.35e-16,1.22e-16
4702.411,-9.48e-17,1.16e-16
4706.804,2.52e-17,1.18e-16
4711.197,-1.25e-16,1.14e-16
4715.59,8.52e-17,1.16e-16
4719.983,1.55e-16,1.19e-16
4724.375,3.52e-17,1.14e-16
4728.768,2.15e-16,1.18e-16
4733.16,-2.85e-16,1.08e-16
4737.552,7.52e-17,1.14e-16
4741.944,-3.85e-16,1.03e-16
4746.336,5.52e-17,1.10e-16
4750.728,-4.93e-16,9.82e-17
4755.12,-1.75e-16,1.05e-16
4759.511,2.35e-16,1.09e-16
4763.903,-4.48e-17,1.03e-16
4768.294,1.52e-17,1.05e-16
4772.685,-4.78e-18,1.06e-16
4777.077,-5.48e-17,1.03e-16
4781.468,1.45e-16,1.07e-16
4785.858,-1.48e-17,1.03e-16
4790.249,1.05e-16,1.04e-16
4794.64,2.35e-16,1.06e-16
4799.031,1.25e-16,1.03e-16
4803.421,-6.48e-17,9.98e-17
4807.811,-4.78e-18,1.02e-16
4812.202,5.52e-17,1.02e-16
4816.592,3.15e-16,1.08e-16
4820.982,3.52e-17,1.02e-16
4825.372,1.55e-16,1.00e-16
4829.761,3.65e-16,1.06e-16
4834.151,-1.48e-17,9.99e-17
4838.541,1.85e-16,1.04e-16
4842.93,-7.48e-17,1.06e-16
4847.319,2.15e-16,1.08e-16
4851.709,-3.55e-16,1.00e-16
4856.098,2.25e-16,1.12e-16
4860.487,-5.48e-17,1.05e-16
4864.876,5.75e-16,1.16e-16
4869.265,4.15e-16,1.10e-16
4873.653,3.65e-16,1.10e-16
4878.042,7.52e-17,1.03e-16
4882.431,1.85e-16,1.04e-16
4886.819,-1.85e-16,9.50e-17
4891.207,-2.95e-16,9.20e-17
4895.595,2.65e-16,1.03e-16
4899.984,5.22e-18,9.91e-17
4904.372,7.52e-17,1.04e-16
4908.759,2.85e-16,1.06e-16
4913.147,8.52e-17,1.03e-16
4917.535,2.05e-16,1.03e-16
4921.923,-9.48e-17,9.69e-17
4926.31,3.25e-16,1.04e-16
4930.698,1.45e-16,1.01e-16
4935.085,2.45e-16,1.05e-16
4939.472,-4.48e-17,1.00e-16
4943.859,8.52e-17,1.01e-16
4948.246,2.55e-16,1.05e-16
4952.633,2.15e-16,1.02e-16
4957.02,5.85e-16,1.09e-16
4961.407,6.05e-16,1.09e-16
4965.793,9.95e-16,1.16e-16
4970.18,1.62e-15,1.25e-16
4974.566,1.91e-15,1.30e-16
4978.953,1.57e-15,1.26e-16
4983.339,1.48e-15,1.26e-16
4987.725,1.35e-15,1.22e-16
4992.111,4.65e-16,1.10e-16
4996.497,9.85e-16,1.16e-16
5000.883,5.45e-16,1.09e-16
5005.269,1.26e-15,1.19e-16
5009.655,1.86e-15,1.27e-16
5014.04,3.26e-15,1.44e-16
5018.426,4.87e-15,1.63e-16
5022.811,5.44e-15,1.68e-16
5027.197,4.97e-15,1.64e-16
