wave,inten,std
1830.282,-0.154,0.057
1834.857,-0.190,0.057
1839.430,0.591,0.058
1844.004,1.337,0.068
1848.577,1.581,0.071
1853.149,2.713,0.078
1857.721,0.212,0.059
1862.293,0.375,0.061
1866.864,-0.444,0.058
1871.434,-0.233,0.059
1876.005,0.159,0.060
1880.574,1.985,0.073
1885.144,0.220,0.062
1889.713,-0.041,0.060
1894.281,0.305,0.058
1898.849,0.318,0.060
1903.417,-0.251,0.057
1907.984,0.213,0.060
1912.551,-0.054,0.062
1917.117,0.317,0.059
1921.683,-0.625,0.059
1926.249,-0.055,0.063
1930.814,0.916,0.067
1935.378,0.177,0.059
1939.942,0.206,0.058
1944.506,-0.059,0.061
1949.069,-0.155,0.059
1953.632,1.335,0.071
1958.195,0.007,0.057
1962.757,-0.010,0.060
1967.318,2.308,0.079
1971.880,0.639,0.058
1976.440,0.049,0.056
1981.001,-0.148,0.058
1985.561,0.696,0.066
1990.120,0.815,0.065
1994.679,0.372,0.060
1999.238,0.691,0.065
2003.796,0.204,0.065
2008.354,0.435,0.061
2012.911,0.262,0.057
2017.468,0.512,0.066
2022.025,-0.101,0.064
2026.581,0.301,0.061
2031.137,0.101,0.058
2035.692,-0.008,0.059
2040.247,0.271,0.062
2044.801,0.837,0.062
2049.355,0.238,0.061
2053.909,0.636,0.062
2058.462,-0.217,0.060
2063.015,-0.035,0.056
2067.567,-0.191,0.060
2072.119,0.275,0.061
2076.671,0.165,0.061
2081.222,0.250,0.065
2085.773,-0.316,0.058
2090.323,-0.195,0.062
2094.873,0.075,0.058
2099.422,0.070,0.064
2103.971,0.081,0.059
2108.520,-0.081,0.061
2113.068,0.638,0.062
2117.616,0.795,0.058
2122.163,-0.571,0.057
2126.710,0.517,0.059
2131.257,1.585,0.063
2135.803,0.534,0.062
2140.349,0.377,0.064
2144.894,-0.122,0.059
2149.439,0.180,0.060
2153.984,-0.840,0.057
2158.528,0.043,0.059
2163.072,-0.172,0.061
2167.615,1.043,0.065
2172.158,0.479,0.063
2176.701,0.625,0.061
2181.243,0.586,0.062
2185.785,-0.458,0.059
2190.326,-0.001,0.060
2194.867,-0.022,0.056
2199.407,0.084,0.061
2203.948,0.103,0.061
2208.487,0.095,0.060
2213.027,0.365,0.062
2217.566,-0.006,0.058
2222.104,-0.143,0.057
2226.642,0.156,0.056
2231.180,0.384,0.062
2235.717,0.429,0.060
2240.254,0.242,0.059
2244.791,1.018,0.068
2249.327,-0.021,0.057
2253.863,0.040,0.059
2258.398,0.325,0.060
2262.933,-0.242,0.056
2267.468,-0.095,0.060
2272.002,-0.167,0.059
2276.536,0.520,0.061
2281.069,0.720,0.064
2285.602,0.175,0.059
2290.135,0.033,0.059
2294.667,-0.006,0.058
2299.199,0.171,0.058
2303.730,0.100,0.056
2308.261,-0.122,0.058
2312.792,0.013,0.057
2317.322,-0.353,0.061
2321.852,-0.272,0.058
2326.382,-0.079,0.065
2330.911,0.223,0.061
2335.440,0.518,0.063
2339.968,-0.542,0.058
2344.496,-0.209,0.059
2349.023,0.320,0.062
2353.551,0.652,0.060
2358.077,0.294,0.059
2362.604,0.621,0.060
2367.130,0.438,0.061
2371.656,0.640,0.061
2376.181,0.541,0.063
2380.706,0.907,0.063
2385.230,-0.686,0.060
2389.754,0.671,0.064
2394.278,0.027,0.060
2398.802,-0.322,0.062
2403.325,0.373,0.062
2407.847,0.023,0.058
2412.369,-0.418,0.057
2416.891,-0.332,0.056
2421.413,0.169,0.057
2425.934,2.830,0.081
2430.455,-0.086,0.059
2434.975,-0.191,0.058
2439.495,-0.118,0.062
2444.015,0.116,0.062
2448.534,-0.103,0.060
2453.053,0.524,0.064
2457.571,0.114,0.061
2462.089,0.588,0.059
2466.607,0.017,0.060
2471.124,0.196,0.057
2475.641,0.230,0.060
2480.158,-0.343,0.059
2484.674,0.345,0.064
2489.190,0.190,0.061
2493.706,-0.338,0.059
2498.221,0.047,0.064
2502.736,0.595,0.062
2507.250,0.317,0.062
2511.764,0.170,0.061
2516.278,0.601,0.063
2520.791,0.317,0.062
2525.304,0.152,0.056
2529.817,-0.102,0.058
2534.329,0.574,0.061
2538.841,0.038,0.062
2543.352,-0.213,0.057
2547.864,-0.349,0.061
2552.374,0.341,0.064
2556.885,0.081,0.062
2561.395,-0.319,0.059
2565.904,0.292,0.061
2570.414,-0.359,0.062
2574.923,0.402,0.062
2579.431,0.060,0.059
2583.940,0.532,0.062
2588.447,-0.001,0.059
2592.955,-0.229,0.061
2597.462,-0.150,0.060
2601.969,-0.063,0.058
2606.475,0.568,0.063
2610.982,0.533,0.067
2615.487,0.234,0.064
2619.993,-0.255,0.059
2624.498,-0.154,0.062
2629.002,0.134,0.060
2633.507,0.909,0.061
2638.011,-0.398,0.058
2642.514,-0.155,0.063
2647.018,0.593,0.063
2651.521,-0.352,0.059
2656.023,0.476,0.060
2660.525,0.987,0.066
2665.027,0.968,0.067
2669.529,0.159,0.062
2674.030,0.577,0.064
2678.531,0.053,0.060
2683.031,0.312,0.063
2687.531,0.376,0.062
2692.031,0.708,0.062
2696.531,0.485,0.060
2701.030,0.106,0.063
2705.528,0.197,0.062
2710.027,1.126,0.066
2714.525,0.461,0.060
2719.023,-0.111,0.060
2723.520,0.338,0.062
2728.017,0.258,0.063
2732.514,1.048,0.069
2737.010,0.169,0.063
2741.506,-0.183,0.061
2746.002,0.867,0.069
2750.497,0.719,0.066
2754.992,0.425,0.061
2759.487,0.502,0.061
2763.981,0.277,0.063
2768.475,-0.437,0.059
2772.968,0.295,0.062
2777.462,0.035,0.061
2781.955,0.378,0.063
2786.447,0.219,0.059
2790.939,0.088,0.062
2795.431,-0.296,0.060
2799.923,0.318,0.062
2804.414,0.291,0.062
2808.905,0.509,0.062
2813.396,0.721,0.062
2817.886,0.114,0.063
2822.376,0.209,0.061
2826.866,0.734,0.062
2831.355,-0.222,0.058
2835.844,1.048,0.064
2840.332,-0.190,0.059
2844.821,-0.064,0.061
2849.309,0.122,0.064
2853.796,0.422,0.061
2858.283,-0.615,0.060
2862.770,1.018,0.065
2867.257,-0.301,0.061
2871.743,0.562,0.062
2876.229,-0.114,0.057
2880.715,0.935,0.066
2885.200,0.370,0.062
2889.685,-0.311,0.059
2894.170,0.057,0.062
2898.654,0.056,0.063
2903.138,0.578,0.066
2907.622,0.590,0.064
2912.105,0.659,0.065
2916.588,-0.387,0.058
2921.071,0.284,0.065
2925.553,0.182,0.058
2930.036,-0.482,0.058
2934.517,0.307,0.062
2938.999,0.189,0.062
2943.480,0.141,0.059
2947.961,0.170,0.062
2952.441,-0.001,0.063
2956.921,0.171,0.061
2961.401,0.468,0.062
2965.881,-0.417,0.058
2970.360,0.133,0.062
2974.839,-0.126,0.064
2979.317,0.215,0.061
