wave,inten,std
2894.170,-0.035,0.023
2898.654,0.011,0.023
2903.138,-0.008,0.022
2907.622,0.014,0.025
2912.105,0.050,0.027
2916.588,-0.011,0.023
2921.071,-0.039,0.022
2925.553,-0.057,0.020
2930.036,-0.009,0.024
2934.517,-0.078,0.018
2938.999,0.061,0.027
2943.480,-0.085,0.019
2947.961,0.131,0.033
2952.441,0.065,0.028
2956.921,0.054,0.028
2961.401,0.040,0.028
2965.881,0.063,0.027
2970.360,0.042,0.027
2974.839,0.099,0.032
2979.317,0.054,0.028
2983.796,0.008,0.025
2988.274,-0.015,0.025
2992.751,-0.017,0.022
2997.229,-0.062,0.020
3001.706,-0.061,0.023
3006.182,0.048,0.029
3010.659,-0.077,0.021
3015.135,0.047,0.028
3019.610,0.004,0.027
3024.086,0.065,0.028
3028.561,0.054,0.028
3033.036,-0.265,nan
3037.510,0.064,0.029
3041.985,-0.003,0.025
3046.458,-0.033,0.022
3050.932,-0.057,0.020
3055.405,-0.048,0.020
3059.878,-0.022,0.022
3064.351,-0.053,0.020
3068.823,-0.013,0.023
3073.295,0.060,0.029
3077.767,-0.115,0.016
3082.239,0.026,0.026
3086.710,-0.060,0.019
3091.181,0.017,0.026
3095.651,0.008,0.025
3100.121,0.039,0.027
3104.591,-0.083,0.019
3109.061,0.215,0.036
3113.530,0.006,0.025
3117.999,0.059,0.027
3122.468,0.005,0.027
3126.937,-0.018,0.023
3131.405,-0.014,0.023
3135.873,-0.022,0.024
3140.340,-0.016,0.023
3144.807,0.017,0.026
3149.274,-0.046,0.022
3153.741,-0.018,0.025
3158.207,-0.052,0.023
3162.673,-0.038,0.024
3167.139,0.060,0.027
3171.605,0.066,0.028
3176.070,-0.111,0.017
3180.535,-0.100,0.017
3184.999,-0.020,0.024
3189.464,0.043,0.027
3193.928,-0.011,0.023
3198.391,-0.069,0.022
3202.855,0.137,0.031
3207.318,-0.041,0.022
3211.781,0.032,0.025
3216.243,0.034,0.028
3220.705,0.113,0.031
3225.167,-0.016,0.024
3229.629,0.084,0.029
3234.091,0.088,0.030
3238.552,0.366,0.043
3243.012,-0.003,0.025
3247.473,0.132,0.032
3251.933,-0.217,nan
3256.393,-0.003,0.024
3260.853,-0.106,0.017
3265.312,-0.040,0.024
3269.771,0.020,0.029
3274.230,0.024,0.027
3278.689,-0.001,0.022
3283.147,0.017,0.024
3287.605,0.034,0.026
3292.063,0.023,0.027
3296.520,0.002,0.026
3300.977,-0.095,0.014
3305.434,-0.063,0.023
3309.891,0.081,0.029
3314.347,-0.052,0.022
3318.803,-0.101,0.018
3323.259,0.081,0.030
3327.714,-0.077,0.021
3332.170,0.034,0.028
3336.624,0.106,0.030
3341.079,0.016,0.026
3345.533,0.053,0.025
3349.988,0.024,0.026
3354.441,-0.001,0.027
3358.895,-0.096,0.014
3363.348,-0.047,0.019
3367.801,0.017,0.024
3372.254,0.018,0.026
3376.706,-0.010,0.025
3381.159,-0.008,0.022
3385.610,0.031,0.028
3390.062,0.090,0.031
3394.514,0.031,0.026
3398.965,-0.070,0.020
3403.415,-0.122,0.012
3407.866,-0.010,0.024
3412.316,-0.042,0.021
3416.766,0.003,0.024
