wave,flux,std
4002.017,1.92e-15,2.41e-16
4006.435,3.12e-15,2.84e-16
4010.854,3.08e-15,2.85e-16
4015.273,3.68e-15,2.99e-16
4019.691,2.90e-15,2.67e-16
4024.109,3.29e-15,2.72e-16
4028.527,1.92e-15,2.29e-16
4032.944,2.77e-15,2.69e-16
4037.362,2.08e-15,2.50e-16
4041.779,4.01e-15,3.06e-16
4046.196,2.63e-15,2.45e-16
4050.613,2.86e-15,2.51e-16
4055.03,2.50e-15,2.27e-16
4059.446,2.18e-15,2.13e-16
4063.863,3.58e-15,2.64e-16
4068.279,3.50e-15,2.65e-16
4072.695,3.03e-15,2.63e-16
4077.11,4.06e-15,2.97e-16
4081.526,4.92e-15,3.25e-16
4085.941,3.77e-15,2.89e-16
4090.356,3.56e-15,2.81e-16
4094.771,3.48e-15,2.70e-16
4099.186,3.48e-15,2.57e-16
4103.6,3.50e-15,2.50e-16
4108.015,3.75e-15,2.45e-16
4112.429,2.61e-15,2.04e-16
4116.843,3.08e-15,2.03e-16
4121.257,2.56e-15,1.85e-16
4125.67,2.08e-15,1.75e-16
4130.084,3.36e-15,2.12e-16
4134.497,3.08e-15,2.19e-16
4138.91,2.64e-15,2.12e-16
4143.323,3.81e-15,2.41e-16
4147.735,2.89e-15,2.09e-16
4152.148,2.55e-15,1.84e-16
4156.56,2.53e-15,1.85e-16
4160.972,2.58e-15,1.90e-16
4165.384,1.91e-15,1.78e-16
4169.796,3.10e-15,2.10e-16
4174.208,3.10e-15,2.09e-16
4178.619,3.06e-15,2.07e-16
4183.03,2.89e-15,1.94e-16
4187.441,2.62e-15,1.86e-16
4191.852,2.18e-15,1.74e-16
4196.263,3.06e-15,2.00e-16
4200.673,3.31e-15,2.07e-16
4205.083,3.17e-15,2.05e-16
4209.494,2.81e-15,1.95e-16
4213.903,3.03e-15,1.94e-16
4218.313,3.49e-15,2.03e-16
4222.723,3.19e-15,1.94e-16
4227.132,2.75e-15,1.86e-16
4231.541,2.75e-15,1.89e-16
4235.95,3.54e-15,2.08e-16
4240.359,2.78e-15,1.90e-16
4244.768,2.91e-15,1.90e-16
4249.177,2.90e-15,1.90e-16
4253.585,3.21e-15,1.94e-16
4257.993,3.12e-15,1.94e-16
4262.401,3.06e-15,1.88e-16
4266.809,2.76e-15,1.84e-16
4271.217,2.86e-15,1.89e-16
4275.624,3.05e-15,1.93e-16
4280.031,3.28e-15,1.99e-16
4284.438,3.02e-15,1.95e-16
4288.845,3.89e-15,2.09e-16
4293.252,2.90e-15,1.85e-16
4297.659,2.68e-15,1.78e-16
4302.065,3.26e-15,1.89e-16
4306.472,2.73e-15,1.87e-16
4310.878,2.91e-15,1.98e-16
4315.284,3.52e-15,2.17e-16
4319.69,3.24e-15,2.14e-16
4324.095,3.72e-15,2.28e-16
4328.501,3.60e-15,2.27e-16
4332.906,3.89e-15,2.28e-16
4337.311,5.12e-15,2.49e-16
4341.716,5.68e-15,2.58e-16
4346.121,5.26e-15,2.55e-16
4350.525,4.79e-15,2.48e-16
4354.93,3.93e-15,2.23e-16
4359.334,3.99e-15,2.06e-16
4363.738,3.66e-15,1.95e-16
4368.142,4.23e-15,2.03e-16
4372.546,4.11e-15,2.18e-16
4376.95,4.90e-15,2.39e-16
4381.353,4.34e-15,2.36e-16
4385.757,3.38e-15,2.16e-16
4390.16,3.63e-15,2.11e-16
4394.563,2.96e-15,1.96e-16
4398.966,3.00e-15,1.95e-16
4403.369,3.37e-15,2.08e-16
4407.771,3.84e-15,2.27e-16
4412.174,4.17e-15,2.37e-16
4416.576,2.93e-15,2.17e-16
4420.978,2.83e-15,2.08e-16
4425.38,3.50e-15,2.15e-16
4429.782,2.82e-15,2.05e-16
4434.183,3.08e-15,2.11e-16
4438.585,3.85e-15,2.32e-16
4442.986,3.58e-15,2.34e-16
4447.387,3.91e-15,2.36e-16
4451.788,3.92e-15,2.37e-16
4456.189,3.83e-15,2.31e-16
4460.59,3.58e-15,2.29e-16
4464.99,3.68e-15,2.28e-16
4469.391,3.43e-15,2.28e-16
4473.791,3.51e-15,2.33e-16
4478.191,3.40e-15,2.28e-16
4482.591,4.06e-15,2.37e-16
4486.991,3.71e-15,2.33e-16
4491.391,3.74e-15,2.29e-16
4495.79,3.89e-15,2.29e-16
4500.19,4.07e-15,2.31e-16
4504.589,3.54e-15,2.25e-16
4508.988,3.29e-15,2.23e-16
4513.387,4.07e-15,2.29e-16
4517.786,4.10e-15,2.30e-16
4522.184,4.39e-15,2.30e-16
4526.583,4.23e-15,2.27e-16
4530.981,3.81e-15,2.21e-16
4535.379,3.54e-15,2.12e-16
4539.777,3.66e-15,2.14e-16
4544.175,3.53e-15,2.09e-16
4548.573,4.05e-15,2.13e-16
4552.971,3.41e-15,2.03e-16
4557.368,3.67e-15,2.05e-16
4561.766,3.57e-15,2.00e-16
4566.163,4.02e-15,2.04e-16
4570.56,3.92e-15,1.99e-16
4574.957,4.51e-15,2.06e-16
4579.354,4.59e-15,2.05e-16
4583.751,4.29e-15,1.99e-16
4588.147,4.37e-15,1.99e-16
4592.544,3.82e-15,1.88e-16
4596.94,3.69e-15,1.86e-16
4601.336,3.88e-15,1.84e-16
4605.732,4.07e-15,1.86e-16
4610.128,3.53e-15,1.78e-16
4614.524,4.17e-15,1.85e-16
4618.919,4.12e-15,1.81e-16
4623.315,4.22e-15,1.81e-16
4627.71,4.53e-15,1.85e-16
4632.105,4.02e-15,1.78e-16
4636.5,4.31e-15,1.79e-16
4640.895,4.38e-15,1.78e-16
4645.29,4.68e-15,1.81e-16
4649.685,4.15e-15,1.73e-16
4654.079,4.13e-15,1.72e-16
4658.474,4.53e-15,1.77e-16
4662.868,4.32e-15,1.73e-16
4667.262,4.67e-15,1.75e-16
4671.656,4.29e-15,1.70e-16
4676.05,4.49e-15,1.72e-16
4680.444,4.31e-15,1.70e-16
4684.838,4.72e-15,1.73e-16
4689.231,5.44e-15,1.80e-16
4693.625,5.01e-15,1.74e-16
4698.018,5.64e-15,1.81e-16
4702.411,5.52e-15,1.78e-16
4706.804,5.07e-15,1.72e-16
4711.197,3.99e-15,1.57e-16
4715.59,3.91e-15,1.53e-16
4719.983,4.12e-15,1.58e-16
4724.375,3.55e-15,1.48e-16
4728.768,3.78e-15,1.51e-16
4733.16,4.27e-15,1.58e-16
4737.552,4.18e-15,1.56e-16
4741.944,4.39e-15,1.56e-16
4746.336,4.01e-15,1.50e-16
4750.728,3.72e-15,1.44e-16
4755.12,4.20e-15,1.52e-16
4759.511,4.22e-15,1.50e-16
4763.903,3.92e-15,1.45e-16
4768.294,3.83e-15,1.44e-16
4772.685,4.10e-15,1.47e-16
4777.077,3.72e-15,1.41e-16
4781.468,3.94e-15,1.45e-16
4785.858,3.58e-15,1.38e-16
4790.249,3.42e-15,1.35e-16
4794.64,3.30e-15,1.31e-16
4799.031,3.66e-15,1.37e-16
4803.421,4.13e-15,1.44e-16
4807.811,3.96e-15,1.43e-16
4812.202,4.07e-15,1.44e-16
4816.592,4.17e-15,1.44e-16
4820.982,3.72e-15,1.37e-16
4825.372,3.47e-15,1.31e-16
4829.761,3.69e-15,1.35e-16
4834.151,3.64e-15,1.35e-16
4838.541,4.16e-15,1.45e-16
4842.93,3.88e-15,1.46e-16
4847.319,4.51e-15,1.53e-16
4851.709,4.12e-15,1.51e-16
4856.098,4.97e-15,1.61e-16
4860.487,5.82e-15,1.71e-16
4864.876,6.34e-15,1.75e-16
4869.265,6.98e-15,1.80e-16
4873.653,9.70e-15,2.06e-16
4878.042,7.63e-15,1.84e-16
4882.431,6.18e-15,1.66e-16
4886.819,6.36e-15,1.66e-16
4891.207,5.52e-15,1.56e-16
4895.595,4.05e-15,1.38e-16
4899.984,4.62e-15,1.47e-16
4904.372,4.18e-15,1.43e-16
4908.759,4.50e-15,1.48e-16
4913.147,4.32e-15,1.45e-16
4917.535,4.26e-15,1.42e-16
4921.923,4.27e-15,1.41e-16
4926.31,3.98e-15,1.36e-16
4930.698,4.41e-15,1.43e-16
4935.085,4.40e-15,1.45e-16
4939.472,4.37e-15,1.45e-16
4943.859,5.27e-15,1.54e-16
4948.246,5.70e-15,1.59e-16
4952.633,6.38e-15,1.66e-16
4957.02,8.92e-15,1.91e-16
4961.407,1.71e-14,2.55e-16
4965.793,2.23e-14,2.89e-16
4970.18,2.83e-14,3.23e-16
4974.566,2.79e-14,3.21e-16
4978.953,2.57e-14,3.08e-16
4983.339,2.07e-14,2.78e-16
4987.725,1.63e-14,2.48e-16
4992.111,1.36e-14,2.29e-16
4996.497,1.05e-14,2.03e-16
5000.883,1.56e-14,2.41e-16
5005.269,2.47e-14,2.99e-16
5009.655,3.50e-14,3.52e-16
5014.04,5.07e-14,4.21e-16
5018.426,6.63e-14,4.78e-16
5022.811,7.07e-14,4.93e-16
