wave,inten,std
1830.282,0.075,0.027
1834.857,0.033,0.024
1839.430,0.008,0.022
1844.004,0.020,0.026
1848.577,-0.035,0.019
1853.149,0.030,0.026
1857.721,-0.146,0.009
1862.293,0.006,0.023
1866.864,-0.013,0.023
1871.434,0.059,0.027
1876.005,0.050,0.028
1880.574,0.068,0.028
1885.144,-0.021,0.023
1889.713,-0.032,0.021
1894.281,-0.021,0.022
1898.849,-0.031,0.023
1903.417,-0.019,0.021
1907.984,0.031,0.026
1912.551,0.110,0.030
1917.117,-0.010,0.022
1921.683,0.088,0.031
1926.249,0.032,0.026
1930.814,0.033,0.025
1935.378,-0.126,0.015
1939.942,0.041,0.026
1944.506,-0.046,0.020
1949.069,-0.029,0.022
1953.632,0.066,0.028
1958.195,0.022,0.026
1962.757,0.091,0.027
1967.318,0.169,0.031
1971.880,0.138,0.032
1976.440,-0.037,0.022
1981.001,0.053,0.027
1985.561,0.007,0.026
1990.120,0.010,0.024
1994.679,-0.050,0.020
1999.238,0.020,0.027
2003.796,-0.075,0.019
2008.354,0.031,0.027
2012.911,-0.068,0.020
2017.468,0.098,0.031
2022.025,-0.010,0.022
2026.581,0.291,0.039
2031.137,-0.067,0.021
2035.692,-0.116,0.014
2040.247,0.080,0.028
2044.801,-0.038,0.022
2049.355,-0.031,0.022
2053.909,0.041,0.025
2058.462,-0.056,0.019
2063.015,-0.020,0.023
2067.567,0.049,0.029
2072.119,0.079,0.029
2076.671,-0.033,0.022
2081.222,0.032,0.027
2085.773,-0.019,0.022
2090.323,-0.044,0.022
2094.873,0.028,0.026
2099.422,-0.014,0.025
2103.971,0.035,0.028
2108.520,0.000,0.022
2113.068,-0.015,0.025
2117.616,-0.007,0.023
2122.163,0.057,0.026
2126.710,-0.027,0.022
2131.257,-0.118,0.019
2135.803,0.061,0.028
2140.349,-0.025,0.022
2144.894,-0.058,0.020
2149.439,0.024,0.026
2153.984,-0.106,0.013
2158.528,-0.100,0.020
2163.072,0.075,0.030
2167.615,-0.068,0.015
2172.158,0.053,0.028
2176.701,-0.001,0.023
2181.243,0.022,0.026
2185.785,0.047,0.028
2190.326,0.007,0.024
2194.867,0.014,0.023
2199.407,0.017,0.024
2203.948,-0.001,0.024
2208.487,0.018,0.026
2213.027,0.092,0.028
2217.566,-0.034,0.024
2222.104,0.036,0.026
2226.642,0.009,0.025
2231.180,-0.024,0.023
2235.717,-0.056,0.020
2240.254,0.002,0.023
2244.791,-0.022,0.021
2249.327,-0.026,0.023
2253.863,0.031,0.027
2258.398,0.016,0.026
2262.933,-0.064,0.020
2267.468,-0.037,0.021
2272.002,-0.024,0.022
2276.536,0.099,0.030
2281.069,0.013,0.025
2285.602,-0.034,0.022
2290.135,-0.044,0.018
2294.667,-0.057,0.022
2299.199,0.022,0.024
2303.730,0.108,0.031
2308.261,-0.041,0.022
2312.792,0.018,0.026
2317.322,-0.082,0.018
2321.852,-0.044,0.023
2326.382,0.060,0.026
2330.911,0.027,0.025
2335.440,0.042,0.028
2339.968,-0.026,0.022
2344.496,0.039,0.026
2349.023,-0.055,0.020
2353.551,-0.077,0.020
2358.077,0.114,0.030
2362.604,0.030,0.024
2367.130,0.148,0.032
2371.656,-0.081,0.018
2376.181,0.096,0.030
2380.706,0.002,0.025
2385.230,-0.049,0.022
2389.754,-0.091,0.020
2394.278,-0.019,0.023
2398.802,0.109,0.031
2403.325,-0.008,0.023
2407.847,-0.037,0.023
2412.369,0.066,0.029
2416.891,0.071,0.028
2421.413,0.038,0.027
2425.934,-0.023,0.022
2430.455,-0.043,0.024
2434.975,0.012,0.024
2439.495,-0.033,0.022
2444.015,0.010,0.023
2448.534,0.017,0.026
2453.053,-0.046,0.021
2457.571,-0.065,0.019
2462.089,-0.051,0.019
2466.607,-0.075,0.020
2471.124,0.035,0.026
2475.641,-0.043,0.020
2480.158,0.080,0.028
2484.674,-0.142,0.013
2489.190,-0.011,0.023
2493.706,-0.007,0.023
2498.221,0.082,0.027
2502.736,0.002,0.024
2507.250,-0.018,0.022
2511.764,-0.061,0.019
2516.278,-0.037,0.021
2520.791,0.074,0.028
2525.304,0.166,0.032
2529.817,-0.008,0.021
2534.329,0.016,0.022
2538.841,-0.036,0.024
2543.352,0.020,0.027
2547.864,0.039,0.026
2552.374,-0.071,0.023
2556.885,0.107,0.030
2561.395,0.254,0.037
2565.904,0.056,0.026
2570.414,0.123,0.032
2574.923,0.040,0.027
2579.431,0.041,0.026
2583.940,-0.090,0.015
2588.447,-0.089,0.017
2592.955,-0.033,0.023
2597.462,-0.022,0.024
2601.969,0.012,0.024
2606.475,-0.015,0.025
2610.982,0.015,0.026
2615.487,-0.039,0.023
2619.993,0.049,0.027
2624.498,0.033,0.025
2629.002,0.005,0.025
2633.507,-0.076,0.017
2638.011,-0.122,0.016
2642.514,-0.051,0.021
2647.018,0.018,0.025
2651.521,-0.029,0.023
2656.023,-0.017,0.021
2660.525,0.028,0.027
2665.027,-0.108,0.015
2669.529,0.110,0.030
2674.030,-0.031,0.022
2678.531,-0.092,0.018
2683.031,0.136,0.032
2687.531,0.013,0.024
2692.031,0.104,0.031
2696.531,-0.002,0.026
2701.030,-0.033,0.023
2705.528,-0.002,0.024
2710.027,-0.031,0.023
2714.525,-0.015,0.024
2719.023,0.071,0.027
2723.520,0.001,0.025
2728.017,0.055,0.030
2732.514,0.023,0.026
2737.010,-0.070,0.021
2741.506,0.001,0.024
2746.002,-0.116,0.018
2750.497,0.058,0.028
2754.992,0.053,0.027
2759.487,-0.030,0.021
2763.981,0.046,0.027
2768.475,-0.029,0.022
2772.968,0.015,0.024
2777.462,-0.088,0.019
2781.955,-0.065,0.020
2786.447,0.062,0.027
2790.939,-0.045,0.021
2795.431,-0.024,0.023
2799.923,0.046,0.025
2804.414,0.180,0.036
2808.905,-0.106,0.014
2813.396,-0.086,0.016
2817.886,-0.090,0.020
2822.376,-0.102,0.018
2826.866,0.063,0.028
2831.355,-0.071,0.020
2835.844,0.034,0.027
2840.332,0.012,0.026
2844.821,-0.046,0.022
2849.309,0.045,0.027
2853.796,0.013,0.025
2858.283,0.049,0.027
2862.770,0.030,0.027
2867.257,-0.012,0.023
2871.743,-0.001,0.025
2876.229,-0.022,0.023
2880.715,-0.000,0.025
2885.200,-0.038,0.022
2889.685,-0.001,0.026
2894.170,-0.032,0.023
2898.654,0.071,0.027
2903.138,0.096,0.029
2907.622,-0.027,0.022
2912.105,0.029,0.026
2916.588,-0.018,0.022
2921.071,0.041,0.027
2925.553,-0.197,nan
2930.036,0.067,0.029
2934.517,0.026,0.026
2938.999,1.164,0.066
2943.480,0.099,0.031
2947.961,-0.112,0.018
