wave,inten,std
1830.282,0.045,0.025
1834.857,0.023,0.024
1839.430,0.032,0.024
1844.004,0.001,0.025
1848.577,0.129,0.030
1853.149,0.099,0.030
1857.721,0.033,0.026
1862.293,0.075,0.028
1866.864,-0.017,0.023
1871.434,0.053,0.026
1876.005,-0.029,0.023
1880.574,0.035,0.026
1885.144,-0.010,0.024
1889.713,0.150,0.032
1894.281,0.044,0.026
1898.849,0.078,0.029
1903.417,0.231,0.036
1907.984,0.053,0.028
1912.551,0.010,0.024
1917.117,0.038,0.025
1921.683,-0.132,0.015
1926.249,0.048,0.027
1930.814,0.085,0.029
1935.378,-0.027,0.023
1939.942,0.095,0.030
1944.506,-0.032,0.021
1949.069,-0.002,0.024
1953.632,0.051,0.027
1958.195,0.066,0.028
1962.757,0.148,0.031
1967.318,-0.166,nan
1971.880,0.008,0.025
1976.440,-0.025,0.023
1981.001,-0.087,0.017
1985.561,0.031,0.027
1990.120,-0.019,0.022
1994.679,-0.034,0.021
1999.238,-0.050,0.022
2003.796,-0.084,0.018
2008.354,0.005,0.026
2012.911,-0.079,0.019
2017.468,-0.001,0.025
2022.025,-0.183,nan
2026.581,-0.046,0.020
2031.137,-0.164,0.011
2035.692,0.014,0.025
2040.247,-0.179,nan
2044.801,0.040,0.027
2049.355,0.017,0.026
2053.909,-0.005,0.022
2058.462,-0.119,0.013
2063.015,0.043,0.027
2067.567,-0.024,0.024
2072.119,-0.079,0.018
2076.671,-0.058,0.020
2081.222,-0.023,0.023
2085.773,0.011,0.024
2090.323,0.016,0.026
2094.873,0.031,0.026
2099.422,-0.009,0.026
2103.971,-0.138,0.014
2108.520,0.041,0.025
2113.068,-0.067,0.021
2117.616,0.062,0.028
2122.163,0.010,0.023
2126.710,-0.187,nan
2131.257,-0.045,0.024
2135.803,0.058,0.028
2140.349,-0.026,0.022
2144.894,0.055,0.028
2149.439,-0.043,0.022
2153.984,0.001,0.023
2158.528,-0.081,0.021
2163.072,0.051,0.028
2167.615,0.169,0.032
2172.158,-0.018,0.023
2176.701,0.015,0.025
2181.243,-0.001,0.024
2185.785,-0.153,0.010
2190.326,-0.010,0.023
2194.867,0.098,0.028
2199.407,0.047,0.026
2203.948,0.016,0.026
2208.487,-0.110,0.016
2213.027,-0.044,0.018
2217.566,0.048,0.030
2222.104,0.159,0.033
2226.642,-0.066,0.019
2231.180,0.196,0.035
2235.717,0.004,0.025
2240.254,0.012,0.023
2244.791,0.044,0.026
2249.327,0.033,0.027
2253.863,-0.001,0.024
2258.398,-0.075,0.019
2262.933,0.023,0.026
2267.468,-0.069,0.018
2272.002,-0.051,0.020
2276.536,-0.000,0.024
2281.069,-0.127,0.013
2285.602,-0.020,0.023
2290.135,0.059,0.026
2294.667,0.044,0.029
2299.199,0.070,0.027
2303.730,-0.165,0.009
2308.261,-0.018,0.023
2312.792,0.071,0.029
2317.322,-0.002,0.024
2321.852,-0.073,0.020
2326.382,0.114,0.029
2330.911,-0.026,0.022
2335.440,-0.019,0.024
2339.968,-0.077,0.018
2344.496,0.132,0.032
2349.023,0.007,0.024
2353.551,0.016,0.026
2358.077,0.030,0.025
2362.604,0.066,0.027
2367.130,0.046,0.027
2371.656,-0.011,0.023
2376.181,-0.072,0.019
2380.706,0.046,0.028
2385.230,-0.080,0.019
2389.754,-0.032,0.025
2394.278,-0.061,0.019
2398.802,0.046,0.028
2403.325,0.024,0.025
2407.847,-0.067,0.021
2412.369,-0.009,0.024
2416.891,-0.061,0.018
2421.413,0.018,0.026
2425.934,0.066,0.028
2430.455,0.017,0.028
2434.975,0.016,0.025
2439.495,0.057,0.028
2444.015,-0.001,0.023
2448.534,-0.002,0.025
2453.053,-0.028,0.022
2457.571,-0.068,0.018
2462.089,0.013,0.024
2466.607,-0.052,0.022
2471.124,0.053,0.028
2475.641,0.000,0.023
2480.158,-0.019,0.022
2484.674,-0.025,0.024
2489.190,0.092,0.029
2493.706,0.105,0.030
2498.221,0.044,0.025
2502.736,0.168,0.034
2507.250,0.102,0.030
2511.764,0.110,0.030
2516.278,0.022,0.025
2520.791,-0.012,0.023
2525.304,0.105,0.029
2529.817,0.057,0.026
2534.329,0.050,0.024
2538.841,-0.106,0.019
2543.352,-0.097,0.019
2547.864,-0.071,0.017
2552.374,-0.056,0.024
2556.885,0.007,0.023
2561.395,0.005,0.024
2565.904,0.043,0.025
2570.414,0.018,0.026
2574.923,0.060,0.028
2579.431,0.025,0.025
2583.940,-0.097,0.014
2588.447,-0.005,0.024
2592.955,0.001,0.025
2597.462,-0.065,0.020
2601.969,-0.019,0.022
2606.475,0.030,0.027
2610.982,0.078,0.030
2615.487,-0.007,0.026
2619.993,-0.022,0.023
2624.498,0.007,0.023
2629.002,-0.106,0.017
2633.507,0.228,0.036
2638.011,0.007,0.026
2642.514,-0.101,0.016
2647.018,-0.024,0.022
2651.521,-0.089,0.018
2656.023,0.018,0.024
2660.525,-0.015,0.024
2665.027,-0.025,0.023
2669.529,-0.033,0.021
2674.030,-0.000,0.024
2678.531,-0.004,0.025
2683.031,0.030,0.026
2687.531,-0.006,0.023
2692.031,-0.015,0.023
2696.531,-0.023,0.025
2701.030,-0.053,0.021
2705.528,0.073,0.029
2710.027,0.074,0.030
2714.525,-0.044,0.022
2719.023,0.051,0.026
2723.520,-0.004,0.025
2728.017,0.199,0.037
2732.514,0.040,0.027
2737.010,-0.024,0.024
2741.506,-0.034,0.022
2746.002,-0.138,0.016
2750.497,0.018,0.025
2754.992,-0.007,0.023
2759.487,-0.053,0.019
2763.981,0.044,0.027
2768.475,0.069,0.028
2772.968,-0.060,0.018
2777.462,-0.093,0.019
2781.955,0.021,0.026
2786.447,0.058,0.026
2790.939,-0.028,0.023
2795.431,0.065,0.029
2799.923,-0.064,0.017
2804.414,-0.019,0.024
2808.905,0.007,0.024
2813.396,0.156,0.033
2817.886,0.049,0.030
2822.376,-0.055,0.022
2826.866,-0.030,0.021
2831.355,-0.074,0.020
2835.844,0.100,0.031
2840.332,0.020,0.026
2844.821,0.097,0.031
2849.309,-0.008,0.023
2853.796,0.043,0.027
2858.283,0.079,0.029
2862.770,-0.114,0.015
2867.257,-0.065,0.019
2871.743,0.069,0.029
2876.229,0.066,0.028
2880.715,0.053,0.028
2885.200,0.081,0.030
2889.685,0.022,0.027
2894.170,-0.097,0.018
2898.654,0.093,0.029
2903.138,-0.065,0.017
2907.622,0.171,0.034
2912.105,0.041,0.026
2916.588,0.005,0.024
2921.071,-0.063,0.020
2925.553,-0.010,0.024
2930.036,-0.052,0.021
2934.517,0.058,0.028
2938.999,0.168,0.033
2943.480,-0.023,0.024
2947.961,-0.002,0.026
2952.441,-0.039,0.022
2956.921,-0.014,0.023
2961.401,0.003,0.025
2965.881,0.061,0.027
2970.360,-0.032,0.022
2974.839,-0.071,0.021
2979.317,0.116,0.032
2983.796,0.006,0.025
2988.274,-0.043,0.023
2992.751,0.091,0.029
2997.229,-0.026,0.023
3001.706,-0.100,0.019
3006.182,0.005,0.026
3010.659,-0.075,0.022
3015.135,-0.035,0.023
3019.610,0.095,0.032
3024.086,-0.164,0.006
3028.561,-0.094,0.017
3033.036,-0.043,0.023
3037.510,0.012,0.026
3041.985,-0.110,0.016
3046.458,-0.143,0.010
3050.932,-0.029,0.022
3055.405,-0.004,0.024
3059.878,-0.022,0.022
3064.351,0.012,0.024
3068.823,0.050,0.027
3073.295,-0.063,0.020
3077.767,0.001,0.025
3082.239,-0.051,0.021
3086.710,-0.174,nan
3091.181,-0.023,0.023
3095.651,0.266,0.039
3100.121,0.111,0.031
3104.591,-0.043,0.022
3109.061,0.074,0.028
3113.530,-0.003,0.025
3117.999,-0.017,0.022
3122.468,-0.034,0.024
3126.937,-0.009,0.024
3131.405,-0.028,0.023
3135.873,-0.090,0.019
3140.340,0.066,0.029
3144.807,-0.002,0.025
3149.274,-0.055,0.022
3153.741,0.041,0.029
3158.207,-0.075,0.022
3162.673,-0.066,0.022
3167.139,0.026,0.025
3171.605,0.035,0.026
3176.070,-0.012,0.025
3180.535,0.067,0.029
3184.999,-0.157,0.012
3189.464,0.066,0.029
3193.928,0.009,0.025
3198.391,0.010,0.027
3202.855,0.051,0.026
3207.318,-0.020,0.023
3211.781,0.022,0.024
3216.243,-0.034,0.024
3220.705,0.013,0.025
3225.167,-0.052,0.021
3229.629,0.033,0.026
3234.091,0.065,0.028
3238.552,0.058,0.028
3243.012,0.098,0.031
3247.473,0.045,0.027
3251.933,-0.073,0.020
3256.393,-0.045,0.021
3260.853,0.006,0.026
3265.312,-0.035,0.025
3269.771,-0.115,0.020
3274.230,0.049,0.028
3278.689,0.125,0.030
3283.147,-0.014,0.022
3287.605,-0.030,0.021
3292.063,-0.035,0.023
3296.520,-0.075,0.020
3300.977,-0.104,0.013
3305.434,-0.197,0.010
3309.891,-0.015,0.023
3314.347,-0.123,0.016
3318.803,-0.028,0.023
3323.259,0.005,0.026
3327.714,0.013,0.027
3332.170,-0.064,0.021
3336.624,0.166,0.033
3341.079,0.069,0.030
3345.533,0.067,0.026
3349.988,0.059,0.028
3354.441,-0.111,0.018
3358.895,0.064,0.027
3363.348,0.123,0.031
3367.801,0.009,0.024
3372.254,-0.010,0.024
3376.706,0.004,0.026
3381.159,0.258,0.037
3385.610,-0.046,0.023
3390.062,-0.093,0.018
3394.514,0.102,0.030
3398.965,0.015,0.026
3403.415,0.062,0.028
3407.866,0.008,0.025
3412.316,0.067,0.028
3416.766,0.054,0.027
3421.216,-0.060,0.023
3425.666,-0.071,0.019
3430.115,-0.205,nan
3434.564,0.114,0.029
3439.013,0.040,0.026
3443.461,-0.132,0.014
3447.909,0.029,0.025
3452.357,0.096,0.028
3456.805,-0.090,0.019
3461.252,-0.079,0.017
3465.699,-0.059,0.022
3470.146,-0.005,0.024
3474.593,-0.017,0.024
3479.039,0.093,0.029
3483.485,0.084,0.029
3487.931,0.036,0.024
3492.376,-0.045,0.020
3496.822,0.133,0.030
