TIME,CH1,CH2,,TIME,MATH
2.68E+05,-0.9,0.051,,5.35E+06,0.002
2.70E+05,-0.9,0.049,,5.40E+06,0.00171875
2.73E+05,-0.9,0.049,,5.45E+06,0.00228125
2.75E+05,-0.9,0.051,,5.50E+06,0.002875
2.78E+05,-0.86,0.051,,5.55E+06,0.00228125
2.80E+05,-0.86,0.049,,5.60E+06,0.00171875
2.83E+05,-0.86,0.051,,5.65E+06,0.002
2.85E+05,-0.9,0.051,,5.70E+06,0.0023125
2.88E+05,-0.86,0.051,,5.75E+06,0.002
2.90E+05,-0.9,0.049,,5.80E+06,0.00171875
2.93E+05,-0.9,0.047,,5.85E+06,0.00171875
2.95E+05,-0.9,0.049,,5.90E+06,0.00171875
2.98E+05,-0.9,0.051,,5.95E+06,0.0014375
3.00E+05,-0.9,0.051,,6.00E+06,0.00115625
3.03E+05,-0.9,0.051,,6.05E+06,0.00171875
3.05E+05,-0.9,0.051,,6.10E+06,0.0023125
3.08E+05,-0.9,0.051,,6.15E+06,0.00171875
3.10E+05,-0.9,0.051,,6.20E+06,0.00115625
3.13E+05,-0.9,0.053,,6.25E+06,0.002
3.15E+05,-0.86,0.051,,6.30E+06,0.002875
3.18E+05,-0.9,0.051,,6.35E+06,0.002
3.20E+05,-0.9,0.051,,6.40E+06,0.00115625
3.23E+05,-0.9,0.053,,6.45E+06,0.00115625
3.25E+05,-0.9,0.051,,6.50E+06,0.00115625
3.28E+05,-0.9,0.053,,6.55E+06,0.00171875
3.30E+05,-0.86,0.051,,6.60E+06,0.0023125
3.33E+05,-0.86,0.053,,6.65E+06,0.0014375
3.35E+05,-0.86,0.049,,6.70E+06,0.0005625
3.38E+05,-0.86,0.051,,6.75E+06,0.0014375
3.40E+05,-0.86,0.051,,6.80E+06,0.0023125
3.43E+05,-0.86,0.049,,6.85E+06,0.00171875
3.45E+05,-0.9,0.047,,6.90E+06,0.00115625
3.48E+05,-0.86,0.051,,6.95E+06,0.0014375
3.50E+05,-0.86,0.051,,7.00E+06,0.00171875
