x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
8.00E-07,-5.7113E-07,1.69264E-06,2.91509E-06,-8.4631E-07,2.35088E-06,-4.7018E-07,9.403E-08,2.06878E-06,1.12843E-06
8.00E-07,-5.7113E-07,2.16281E-06,2.91509E-06,-8.4631E-07,2.44492E-06,-4.7018E-07,9.403E-08,2.35088E-06,1.03439E-06
8.00E-07,-5.7113E-07,2.25685E-06,2.91509E-06,-1.03438E-06,2.35088E-06,-4.7018E-07,0,2.16281E-06,7.5228E-07
9.14E-07,-5.7113E-07,2.06878E-06,2.82106E-06,-1.03438E-06,2.35088E-06,-4.7018E-07,0,1.97474E-06,6.5825E-07
8.00E-07,-7.9958E-07,2.06878E-06,2.82106E-06,-1.03438E-06,2.35088E-06,-4.7018E-07,0,1.97474E-06,6.5825E-07
5.71E-07,-7.9958E-07,2.06878E-06,2.82106E-06,-1.03438E-06,2.35088E-06,-7.5228E-07,0,1.69264E-06,6.5825E-07
4.57E-07,-7.9958E-07,2.16281E-06,2.91509E-06,-7.5228E-07,2.35088E-06,-9.4035E-07,0,1.50457E-06,1.03439E-06
4.57E-07,-7.9958E-07,2.16281E-06,2.63299E-06,-8.4631E-07,2.25685E-06,-7.5228E-07,0,1.50457E-06,1.3165E-06
4.57E-07,-7.9958E-07,2.16281E-06,2.63299E-06,-1.12842E-06,2.06878E-06,-7.5228E-07,0,1.5986E-06,1.5986E-06
4.57E-07,-7.9958E-07,2.16281E-06,2.63299E-06,-1.03438E-06,2.06878E-06,-7.5228E-07,0,1.69264E-06,9.4036E-07
1.14E-07,-1.25648E-06,1.97474E-06,2.35088E-06,-9.4035E-07,2.06878E-06,-7.5228E-07,0,1.88071E-06,8.4632E-07
1.14E-07,-1.25648E-06,1.88071E-06,2.25685E-06,-9.4035E-07,2.06878E-06,-7.5228E-07,0,1.97474E-06,1.5986E-06
0.00E+00,-1.14226E-06,1.88071E-06,2.25685E-06,-8.4631E-07,2.16281E-06,-8.4632E-07,0,1.88071E-06,1.03439E-06
2.28E-07,-1.14226E-06,1.88071E-06,2.25685E-06,-7.5228E-07,2.35088E-06,-8.4632E-07,0,1.78667E-06,7.5228E-07
2.28E-07,-1.14226E-06,1.97474E-06,2.72702E-06,-6.5824E-07,2.35088E-06,-8.4632E-07,9.403E-08,1.69264E-06,7.5228E-07
2.28E-07,-1.14226E-06,1.97474E-06,2.72702E-06,-5.6421E-07,2.35088E-06,0,2.8211E-07,1.50457E-06,9.4036E-07
2.28E-07,-1.14226E-06,2.06878E-06,2.63299E-06,-3.7614E-07,2.06878E-06,0,3.7614E-07,1.41053E-06,9.4036E-07
2.28E-07,-1.14226E-06,2.06878E-06,2.63299E-06,-4.7017E-07,1.97474E-06,-1.8807E-07,1.8807E-07,1.3165E-06,9.4036E-07
2.28E-07,-1.14226E-06,1.97474E-06,2.53895E-06,-5.6421E-07,1.8807E-06,-2.821E-07,1.8807E-07,1.22246E-06,8.4632E-07
2.28E-07,-1.14226E-06,1.78667E-06,2.53895E-06,-6.5824E-07,1.78667E-06,-2.821E-07,1.8807E-07,1.3165E-06,8.4632E-07
2.28E-07,-1.25648E-06,1.69264E-06,2.72702E-06,-6.5824E-07,1.78667E-06,-2.821E-07,1.8807E-07,1.3165E-06,8.4632E-07
5.71E-07,-1.59916E-06,1.78667E-06,3.00913E-06,-6.5824E-07,1.78667E-06,-2.821E-07,1.8807E-07,1.41053E-06,8.4632E-07
4.57E-07,-1.14226E-06,2.06878E-06,2.72702E-06,-6.5824E-07,1.5986E-06,-5.6421E-07,0,1.41053E-06,8.4632E-07
5.71E-07,-1.14226E-06,2.06878E-06,2.63299E-06,-6.5824E-07,1.5986E-06,-3.7614E-07,0,1.69264E-06,8.4632E-07
5.71E-07,-1.14226E-06,2.06878E-06,2.63299E-06,-7.5228E-07,1.5986E-06,-2.821E-07,9.403E-08,1.88071E-06,9.4036E-07
5.71E-07,-1.14226E-06,2.16281E-06,2.63299E-06,-5.6421E-07,1.69263E-06,-2.821E-07,9.403E-08,1.88071E-06,7.5228E-07
4.57E-07,-1.48493E-06,2.16281E-06,2.63299E-06,-4.7017E-07,1.8807E-06,-2.821E-07,9.403E-08,1.97474E-06,7.5228E-07
