TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
6.72E+03,0.34,0.3,0.7,0.66,,1.34E+05,0.002875
6.80E+03,0.34,0.34,0.66,0.7,,1.36E+05,0.00315625
6.88E+03,0.34,0.3,0.7,0.7,,1.38E+05,0.00346875
6.95E+03,0.34,0.34,0.7,0.7,,1.39E+05,0.00346875
7.03E+03,0.34,0.3,0.66,0.66,,1.41E+05,0.00346875
7.11E+03,0.34,0.34,0.66,0.7,,1.42E+05,0.00315625
7.19E+03,0.34,0.3,0.7,0.66,,1.44E+05,0.002875
7.27E+03,0.34,0.34,0.7,0.7,,1.45E+05,0.002875
7.34E+03,0.34,0.3,0.7,0.66,,1.47E+05,0.002875
7.42E+03,0.34,0.34,0.7,0.7,,1.48E+05,0.002875
7.50E+03,0.34,0.3,0.7,0.7,,1.50E+05,0.002875
7.58E+03,0.34,0.34,0.7,0.7,,1.52E+05,0.002875
7.66E+03,0.34,0.3,0.7,0.66,,1.53E+05,0.002875
7.73E+03,0.34,0.34,0.7,0.7,,1.55E+05,0.00259375
7.81E+03,0.34,0.3,0.7,0.66,,1.56E+05,0.0023125
7.89E+03,0.34,0.34,0.7,0.7,,1.58E+05,0.00259375
7.97E+03,0.34,0.34,0.7,0.7,,1.59E+05,0.002875
8.05E+03,0.34,0.34,0.7,0.7,,1.61E+05,0.002875
8.13E+03,0.34,0.3,0.7,0.7,,1.63E+05,0.002875
8.20E+03,0.34,0.34,0.7,0.7,,1.64E+05,0.00315625
8.28E+03,0.34,0.34,0.7,0.66,,1.66E+05,0.00346875
8.36E+03,0.34,0.34,0.7,0.7,,1.67E+05,0.00315625
8.44E+03,0.34,0.3,0.7,0.66,,1.69E+05,0.002875
8.52E+03,0.34,0.34,0.7,0.7,,1.70E+05,0.002875
8.59E+03,0.34,0.3,0.66,0.66,,1.72E+05,0.002875
8.67E+03,0.34,0.34,0.66,0.7,,1.73E+05,0.00259375
8.75E+03,0.34,0.3,0.66,0.66,,1.75E+05,0.0023125
8.83E+03,0.34,0.34,0.66,0.66,,1.77E+05,0.00259375
8.91E+03,0.34,0.34,0.66,0.66,,1.78E+05,0.002875
8.98E+03,0.34,0.34,0.66,0.7,,1.80E+05,0.002875
9.06E+03,0.34,0.34,0.7,0.66,,1.81E+05,0.002875
9.14E+03,0.34,0.34,0.66,0.7,,1.83E+05,0.00259375
9.22E+03,0.34,0.34,0.66,0.66,,1.84E+05,0.0023125
9.30E+03,0.34,0.34,0.7,0.7,,1.86E+05,0.00259375
9.38E+03,0.34,0.3,0.66,0.66,,1.88E+05,0.002875
9.45E+03,0.34,0.34,0.7,0.7,,1.89E+05,0.00259375
9.53E+03,0.34,0.34,0.7,0.7,,1.91E+05,0.0023125
9.61E+03,0.34,0.34,0.7,0.7,,1.92E+05,0.0023125
9.69E+03,0.34,0.34,0.66,0.66,,1.94E+05,0.0023125
9.77E+03,0.38,0.38,0.7,0.7,,1.95E+05,0.0023125
9.84E+03,0.34,0.3,0.66,0.66,,1.97E+05,0.0023125
9.92E+03,0.34,0.34,0.66,0.7,,1.98E+05,0.00259375
1.00E+04,0.34,0.34,0.7,0.66,,2.00E+05,0.002875
1.01E+04,0.34,0.38,0.7,0.7,,2.02E+05,0.00259375
1.02E+04,0.34,0.34,0.7,0.66,,2.03E+05,0.0023125
1.02E+04,0.34,0.34,0.66,0.7,,2.05E+05,0.0023125
1.03E+04,0.34,0.3,0.7,0.7,,2.06E+05,0.0023125
1.04E+04,0.34,0.34,0.7,0.7,,2.08E+05,0.0023125
1.05E+04,0.38,0.34,0.66,0.66,,2.09E+05,0.0023125
1.05E+04,0.34,0.38,0.7,0.7,,2.11E+05,0.002
1.06E+04,0.34,0.34,0.7,0.7,,2.13E+05,0.00171875
1.07E+04,0.34,0.34,0.7,0.7,,2.14E+05,0.00228125
1.08E+04,0.34,0.34,0.7,0.66,,2.16E+05,0.002875
1.09E+04,0.34,0.38,0.66,0.7,,2.17E+05,0.00228125
1.09E+04,0.34,0.34,0.66,0.66,,2.19E+05,0.00171875
1.10E+04,0.34,0.34,0.66,0.66,,2.20E+05,0.00171875
1.11E+04,0.34,0.3,0.7,0.66,,2.22E+05,0.00171875
1.12E+04,0.34,0.34,0.66,0.7,,2.23E+05,0.00171875
1.13E+04,0.34,0.34,0.66,0.66,,2.25E+05,0.00171875
1.13E+04,0.34,0.34,0.7,0.7,,2.27E+05,0.002
1.14E+04,0.34,0.34,0.66,0.66,,2.28E+05,0.0023125
1.15E+04,0.34,0.34,0.66,0.7,,2.30E+05,0.002
1.16E+04,0.34,0.34,0.7,0.66,,2.31E+05,0.00171875
1.16E+04,0.34,0.34,0.7,0.7,,2.33E+05,0.002
1.17E+04,0.34,0.34,0.66,0.66,,2.34E+05,0.0023125
1.18E+04,0.38,0.38,0.66,0.7,,2.36E+05,0.0023125
1.19E+04,0.38,0.34,0.7,0.66,,2.38E+05,0.0023125
1.20E+04,0.34,0.38,0.66,0.7,,2.39E+05,0.002
1.20E+04,0.34,0.34,0.66,0.66,,2.41E+05,0.00171875
1.21E+04,0.34,0.34,0.66,0.7,,2.42E+05,0.002
1.22E+04,0.38,0.34,0.7,0.7,,2.44E+05,0.0023125
1.23E+04,0.34,0.38,0.7,0.7,,2.45E+05,0.0023125
1.23E+04,0.34,0.34,0.66,0.66,,2.47E+05,0.0023125
1.24E+04,0.34,0.34,0.7,0.7,,2.48E+05,0.00171875
1.25E+04,0.34,0.34,0.66,0.66,,2.50E+05,0.00115625
1.26E+04,0.38,0.38,0.66,0.7,,2.52E+05,0.00171875
1.27E+04,0.34,0.34,0.66,0.66,,2.53E+05,0.0023125
1.27E+04,0.34,0.34,0.7,0.7,,2.55E+05,0.0023125
1.28E+04,0.34,0.34,0.7,0.66,,2.56E+05,0.0023125
1.29E+04,0.34,0.34,0.7,0.7,,2.58E+05,0.002
1.30E+04,0.38,0.34,0.66,0.66,,2.59E+05,0.00171875
1.30E+04,0.38,0.38,0.7,0.7,,2.61E+05,0.00171875
1.31E+04,0.38,0.34,0.66,0.66,,2.63E+05,0.00171875
1.32E+04,0.34,0.38,0.7,0.7,,2.64E+05,0.00171875
1.33E+04,0.34,0.34,0.7,0.66,,2.66E+05,0.00171875
1.34E+04,0.38,0.38,0.66,0.7,,2.67E+05,0.00171875
1.34E+04,0.38,0.34,0.66,0.66,,2.69E+05,0.00171875
1.35E+04,0.38,0.38,0.66,0.66,,2.70E+05,0.00171875
1.36E+04,0.38,0.34,0.66,0.66,,2.72E+05,0.00171875
1.37E+04,0.34,0.38,0.66,0.66,,2.73E+05,0.00171875
1.38E+04,0.38,0.34,0.66,0.66,,2.75E+05,0.00171875
1.38E+04,0.34,0.38,0.66,0.7,,2.77E+05,0.00171875
1.39E+04,0.34,0.34,0.66,0.66,,2.78E+05,0.00171875
1.40E+04,0.34,0.34,0.7,0.7,,2.80E+05,0.0014375
1.41E+04,0.34,0.34,0.66,0.66,,2.81E+05,0.00115625
1.41E+04,0.38,0.38,0.7,0.7,,2.83E+05,0.00171875
1.42E+04,0.34,0.34,0.66,0.66,,2.84E+05,0.0023125
1.43E+04,0.38,0.38,0.66,0.7,,2.86E+05,0.00171875
1.44E+04,0.34,0.34,0.66,0.66,,2.88E+05,0.00115625
1.45E+04,0.34,0.38,0.66,0.7,,2.89E+05,0.00171875
1.45E+04,0.34,0.34,0.66,0.66,,2.91E+05,0.0023125
1.46E+04,0.38,0.38,0.66,0.7,,2.92E+05,0.002
1.47E+04,0.34,0.34,0.66,0.66,,2.94E+05,0.00171875
1.48E+04,0.38,0.38,0.66,0.66,,2.95E+05,0.0014375
1.48E+04,0.38,0.34,0.66,0.66,,2.97E+05,0.00115625
1.49E+04,0.38,0.38,0.66,0.66,,2.98E+05,0.0014375
1.50E+04,0.34,0.34,0.66,0.66,,3.00E+05,0.00171875
1.51E+04,0.38,0.38,0.66,0.66,,3.02E+05,0.002
1.52E+04,0.38,0.34,0.66,0.66,,3.03E+05,0.0023125
1.52E+04,0.34,0.38,0.66,0.66,,3.05E+05,0.00171875
1.53E+04,0.38,0.34,0.66,0.66,,3.06E+05,0.00115625
1.54E+04,0.38,0.38,0.66,0.66,,3.08E+05,0.0014375
1.55E+04,0.34,0.34,0.66,0.66,,3.09E+05,0.00171875
1.55E+04,0.38,0.38,0.66,0.66,,3.11E+05,0.00171875
1.56E+04,0.38,0.34,0.66,0.66,,3.13E+05,0.00171875
1.57E+04,0.34,0.38,0.66,0.66,,3.14E+05,0.00171875
1.58E+04,0.38,0.34,0.66,0.66,,3.16E+05,0.00171875
1.59E+04,0.34,0.38,0.66,0.66,,3.17E+05,0.002
1.59E+04,0.38,0.34,0.66,0.66,,3.19E+05,0.0023125
1.60E+04,0.38,0.38,0.66,0.66,,3.20E+05,0.0014375
1.61E+04,0.34,0.34,0.7,0.66,,3.22E+05,0.0005625
1.62E+04,0.38,0.38,0.66,0.7,,3.23E+05,0.0014375
1.63E+04,0.38,0.34,0.66,0.66,,3.25E+05,0.0023125
1.63E+04,0.38,0.38,0.7,0.7,,3.27E+05,0.002
1.64E+04,0.38,0.34,0.66,0.66,,3.28E+05,0.00171875
1.65E+04,0.38,0.38,0.66,0.7,,3.30E+05,0.00171875
1.66E+04,0.38,0.34,0.66,0.66,,3.31E+05,0.00171875
1.66E+04,0.38,0.38,0.66,0.7,,3.33E+05,0.0014375
1.67E+04,0.34,0.34,0.7,0.66,,3.34E+05,0.00115625
1.68E+04,0.38,0.38,0.66,0.7,,3.36E+05,0.00171875
1.69E+04,0.38,0.34,0.66,0.66,,3.38E+05,0.0023125
1.70E+04,0.38,0.42,0.66,0.7,,3.39E+05,0.002
1.70E+04,0.34,0.34,0.66,0.66,,3.41E+05,0.00171875
1.71E+04,0.38,0.38,0.66,0.7,,3.42E+05,0.00228125
1.72E+04,0.38,0.34,0.66,0.66,,3.44E+05,0.002875
1.73E+04,0.38,0.38,0.66,0.66,,3.45E+05,0.00228125
1.73E+04,0.38,0.34,0.66,0.66,,3.47E+05,0.00171875
1.74E+04,0.38,0.38,0.66,0.66,,3.48E+05,0.00171875
1.75E+04,0.38,0.34,0.66,0.66,,3.50E+05,0.00171875
1.76E+04,0.38,0.38,0.66,0.66,,3.52E+05,0.00171875
1.77E+04,0.38,0.34,0.7,0.66,,3.53E+05,0.00171875
1.77E+04,0.38,0.38,0.66,0.7,,3.55E+05,0.00171875
1.78E+04,0.38,0.34,0.66,0.66,,3.56E+05,0.00171875
1.79E+04,0.38,0.38,0.66,0.66,,3.58E+05,0.002
1.80E+04,0.38,0.34,0.66,0.66,,3.59E+05,0.0023125
1.80E+04,0.38,0.38,0.66,0.7,,3.61E+05,0.0023125
1.81E+04,0.38,0.34,0.66,0.66,,3.63E+05,0.0023125
1.82E+04,0.38,0.38,0.66,0.66,,3.64E+05,0.002
1.83E+04,0.38,0.34,0.66,0.66,,3.66E+05,0.00171875
1.84E+04,0.38,0.38,0.66,0.66,,3.67E+05,0.002
1.84E+04,0.42,0.34,0.66,0.66,,3.69E+05,0.0023125
1.85E+04,0.38,0.42,0.66,0.7,,3.70E+05,0.00171875
1.86E+04,0.38,0.34,0.66,0.66,,3.72E+05,0.00115625
1.87E+04,0.38,0.38,0.66,0.7,,3.73E+05,0.0014375
1.88E+04,0.38,0.34,0.66,0.66,,3.75E+05,0.00171875
1.88E+04,0.38,0.38,0.66,0.7,,3.77E+05,0.00171875
1.89E+04,0.38,0.34,0.62,0.62,,3.78E+05,0.00171875
1.90E+04,0.38,0.38,0.66,0.66,,3.80E+05,0.00171875
1.91E+04,0.38,0.34,0.66,0.62,,3.81E+05,0.00171875
1.91E+04,0.38,0.38,0.62,0.66,,3.83E+05,0.0014375
1.92E+04,0.38,0.34,0.66,0.66,,3.84E+05,0.00115625
1.93E+04,0.38,0.38,0.66,0.66,,3.86E+05,0.00171875
1.94E+04,0.38,0.34,0.66,0.66,,3.88E+05,0.0023125
1.95E+04,0.38,0.38,0.66,0.66,,3.89E+05,0.002
1.95E+04,0.38,0.34,0.66,0.66,,3.91E+05,0.00171875
1.96E+04,0.38,0.38,0.66,0.66,,3.92E+05,0.002
1.97E+04,0.38,0.34,0.62,0.62,,3.94E+05,0.0023125
1.98E+04,0.38,0.38,0.66,0.66,,3.95E+05,0.002
1.98E+04,0.38,0.34,0.66,0.66,,3.97E+05,0.00171875
1.99E+04,0.38,0.38,0.7,0.7,,3.98E+05,0.002
2.00E+04,0.38,0.34,0.62,0.62,,4.00E+05,0.0023125
2.01E+04,0.38,0.38,0.66,0.66,,4.02E+05,0.002
2.02E+04,0.38,0.34,0.66,0.66,,4.03E+05,0.00171875
2.02E+04,0.38,0.38,0.66,0.66,,4.05E+05,0.00171875
2.03E+04,0.38,0.34,0.66,0.66,,4.06E+05,0.00171875
2.04E+04,0.38,0.38,0.66,0.66,,4.08E+05,0.002
2.05E+04,0.38,0.34,0.66,0.62,,4.09E+05,0.0023125
2.05E+04,0.38,0.38,0.66,0.66,,4.11E+05,0.00171875
2.06E+04,0.38,0.34,0.66,0.66,,4.13E+05,0.00115625
2.07E+04,0.38,0.38,0.66,0.66,,4.14E+05,0.00171875
2.08E+04,0.38,0.38,0.66,0.66,,4.16E+05,0.0023125
2.09E+04,0.38,0.38,0.66,0.7,,4.17E+05,0.002
2.09E+04,0.38,0.38,0.7,0.66,,4.19E+05,0.00171875
2.10E+04,0.38,0.38,0.66,0.7,,4.20E+05,0.00171875
2.11E+04,0.34,0.34,0.66,0.62,,4.22E+05,0.00171875
2.12E+04,0.38,0.38,0.66,0.66,,4.23E+05,0.002
2.13E+04,0.38,0.34,0.66,0.62,,4.25E+05,0.0023125
2.13E+04,0.38,0.38,0.62,0.66,,4.27E+05,0.00171875
2.14E+04,0.38,0.34,0.66,0.66,,4.28E+05,0.00115625
2.15E+04,0.38,0.38,0.66,0.66,,4.30E+05,0.0014375
2.16E+04,0.38,0.34,0.66,0.66,,4.31E+05,0.00171875
2.16E+04,0.38,0.38,0.66,0.66,,4.33E+05,0.00171875
2.17E+04,0.38,0.34,0.62,0.62,,4.34E+05,0.00171875
2.18E+04,0.38,0.38,0.62,0.66,,4.36E+05,0.002
2.19E+04,0.38,0.34,0.66,0.62,,4.38E+05,0.0023125
2.20E+04,0.38,0.38,0.62,0.66,,4.39E+05,0.002
2.20E+04,0.38,0.34,0.66,0.62,,4.41E+05,0.00171875
2.21E+04,0.38,0.38,0.66,0.66,,4.42E+05,0.002
2.22E+04,0.42,0.34,0.66,0.66,,4.44E+05,0.0023125
2.23E+04,0.38,0.42,0.66,0.66,,4.45E+05,0.002
2.23E+04,0.38,0.38,0.66,0.66,,4.47E+05,0.00171875
2.24E+04,0.38,0.38,0.66,0.66,,4.48E+05,0.00171875
2.25E+04,0.38,0.34,0.66,0.66,,4.50E+05,0.00171875
2.26E+04,0.38,0.38,0.66,0.66,,4.52E+05,0.002
2.27E+04,0.38,0.34,0.66,0.66,,4.53E+05,0.0023125
2.27E+04,0.38,0.38,0.66,0.66,,4.55E+05,0.0023125
2.28E+04,0.38,0.34,0.66,0.66,,4.56E+05,0.0023125
2.29E+04,0.38,0.38,0.66,0.66,,4.58E+05,0.002
2.30E+04,0.38,0.34,0.66,0.66,,4.59E+05,0.00171875
2.30E+04,0.38,0.38,0.66,0.66,,4.61E+05,0.002
2.31E+04,0.38,0.38,0.66,0.66,,4.63E+05,0.0023125
2.32E+04,0.38,0.38,0.66,0.66,,4.64E+05,0.00171875
2.33E+04,0.38,0.38,0.66,0.66,,4.66E+05,0.00115625
2.34E+04,0.38,0.38,0.66,0.66,,4.67E+05,0.002
2.34E+04,0.38,0.38,0.66,0.66,,4.69E+05,0.002875
2.35E+04,0.38,0.38,0.66,0.66,,4.70E+05,0.002
2.36E+04,0.38,0.38,0.66,0.62,,4.72E+05,0.00115625
2.37E+04,0.38,0.38,0.66,0.66,,4.73E+05,0.0014375
2.38E+04,0.38,0.38,0.62,0.62,,4.75E+05,0.00171875
2.38E+04,0.38,0.38,0.66,0.66,,4.77E+05,0.002
2.39E+04,0.42,0.38,0.66,0.66,,4.78E+05,0.0023125
2.40E+04,0.38,0.42,0.66,0.66,,4.80E+05,0.00171875
