t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
3.47,0,0,0,0,-1.49925E-06,0,1.49925E-06,0,-4.49775E-06,-5.997E-06
3.53,0,-4.49775E-06,0,-4.49775E-06,-5.997E-06,-1.49925E-06,0,0,-1.49925E-06,-1.49925E-06
3.6,2.9985E-06,4.49775E-06,-4.49775E-06,-4.49775E-06,-1.49925E-06,0,0,0,-1.49925E-06,0
3.67,0,-1.49925E-06,4.49775E-06,1.04948E-05,-1.49925E-06,-5.54723E-06,1.49925E-06,0,0,0
3.73,-1.49925E-06,1.49925E-06,-1.49925E-06,0,-1.49925E-06,0,-2.9985E-06,0,-2.9985E-06,1.49925E-06
3.8,2.9985E-06,-4.49775E-06,0,0,0,0,0,1.49925E-06,0,1.49925E-06
3.87,5.997E-06,0,0,1.49925E-06,-1.49925E-06,0,-2.9985E-06,0,2.9985E-06,-1.49925E-06
3.93,0,0,0,1.49925E-06,0,0,-1.49925E-06,0,2.9985E-06,1.49925E-06
4,0,0,0,7.49625E-06,7.49625E-06,1.34933E-06,0,0,1.49925E-06,4.49775E-06
4.07,2.9985E-06,4.49775E-06,0,0,1.49925E-06,0,0,0,-2.9985E-06,-4.49775E-06
4.13,-2.9985E-06,2.9985E-06,1.1994E-05,-5.997E-06,-2.9985E-06,-1.34933E-06,0,0,-5.997E-06,1.49925E-06
4.2,2.9985E-06,-1.49925E-06,-4.49775E-06,1.04948E-05,0,0,0,0,0,1.49925E-06
4.27,-2.9985E-06,-1.49925E-06,-1.49925E-06,-1.49925E-06,0,0,0,0,0,-1.49925E-06
4.33,2.9985E-06,-4.49775E-06,-1.49925E-06,-7.49625E-06,0,0,0,0,5.997E-06,-4.49775E-06
4.4,2.9985E-06,-1.49925E-06,2.9985E-06,0,1.49925E-06,-1.49925E-06,0,0,5.997E-06,-1.49925E-06
4.47,1.04948E-05,-4.49775E-06,7.49625E-06,4.49775E-06,0,0,0,0,1.49925E-06,0
4.53,0,1.49925E-06,-1.49925E-06,0,-7.49625E-06,0,2.9985E-06,0,1.49925E-06,1.49925E-06
4.6,-5.997E-06,4.49775E-06,-2.9985E-06,0,-2.9985E-06,-1.34933E-06,0,-1.49925E-06,7.49625E-06,0
4.67,2.9985E-06,-7.49625E-06,-1.49925E-06,2.9985E-06,0,0,-2.9985E-06,-1.49925E-06,0,-1.49925E-06
4.73,1.49925E-06,0,-2.9985E-06,-2.9985E-06,0,0,-1.49925E-06,0,-1.49925E-06,0
4.8,-4.49775E-06,4.49775E-06,-4.49775E-06,-1.49925E-06,0,0,2.9985E-06,1.49925E-06,0,0
4.87,1.49925E-06,0,2.9985E-06,0,1.49925E-06,-7.04648E-06,0,1.49925E-06,2.9985E-06,-1.49925E-06
4.93,-1.49925E-06,0,0,0,8.9955E-06,-5.69715E-06,4.49775E-06,0,1.49925E-06,-1.49925E-06
5,2.9985E-06,0,-1.49925E-06,-4.49775E-06,0,0,-2.9985E-06,-1.49925E-06,0,-1.49925E-06
5.07,-5.997E-06,0,2.9985E-06,-4.49775E-06,-5.997E-06,0,-2.9985E-06,-1.49925E-06,1.49925E-06,2.9985E-06
5.13,0,0,0,0,0,1.49925E-06,0,-4.49775E-06,0,0
5.2,0,0,0,0,2.9985E-06,1.34933E-06,2.9985E-06,5.997E-06,1.49925E-06,1.49925E-06
5.27,0,0,-4.49775E-06,2.9985E-06,2.9985E-06,5.69715E-06,1.49925E-06,0,1.49925E-06,1.49925E-06
5.33,0,0,5.997E-06,0,0,1.34933E-06,0,0,4.49775E-06,-1.49925E-06
5.4,0,0,1.49925E-06,0,-2.9985E-06,-1.34933E-06,0,-1.49925E-06,-2.9985E-06,-2.9985E-06
5.47,2.9985E-06,0,-2.9985E-06,-1.49925E-06,0,0,0,0,-2.9985E-06,-1.49925E-06
5.53,-2.9985E-06,-2.9985E-06,0,0,0,0,0,0,0,0
5.6,-2.9985E-06,0,0,0,0,0,-4.49775E-06,0,-4.49775E-06,0
5.67,-1.49925E-06,0,1.49925E-06,1.49925E-06,4.49775E-06,0,-2.9985E-06,0,-1.49925E-06,4.49775E-06
5.73,0,0,0,-4.49775E-06,-1.49925E-06,-1.49925E-06,2.9985E-06,0,0,4.49775E-06
5.8,0,0,0,0,-4.49775E-06,-2.84858E-06,0,0,1.49925E-06,4.49775E-06
5.87,0,0,0,0,1.49925E-06,0,0,0,0,-1.04948E-05
5.93,-4.49775E-06,-7.49625E-06,-1.49925E-06,-2.9985E-06,1.49925E-06,0,0,0,2.9985E-06,-1.49925E-06
6,0,0,-1.49925E-06,-1.49925E-06,0,0,0,0,1.49925E-06,1.1994E-05
6.07,-2.9985E-06,1.49925E-06,0,0,1.49925E-06,1.49925E-06,-1.49925E-06,0,-1.49925E-06,-8.9955E-06
6.13,4.49775E-06,0,0,0,1.49925E-06,2.84858E-06,0,0,-1.49925E-06,-2.9985E-06
6.2,0,0,1.49925E-06,5.997E-06,1.49925E-06,0,0,1.49925E-06,-1.49925E-06,0
6.27,0,0,0,0,1.49925E-06,0,1.34933E-05,1.49925E-06,-1.49925E-06,1.49925E-06
6.33,0,0,0,-1.49925E-06,2.9985E-06,-4.34783E-06,0,1.49925E-06,-1.49925E-06,0
